SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
378216,USD,2009,Q2,2009-08-07,2010-09-03,645000000.0,646000000.0,157000000.0,146000000.0,3000000.0,157000000.0,,,,,463000000.0,-523000000.0,0.0,-22000000.0,-402000000.0,-157000000.0,70000000.0,208000000.0,3000000.0,80000000,SE_deliste,2009-06-30
378216,USD,2009,Q3,2009-11-06,2010-11-08,646000000.0,647000000.0,212000000.0,154000000.0,9000000.0,-127000000.0,,,,,248000000.0,-338000000.0,0.0,-4000000.0,-196000000.0,-157000000.0,293000000.0,0.0,113000000.0,141000000,SE_deliste,2009-09-30
378216,USD,2009,Q4,2010-03-11,2012-02-27,649000000.0,650000000.0,240000000.0,158000000.0,37000000.0,58000000.0,,,,,493000000.0,-267000000.0,-121000000.0,-6000000.0,-281000000.0,-160000000.0,-344000000.0,0.0,-514000000.0,-267000000,SE_deliste,2009-12-31
378216,USD,2010,Q1,2010-05-07,2011-05-10,648000000.0,649000000.0,378000000.0,165000000.0,8000000.0,-81000000.0,,,,,470000000.0,-176000000.0,-34000000.0,-3000000.0,-221000000.0,-161000000.0,-123000000.0,,-302000000.0,-53000000,SE_deliste,2010-03-31
378216,USD,2010,Q2,2010-09-03,2011-08-08,648000000.0,650000000.0,191000000.0,159000000.0,60000000.0,-49000000.0,,,,,361000000.0,-321000000.0,-1000000.0,0.0,-300000000.0,-164000000.0,111000000.0,,-66000000.0,-7000000,SE_deliste,2010-06-30
378216,USD,2010,Q3,2010-11-08,2011-11-08,648000000.0,650000000.0,219000000.0,169000000.0,0.0,-212000000.0,,,,,176000000.0,-876000000.0,-19000000.0,-3000000.0,-900000000.0,-162000000.0,956000000.0,,774000000.0,50000000,SE_deliste,2010-09-30
378216,USD,2010,Q4,2011-02-24,2013-02-22,648000000.0,651000000.0,341000000.0,171000000.0,98000000.0,-209000000.0,,,,,401000000.0,-465000000.0,-211000000.0,-4000000.0,-680000000.0,-163000000.0,208000000.0,216000000.0,250000000.0,-26000000,SE_deliste,2010-12-31
378216,USD,2011,Q1,2011-05-10,2012-05-09,649000000.0,651000000.0,382000000.0,178000000.0,107000000.0,55000000.0,,,,,722000000.0,-329000000.0,0.0,-4000000.0,-332000000.0,-170000000.0,-205000000.0,,-382000000.0,10000000,SE_deliste,2011-03-31
378216,USD,2011,Q2,2011-08-08,2012-08-08,650000000.0,652000000.0,307000000.0,181000000.0,25000000.0,103000000.0,,,,,616000000.0,-410000000.0,159000000.0,0.0,-239000000.0,-171000000.0,0.0,213000000.0,21000000.0,398000000,SE_deliste,2011-06-30
378216,USD,2011,Q3,2011-11-08,2012-11-08,650000000.0,652000000.0,281000000.0,184000000.0,31000000.0,-147000000.0,,,,,349000000.0,-950000000.0,38000000.0,-2000000.0,-975000000.0,-170000000.0,375000000.0,0.0,173000000.0,-464000000,SE_deliste,2011-09-30
378216,USD,2011,Q4,2012-02-27,2014-02-28,651000000.0,657000000.0,312000000.0,182000000.0,160000000.0,-155000000.0,,,,,499000000.0,-616000000.0,7000000.0,2000000.0,-552000000.0,-183000000.0,358000000.0,0.0,153000000.0,100000000,SE_deliste,2011-12-31
378216,USD,2012,Q1,2012-05-09,2013-05-08,652000000.0,655000000.0,361000000.0,187000000.0,70000000.0,-72000000.0,,,,,546000000.0,-373000000.0,-113000000.0,,-402000000.0,-185000000.0,-26000000.0,,-214000000.0,-69000000,SE_deliste,2012-03-31
378216,USD,2012,Q2,2012-08-08,2013-08-07,653000000.0,655000000.0,241000000.0,188000000.0,65000000.0,119000000.0,,,,,613000000.0,-446000000.0,31000000.0,0.0,-390000000.0,-187000000.0,13000000.0,0.0,-200000000.0,22000000,SE_deliste,2012-06-30
378216,USD,2012,Q3,2012-11-08,2013-11-07,653000000.0,655000000.0,204000000.0,191000000.0,-6000000.0,-94000000.0,,,,,295000000.0,-629000000.0,-15000000.0,0.0,-658000000.0,-183000000.0,591000000.0,0.0,379000000.0,19000000,SE_deliste,2012-09-30
378216,USD,2012,Q4,2013-02-22,2015-02-27,654000000.0,659000000.0,241000000.0,194000000.0,6000000.0,43000000.0,,,,,484000000.0,-607000000.0,-126000000.0,-520000000.0,-1224000000.0,-198000000.0,397000000.0,527000000.0,689000000.0,-52000000,SE_deliste,2012-12-31
