SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
652364,USD,2017,Q3,2017-11-09,2017-11-09,5807000.0,5807000.0,,,,,,,,,5474000.0,-1425000.0,,69528000.0,45370000.0,0.0,,,-37000.0,50807000,SGA,2017-09-30
652364,USD,2017,Q4,2018-03-13,2018-03-13,5807000.0,5807000.0,,,,,,,,,-13303000.0,-1396000.0,,-69528000.0,-1734000.0,-1772000.0,-10287000.0,,-12968000.0,-28005000,SGA,2017-12-31
652364,USD,2018,Q1,2018-05-10,2019-05-10,5842000.0,5842000.0,,,,,,,,,4372000.0,-1498000.0,,,-1204000.0,-8311000.0,0.0,,-8404000.0,-5236000,SGA,2018-03-31
652364,USD,2018,Q2,2018-08-09,2018-08-09,5834000.0,5834000.0,,,,,,,,,8821000.0,-1408000.0,,,-1395000.0,-1780000.0,0.0,,-2309000.0,5117000,SGA,2018-06-30
652364,USD,2018,Q3,2018-11-09,2018-11-09,5822000.0,5822000.0,,,,,,,,,4974000.0,-1544000.0,,0.0,-1525000.0,-1773000.0,-5000000.0,,-7566000.0,-4117000,SGA,2018-09-30
652364,USD,2018,Q4,2019-03-15,2019-03-15,5818000.0,5818000.0,,,,,,,,,7392000.0,-1154000.0,,-9289000.0,-10752000.0,0.0,0.0,-2000000.0,-705000.0,-4065000,SGA,2018-12-31
652364,USD,2019,Q1,2019-05-10,2019-05-10,5841000.0,5841000.0,,,,,,,,,6305000.0,-1212000.0,,,-1726000.0,-5058000.0,-5000000.0,,-10138000.0,-5559000,SGA,2019-03-31
652364,USD,2019,Q2,2019-08-09,2019-08-09,5844000.0,5844000.0,,,,,,,,,6525000.0,-1950000.0,,,-1936000.0,0.0,-5000000.0,,-5247000.0,-658000,SGA,2019-06-30
652364,USD,2019,Q3,2019-11-12,2019-11-12,5834000.0,5834000.0,,,,,,,,,6138000.0,-1505000.0,,,-1518000.0,-1784000.0,0.0,,-2060000.0,2560000,SGA,2019-09-30
652364,USD,2019,Q4,2020-03-13,2020-03-13,5817000.0,5817000.0,,,,,,,,,6367000.0,-795000.0,,-763000.0,-1055000.0,-1781000.0,0.0,-1172000.0,-2350000.0,2962000,SGA,2019-12-31
652364,USD,2020,Q1,2020-05-11,2021-05-10,5866000.0,5866.0,,,,,,,,,5065000.0,-1021000.0,,-190000.0,-990000.0,-1797000.0,,-20000.0,-1817000.0,2258000,SGA,2020-03-31
