SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
84398,USD,2011,Q3,2011-10-12,2012-10-05,71764000.0,73188000.0,39170000.0,5492000.0,5945000.0,-96833000.0,,,,,-46226000.0,-5384000.0,638000.0,1033000.0,2195000.0,,22898000.0,3342000.0,35015000.0,-8859000,SNX,2011-08-31
84398,USD,2011,Q4,2012-01-27,2014-01-27,72290000.0,73354000.0,50201000.0,7076000.0,7629000.0,38219000.0,,,,,103125000.0,-18818000.0,324000.0,-18920000.0,-52115000.0,,-67927000.0,-2698000.0,-71396000.0,-18705000,SNX,2011-11-30
84398,USD,2012,Q1,2012-04-06,2013-04-04,72606000.0,75264000.0,39154000.0,6116000.0,4000000.0,24908000.0,,,,,74178000.0,-4605000.0,791000.0,-8000.0,7052000.0,,-77954000.0,5731000.0,-79632000.0,1185000,SNX,2012-02-29
84398,USD,2012,Q2,2012-07-06,2013-07-08,73214000.0,76696000.0,34830000.0,6232000.0,2216000.0,4913000.0,,,,,48191000.0,-2690000.0,384000.0,3219000.0,3112000.0,,-15959000.0,2107000.0,-25138000.0,28458000,SNX,2012-05-31
84398,USD,2012,Q3,2012-10-05,2013-10-08,73400000.0,75834000.0,34826000.0,6306000.0,654000.0,54484000.0,,,,,96270000.0,-4245000.0,475000.0,2139000.0,-13644000.0,,8109000.0,682000.0,-3358000.0,75778000,SNX,2012-08-31
84398,USD,2012,Q4,2013-01-28,2015-01-29,73452000.0,74182000.0,43693000.0,5976000.0,7419000.0,-32934000.0,,,,,24154000.0,-2941000.0,590000.0,-3462000.0,-6080000.0,0.0,-20675000.0,-9068000.0,-29364000.0,-9293000,SNX,2012-11-30
84398,USD,2013,Q1,2013-04-04,2014-04-08,73326000.0,76060000.0,33391000.0,6228000.0,4825000.0,-3539000.0,,,,,40905000.0,-3041000.0,772000.0,3276000.0,899000.0,,34078000.0,1146000.0,24240000.0,68375000,SNX,2013-02-28
84398,USD,2013,Q2,2013-07-08,2014-07-08,73566000.0,75738000.0,30792000.0,5965000.0,5400000.0,8410000.0,,,,,50567000.0,-5086000.0,411000.0,-20701000.0,-25076000.0,,-45806000.0,618000.0,-43839000.0,-15688000,SNX,2013-05-31
84398,USD,2013,Q3,2013-10-08,2014-10-07,73930000.0,75118000.0,46633000.0,6059000.0,1363000.0,-27440000.0,,,,,26615000.0,-7216000.0,179000.0,-4311000.0,-8642000.0,,-142562000.0,3274000.0,-95231000.0,-77023000,SNX,2013-08-31
84398,USD,2013,Q4,2014-01-27,2016-01-28,74282000.0,74148000.0,41506000.0,6210000.0,4165000.0,-134261000.0,,,,,-82380000.0,-13622000.0,1749000.0,-2939000.0,-10965000.0,0.0,88664000.0,1667000.0,106464000.0,12259000,SNX,2013-11-30
84398,USD,2014,Q1,2014-04-08,2015-04-07,75312000.0,76130000.0,38458000.0,11354000.0,4315000.0,-89145000.0,,,,,-35018000.0,-4293000.0,1062000.0,-390433000.0,-388736000.0,0.0,443704000.0,2705000.0,418566000.0,-3219000,SNX,2014-02-28
84398,USD,2014,Q2,2014-07-08,2015-07-08,77326000.0,78022000.0,39579000.0,24365000.0,7605000.0,-236273000.0,,,,,-164724000.0,-15976000.0,1863000.0,1743000.0,-13581000.0,0.0,213556000.0,183000.0,237637000.0,56192000,SNX,2014-05-31
84398,USD,2014,Q3,2014-10-07,2015-10-05,77506000.0,78136000.0,45005000.0,27878000.0,3641000.0,-123391000.0,,,,,-46867000.0,-19952000.0,-43000.0,0.0,-38123000.0,0.0,26996000.0,1165000.0,9614000.0,-76931000,SNX,2014-08-31
84398,USD,2014,Q4,2015-01-29,2017-01-26,77776000.0,78472000.0,57108000.0,28102000.0,-26280000.0,-47093000.0,,,,,11837000.0,-17156000.0,-16951000.0,26827000.0,-1211000.0,-4927000.0,-5500000.0,3547000.0,36108000.0,52479000,SNX,2014-11-30
84398,USD,2015,Q1,2015-04-07,2016-04-07,77936000.0,78606000.0,46302000.0,25764000.0,5104000.0,131005000.0,,,,,208175000.0,-22400000.0,2000.0,,6917000.0,-4869000.0,-136725000.0,1444000.0,-219647000.0,-10372000,SNX,2015-02-28
84398,USD,2015,Q2,2015-07-08,2016-07-05,78108000.0,78686000.0,51910000.0,24571000.0,3633000.0,47284000.0,,,,,127398000.0,-22931000.0,2020000.0,,21743000.0,-4964000.0,-103915000.0,1343000.0,-107035000.0,45734000,SNX,2015-05-31
84398,USD,2015,Q3,2015-10-05,2016-10-04,78164000.0,78656000.0,48171000.0,26741000.0,16993000.0,129944000.0,,,,,221849000.0,-26164000.0,-9017000.0,8846000.0,-92532000.0,-4922000.0,-179000.0,-6887000.0,-21488000.0,92571000,SNX,2015-08-31
84398,USD,2015,Q4,2016-01-28,2018-01-29,78280000.0,78868000.0,62224000.0,26434000.0,-8842000.0,4106000.0,,,,,83922000.0,-28611000.0,-3071000.0,40151000.0,4423000.0,-7836000.0,-4426000.0,1323000.0,-6897000.0,82285000,SNX,2015-11-30
84398,USD,2016,Q1,2016-04-07,2017-04-04,78448000.0,78924000.0,46637000.0,26178000.0,-5331000.0,75859000.0,,,,,143343000.0,-35859000.0,-4394000.0,4719000.0,-34281000.0,-7967000.0,-35617000.0,-3281000.0,-51120000.0,58102000,SNX,2016-02-29
84398,USD,2016,Q2,2016-07-05,2017-07-05,78566000.0,78954000.0,44357000.0,28494000.0,-396000.0,68150000.0,,,,,140605000.0,-31676000.0,-28664000.0,26558000.0,-33030000.0,-7920000.0,-626000.0,547000.0,3390000.0,108281000,SNX,2016-05-31
84398,USD,2016,Q3,2016-10-04,2017-10-03,78692000.0,79068000.0,58701000.0,28386000.0,-2837000.0,-94576000.0,,,,,-10326000.0,-27626000.0,-50613000.0,-352314000.0,-428435000.0,-7922000.0,86917000.0,1831000.0,70736000.0,-364389000,SNX,2016-08-31
84398,USD,2016,Q4,2017-01-26,2019-01-28,78862000.0,79294000.0,85310000.0,38235000.0,6699000.0,-79162000.0,,,,,51082000.0,-28072000.0,-8593000.0,-93764000.0,-36134000.0,-9915000.0,167155000.0,1536000.0,157146000.0,160543000,SNX,2016-11-30
84398,USD,2017,Q1,2017-04-04,2018-04-06,78988000.0,79410000.0,61789000.0,35947000.0,1890000.0,-285256000.0,,,,,-185630000.0,-21646000.0,-2886000.0,1962000.0,-22053000.0,-9934000.0,43614000.0,937000.0,32358000.0,-173528000,SNX,2017-02-28
84398,USD,2017,Q2,2017-07-05,2018-07-06,79066000.0,79422000.0,73148000.0,35482000.0,4162000.0,-72795000.0,,,,,39997000.0,-23654000.0,-1304000.0,6500000.0,-18053000.0,-9963000.0,79193000.0,923000.0,69278000.0,96310000,SNX,2017-05-31
84398,USD,2017,Q3,2017-10-03,2018-10-09,79126000.0,79496000.0,75163000.0,36873000.0,8584000.0,-55156000.0,,,,,65464000.0,-26830000.0,-4297000.0,-53541000.0,-84052000.0,-9955000.0,-40644000.0,1380000.0,-46557000.0,-62737000,SNX,2017-08-31
84398,USD,2017,Q4,2018-01-29,2019-01-28,79268000.0,79736000.0,91073000.0,51584000.0,-18448000.0,132724000.0,,,,,256933000.0,-25416000.0,-4455000.0,-511579000.0,-530099000.0,-11963000.0,597229000.0,996000.0,583575000.0,309530000,SNX,2017-11-30
84398,USD,2018,Q1,2018-04-06,2018-04-06,79390000.0,79956000.0,24434000.0,48634000.0,-17583000.0,-61159000.0,,,,,-5674000.0,-22360000.0,-21000.0,-5922000.0,-27872000.0,-13971000.0,-139464000.0,1604000.0,-146392000.0,-178537000,SNX,2018-02-28
84398,USD,2018,Q2,2018-07-06,2018-07-06,79010000.0,79484000.0,93693000.0,48872000.0,2401000.0,-76582000.0,,,,,68384000.0,-27660000.0,-29000.0,4659000.0,-22659000.0,-13975000.0,11206000.0,-44701000.0,-59795000.0,-17647000,SNX,2018-05-31
84398,USD,2018,Q3,2018-10-09,2018-10-09,78508000.0,78950000.0,69290000.0,48708000.0,10263000.0,-231356000.0,,,,,-103095000.0,-25453000.0,-8000.0,1021000.0,-23900000.0,-13886000.0,13499000.0,-8814000.0,-16875000.0,-149496000,SNX,2018-08-31
