SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
189248,USD,2015,Q4,2016-02-26,2017-02-22,911000000.0,917000000.0,297000000.0,608000000.0,18000000.0,263000000.0,361000000.0,-44000000.0,-87000000.0,33000000.0,1186000000.0,-2184000000.0,,-591000000.0,-2400000000.0,-494000000.0,1881000000.0,120000000.0,1509000000.0,295000000,SO,2015-12-31
189248,USD,2016,Q1,2016-05-05,2017-05-03,916000000.0,922000000.0,501000000.0,639000000.0,46000000.0,-308000000.0,235000000.0,,-72000000.0,-471000000.0,878000000.0,-1872000000.0,,-114000000.0,-2197000000.0,-497000000.0,928000000.0,270000000.0,669000000.0,-650000000,SO,2016-03-31
189248,USD,2016,Q2,2016-08-08,2017-08-02,934000000.0,940000000.0,647000000.0,667000000.0,78000000.0,-130000000.0,-432000000.0,,1000000.0,301000000.0,1262000000.0,-1614000000.0,,-783000000.0,-10478000000.0,-526000000.0,9834000000.0,1113000000.0,10359000000.0,1143000000,SO,2016-06-30
189248,USD,2016,Q3,2016-11-04,2017-11-01,968000000.0,975000000.0,1176000000.0,803000000.0,-586000000.0,763000000.0,-261000000.0,,62000000.0,962000000.0,2156000000.0,-1766000000.0,,-10037000000.0,-3965000000.0,-530000000.0,1104000000.0,1882000000.0,2581000000.0,772000000,SO,2016-09-30
189248,USD,2016,Q4,2017-02-22,2017-02-22,986000000.0,995000000.0,205000000.0,814000000.0,-852000000.0,431000000.0,-86000000.0,-31000000.0,310000000.0,238000000.0,598000000.0,-2058000000.0,,-1199000000.0,-3408000000.0,-551000000.0,2107000000.0,493000000.0,2116000000.0,-694000000,SO,2016-12-31
189248,USD,2017,Q1,2017-05-03,2017-05-03,993000000.0,1000000000.0,665000000.0,823000000.0,181000000.0,-772000000.0,312000000.0,,-533000000.0,-551000000.0,897000000.0,-1488000000.0,,-1101000000.0,-2803000000.0,-556000000.0,1378000000.0,186000000.0,1025000000.0,-881000000,SO,2017-03-31
189248,USD,2017,Q2,2017-08-02,2017-08-02,998000000.0,1005000000.0,-1349000000.0,860000000.0,2395000000.0,-61000000.0,-202000000.0,,180000000.0,-39000000.0,1845000000.0,-1910000000.0,,-77000000.0,-2086000000.0,-578000000.0,1136000000.0,231000000.0,580000000.0,339000000,SO,2017-06-30
189248,USD,2017,Q3,2017-11-01,2017-11-01,1003000000.0,1010000000.0,1111000000.0,881000000.0,245000000.0,274000000.0,316000000.0,,-114000000.0,72000000.0,2511000000.0,-1844000000.0,,12000000.0,-1798000000.0,-582000000.0,-88000000.0,446000000.0,-305000000.0,408000000,SO,2017-09-30
189248,USD,2017,Q4,2018-02-21,2018-02-21,1006000000.0,1017000000.0,499000000.0,893000000.0,191000000.0,-441000000.0,-625000000.0,,187000000.0,-3000000.0,1142000000.0,-2181000000.0,,-56000000.0,-504000000.0,-584000000.0,701000000.0,180000000.0,-349000000.0,289000000,SO,2017-12-31
189248,USD,2018,Q1,2018-05-02,2018-05-02,1011000000.0,1016000000.0,936000000.0,873000000.0,56000000.0,-356000000.0,197000000.0,,-425000000.0,-128000000.0,1509000000.0,-1646000000.0,,-76000000.0,-1995000000.0,-586000000.0,1149000000.0,113000000.0,629000000.0,143000000,SO,2018-03-31
189248,USD,2018,Q2,2018-08-08,2018-08-08,1014000000.0,1014000000.0,-127000000.0,877000000.0,709000000.0,290000000.0,-103000000.0,,19000000.0,374000000.0,1749000000.0,-1682000000.0,,-51000000.0,-1629000000.0,-608000000.0,-886000000.0,109000000.0,-393000000.0,-273000000,SO,2018-06-30
189248,USD,2018,Q3,2018-11-07,2018-11-07,1023000000.0,1029000000.0,1222000000.0,897000000.0,-329000000.0,536000000.0,-57000000.0,,158000000.0,435000000.0,2326000000.0,308000000.0,,-30000000.0,124000000.0,-611000000.0,-2686000000.0,656000000.0,-2576000000.0,-126000000,SO,2018-09-30
189248,USD,2018,Q4,2019-02-20,2019-02-20,1032000000.0,1041000000.0,269000000.0,902000000.0,610000000.0,-420000000.0,-463000000.0,-176000000.0,539000000.0,-320000000.0,1361000000.0,-4981000000.0,,92000000.0,-2260000000.0,-620000000.0,-156000000.0,212000000.0,527000000.0,-372000000,SO,2018-12-31
189248,USD,2019,Q1,2019-05-01,2019-05-01,1038000000.0,1045000000.0,2059000000.0,851000000.0,-2075000000.0,-91000000.0,,,-783000000.0,692000000.0,744000000.0,-1678000000.0,,-12000000.0,2454000000.0,-623000000.0,-2873000000.0,224000000.0,-3353000000.0,-155000000,SO,2019-03-31
189248,USD,2019,Q2,2019-07-31,2019-07-31,1044000000.0,1052000000.0,930000000.0,772000000.0,-307000000.0,374000000.0,653000000.0,,-262000000.0,-17000000.0,1769000000.0,-1806000000.0,,-122000000.0,-1452000000.0,-646000000.0,186000000.0,228000000.0,-295000000.0,22000000,SO,2019-06-30
189248,USD,2019,Q3,2019-10-30,2019-10-30,1048000000.0,1057000000.0,1346000000.0,891000000.0,647000000.0,-516000000.0,-65000000.0,,-110000000.0,-341000000.0,2368000000.0,-1933000000.0,,-7000000.0,-2075000000.0,-650000000.0,1835000000.0,171000000.0,1256000000.0,1549000000,SO,2019-09-30
189248,USD,2019,Q4,2020-02-20,2020-02-20,1054000000.0,1062000000.0,409000000.0,817000000.0,-655000000.0,329000000.0,42000000.0,-17000000.0,462000000.0,-158000000.0,900000000.0,-2138000000.0,,91000000.0,-2319000000.0,-651000000.0,865000000.0,221000000.0,462000000.0,-957000000,SO,2019-12-31
189248,USD,2020,Q1,2020-04-30,2021-04-29,1057000000.0,1067000000.0,841000000.0,949000000.0,43000000.0,-939000000.0,317000000.0,,-504000000.0,-752000000.0,894000000.0,-578000000.0,,,-889000000.0,-655000000.0,952000000.0,52000000.0,185000000.0,190000000,SO,2020-03-31
