SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
147451,USD,2015,Q2,2015-08-13,2016-08-10,11048000.0,11048000.0,-17685000.0,2887000.0,1753000.0,-11278000.0,,,,,-24323000.0,-3496000.0,,,-3496000.0,,,0.0,40187000.0,12369000,SPNE,2015-06-30
147451,USD,2015,Q3,2015-11-12,2015-11-12,11171000.0,11171000.0,-14199000.0,3277000.0,6807000.0,-1621000.0,,,,,-5736000.0,-2909000.0,,,-2909000.0,,,0.0,34061000.0,25486000,SPNE,2015-09-30
147451,USD,2015,Q4,2016-03-16,2016-03-16,11337000.0,11337000.0,-13750000.0,3276000.0,3720000.0,3639000.0,,,,,-3115000.0,-1729000.0,,,-1729000.0,,,,-80000.0,-5074000,SPNE,2015-12-31
147451,USD,2016,Q1,2016-05-16,2016-05-16,11167000.0,11167000.0,-12007000.0,3162000.0,5189000.0,-537000.0,,,,,-4193000.0,-983000.0,,,-983000.0,,,,0.0,-4827000,SPNE,2016-03-31
147451,USD,2016,Q2,2016-08-10,2016-08-10,11179000.0,11179000.0,-11983000.0,3086000.0,3463000.0,2125000.0,,,,,-3309000.0,-2463000.0,,,-2463000.0,,,356000.0,356000.0,-5615000,SPNE,2016-06-30
147451,USD,2016,Q3,2016-11-10,2016-11-10,11271000.0,11271000.0,-9454000.0,2736000.0,2705000.0,1109000.0,,,,,-2904000.0,-3411000.0,,,-3411000.0,,4124000.0,0.0,4099000.0,-2179000,SPNE,2016-09-30
147451,USD,2016,Q4,2017-03-03,2017-03-03,11271000.0,11271000.0,-9768000.0,2774000.0,2650000.0,480000.0,,,,,-3864000.0,-1862000.0,,,-1862000.0,,-379000.0,335000.0,-179000.0,-6242000,SPNE,2016-12-31
147451,USD,2017,Q1,2017-05-05,2017-05-05,11586000.0,11586000.0,-9103000.0,2715000.0,3049000.0,2987000.0,,,,,-352000.0,-1102000.0,,,-1102000.0,,-378000.0,,-423000.0,-1840000,SPNE,2017-03-31
147451,USD,2017,Q2,2017-08-04,2017-08-04,11888000.0,11888000.0,-8043000.0,2727000.0,3645000.0,-1917000.0,,,,,-3588000.0,-2071000.0,,,-2071000.0,,-67000.0,5054000.0,4986000.0,-439000,SPNE,2017-06-30
147451,USD,2017,Q3,2017-11-02,2017-11-02,12815000.0,12815000.0,-7462000.0,2742000.0,1496000.0,3055000.0,,,,,-169000.0,-2545000.0,,,-2545000.0,,-4020000.0,10991000.0,6969000.0,4402000,SPNE,2017-09-30
147451,USD,2017,Q4,2018-03-06,2018-03-06,13415000.0,13415000.0,-7507000.0,2687000.0,1698000.0,-1391000.0,,,,,-4513000.0,-1928000.0,,,-1928000.0,,0.0,533000.0,508000.0,-5901000,SPNE,2017-12-31
147451,USD,2018,Q1,2018-05-03,2018-05-03,14085000.0,14085000.0,-7105000.0,2643000.0,1996000.0,-2180000.0,,,,,-4646000.0,-1691000.0,,,-1691000.0,,,8514000.0,7963000.0,1682000,SPNE,2018-03-31
147451,USD,2018,Q2,2018-07-31,2018-07-31,14590000.0,14590000.0,-7361000.0,2626000.0,1639000.0,957000.0,,,,,-2139000.0,-1711000.0,,,-1711000.0,,4000000.0,796000.0,4748000.0,793000,SPNE,2018-06-30
147451,USD,2018,Q3,2018-11-06,2018-11-06,14750000.0,14750000.0,-9532000.0,2681000.0,3260000.0,1775000.0,,,,,-1816000.0,-3163000.0,,,-3163000.0,,3000000.0,636000.0,3522000.0,-1481000,SPNE,2018-09-30
147451,USD,2018,Q4,2019-03-01,2019-03-01,18007000.0,18007000.0,-9526000.0,2745000.0,3117000.0,-293000.0,,,,,-3957000.0,-1783000.0,-29756000.0,,-31539000.0,,-7000000.0,55185000.0,47964000.0,12451000,SPNE,2018-12-31
147451,USD,2019,Q1,2019-05-01,2019-05-01,18872000.0,18872000.0,-8989000.0,2770000.0,3355000.0,-2309000.0,,,,,-5173000.0,-2208000.0,5000000.0,,2792000.0,,,143000.0,-1736000.0,-4181000,SPNE,2019-03-31
147451,USD,2019,Q2,2019-08-01,2019-08-01,18917000.0,18917000.0,-12036000.0,2686000.0,7446000.0,-4686000.0,,,,,-6590000.0,-2692000.0,10000000.0,,7308000.0,,0.0,747000.0,662000.0,1411000,SPNE,2019-06-30
147451,USD,2019,Q3,2019-10-30,2019-10-30,19051000.0,19051000.0,-9663000.0,2473000.0,3751000.0,72000.0,,,,,-3367000.0,-5437000.0,10000000.0,,4563000.0,,0.0,11000.0,-193000.0,851000,SPNE,2019-09-30
147451,USD,2019,Q4,2020-02-28,2020-02-28,19068000.0,19068000.0,-8588000.0,2418000.0,4279000.0,-3256000.0,,,,,-5147000.0,-2497000.0,-25000000.0,,2503000.0,,0.0,539000.0,438000.0,-2115000,SPNE,2019-12-31
147451,USD,2020,Q1,2020-05-06,2021-05-03,26420000.0,26420000.0,-12551000.0,2608000.0,6002000.0,1231000.0,,,,,-2710000.0,-3046000.0,,,-28053000.0,,,92524000.0,90636000.0,59807000,SPNE,2020-03-31
