SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
997662,USD,2011,Q2,2011-07-28,2012-07-31,22086848.0,22551862.0,18595000.0,5298000.0,-2067000.0,-1679000.0,,,,,20147000.0,-1837000.0,,0.0,5663000.0,-5529000.0,-14125000.0,,-19723000.0,6087000,SPOK,2011-06-30
997662,USD,2011,Q3,2011-10-27,2012-11-02,22090913.0,22573064.0,10447000.0,5081000.0,5550000.0,6913000.0,,,,,27991000.0,-1769000.0,,0.0,-1769000.0,-5531000.0,-9572000.0,,-15103000.0,11119000,SPOK,2011-09-30
997662,USD,2011,Q4,2012-02-23,2014-03-11,22094614.0,22581159.0,14093000.0,4416000.0,-7877000.0,10977000.0,,,,,21609000.0,-2808000.0,,-33000.0,-2841000.0,-5530000.0,0.0,0.0,-5702000.0,13066000,SPOK,2011-12-31
997662,USD,2012,Q1,2012-05-04,2013-05-10,22106543.0,22589483.0,8462000.0,4515000.0,6339000.0,-3375000.0,,,,,15941000.0,-1543000.0,,,-1543000.0,-5535000.0,-25000000.0,,-30535000.0,-16137000,SPOK,2012-03-31
997662,USD,2012,Q2,2012-07-31,2013-08-02,22130397.0,22613517.0,8446000.0,4606000.0,5351000.0,-585000.0,,,,,17818000.0,-2578000.0,,-3000000.0,-5578000.0,-5540000.0,-3250000.0,,-8790000.0,3450000,SPOK,2012-06-30
997662,USD,2012,Q3,2012-11-02,2013-11-06,21973473.0,22399934.0,8049000.0,4724000.0,5359000.0,814000.0,,,,,18946000.0,-2682000.0,,0.0,-2682000.0,-2754000.0,0.0,-4933000.0,-7687000.0,8577000,SPOK,2012-09-30
997662,USD,2012,Q4,2013-04-15,2015-03-05,21488579.0,21987414.0,2027000.0,4387000.0,7178000.0,6580000.0,,,,,20172000.0,-2856000.0,,0.0,-2856000.0,-2683000.0,0.0,-3132000.0,-5815000.0,11501000,SPOK,2012-12-31
997662,USD,2013,Q1,2013-05-10,2014-05-01,21688153.0,21904862.0,6925000.0,3807000.0,5532000.0,-594000.0,,,,,15670000.0,-2340000.0,,,-2340000.0,-2682000.0,,,-2682000.0,10648000,SPOK,2013-03-31
997662,USD,2013,Q2,2013-08-02,2014-07-31,21644281.0,21827149.0,6828000.0,3822000.0,5449000.0,-8627000.0,,,,,7472000.0,-2919000.0,,,-2919000.0,-4218000.0,,,-4218000.0,335000,SPOK,2013-06-30
997662,USD,2013,Q3,2013-11-06,2014-10-30,21629289.0,21919238.0,5762000.0,3858000.0,4794000.0,1748000.0,,,,,16162000.0,-2503000.0,,,-2503000.0,-2706000.0,,,-2706000.0,10953000,SPOK,2013-09-30
997662,USD,2013,Q4,2014-03-11,2016-02-25,21632893.0,22390843.0,8015000.0,3680000.0,5306000.0,-5849000.0,,,,,11152000.0,-2353000.0,,,-2353000.0,-2706000.0,,0.0,-2706000.0,6093000,SPOK,2013-12-31
997662,USD,2014,Q1,2014-05-01,2015-04-30,21638198.0,22037796.0,4890000.0,4029000.0,3968000.0,-5076000.0,,,,,7811000.0,-2585000.0,,,-2585000.0,-2707000.0,,0.0,-2707000.0,2519000,SPOK,2014-03-31
997662,USD,2014,Q2,2014-07-31,2015-07-30,21642163.0,22099791.0,4291000.0,4352000.0,3194000.0,-1297000.0,,,,,10540000.0,-2392000.0,,,-2392000.0,-2707000.0,,0.0,-2707000.0,5441000,SPOK,2014-06-30
997662,USD,2014,Q3,2014-10-30,2015-10-29,21651347.0,22135554.0,4652000.0,4247000.0,4188000.0,814000.0,,,,,13901000.0,-1287000.0,,,-1287000.0,-2709000.0,,0.0,-2709000.0,9905000,SPOK,2014-09-30
997662,USD,2014,Q4,2015-03-05,2017-03-02,21644944.0,22089939.0,6912000.0,4049000.0,-1495000.0,-159000.0,,,,,9307000.0,-1350000.0,,,-1350000.0,-2703000.0,,-4325000.0,-7028000.0,929000,SPOK,2014-12-31
997662,USD,2015,Q1,2015-04-30,2016-04-28,21898792.0,22053015.0,3917000.0,3747000.0,2700000.0,-3939000.0,,,,,6425000.0,-1010000.0,,,-1010000.0,-3356000.0,,-466000.0,-7647000.0,-2232000,SPOK,2015-03-31
