SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
721918,USD,2012,Q3,2012-11-08,2013-11-06,157096000.0,166404000.0,17615000.0,24735000.0,-3869000.0,-13488000.0,,,,,24993000.0,-4022000.0,,-6984000.0,-11324000.0,,-77370000.0,4857000.0,-71242000.0,-54217000,SSNC,2012-09-30
721918,USD,2012,Q4,2013-03-01,2015-02-26,157840000.0,176490000.0,16082000.0,25194000.0,3838000.0,28642000.0,,,,,73756000.0,-7974000.0,,-2626000.0,-11065000.0,,-59173000.0,2029000.0,-56476000.0,5905000,SSNC,2012-12-31
721918,USD,2013,Q1,2013-05-07,2014-05-07,158680000.0,167540000.0,21429000.0,24752000.0,-2927000.0,-22611000.0,,,,,20643000.0,-2037000.0,,,-2239000.0,,-45000000.0,8931000.0,-34445000.0,-17322000,SSNC,2013-03-31
721918,USD,2013,Q2,2013-08-09,2014-08-06,162372000.0,170560000.0,26119000.0,24990000.0,1171000.0,-2918000.0,,,,,49362000.0,-5632000.0,,,-5858000.0,,-57000000.0,5155000.0,-50445000.0,-8252000,SSNC,2013-06-30
721918,USD,2013,Q3,2013-11-06,2014-11-05,163568000.0,172136000.0,43466000.0,24699000.0,-8827000.0,24933000.0,,,,,84271000.0,-2203000.0,,,-3345000.0,,-75000000.0,8274000.0,-59871000.0,20989000,SSNC,2013-09-30
721918,USD,2013,Q4,2014-02-27,2016-02-29,164940000.0,174692000.0,26881000.0,25339000.0,-9481000.0,11254000.0,,,,,53993000.0,-1982000.0,,-3657000.0,-6468000.0,,-62000000.0,4514000.0,-45088000.0,2895000,SSNC,2013-12-31
721918,USD,2014,Q1,2014-05-07,2015-05-01,165444000.0,173802000.0,26448000.0,24936000.0,838000.0,-12685000.0,,,,,39537000.0,-2758000.0,,,-3614000.0,,-45000000.0,501000.0,-42558000.0,-6099000,SSNC,2014-03-31
721918,USD,2014,Q2,2014-08-06,2015-07-29,166236000.0,174182000.0,27245000.0,24896000.0,-4726000.0,6851000.0,,,,,54266000.0,-6701000.0,,,-7549000.0,,-62000000.0,4450000.0,-51768000.0,-4851000,SSNC,2014-06-30
721918,USD,2014,Q3,2014-11-05,2015-11-09,167064000.0,174784000.0,40827000.0,24661000.0,-4213000.0,10170000.0,,,,,71445000.0,-2393000.0,,,-3377000.0,,-67000000.0,-104000.0,-64604000.0,1560000,SSNC,2014-09-30
721918,USD,2014,Q4,2015-02-26,2017-02-28,167768000.0,175880000.0,36607000.0,25338000.0,-2317000.0,28639000.0,,,,,88267000.0,-3146000.0,,-86911000.0,-90886000.0,-10494000.0,37000000.0,8040000.0,38765000.0,34497000,SSNC,2014-12-31
721918,USD,2015,Q1,2015-05-01,2016-05-09,168526000.0,176912000.0,26246000.0,25996000.0,1217000.0,-22292000.0,,,,,31167000.0,-2249000.0,,,-3177000.0,-10539000.0,-44000000.0,4661000.0,-47039000.0,-21247000,SSNC,2015-03-31
721918,USD,2015,Q2,2015-07-29,2016-08-05,170810000.0,179104000.0,39128000.0,26107000.0,-1981000.0,6301000.0,,,,,69555000.0,-3501000.0,,-7863000.0,-12228000.0,-10562000.0,-130000000.0,721940000.0,583604000.0,641478000,SSNC,2015-06-30
721918,USD,2015,Q3,2015-11-09,2016-11-07,193706000.0,193706000.0,-34610000.0,48737000.0,4395000.0,1323000.0,,,,,19845000.0,-3656000.0,,-2606922000.0,-2612156000.0,-12115000.0,2418627000.0,1819000.0,2368626000.0,-225998000,SSNC,2015-09-30
721918,USD,2015,Q4,2016-02-29,2018-02-28,195742000.0,213862000.0,12098000.0,49994000.0,-18765000.0,66730000.0,,,,,110057000.0,-4130000.0,,-114368000.0,-119401000.0,-12235000.0,-80000000.0,19474000.0,-58125000.0,-68310000,SSNC,2015-12-31
721918,USD,2016,Q1,2016-05-09,2017-05-05,197520000.0,204262000.0,7005000.0,55273000.0,4229000.0,-47889000.0,,,,,18618000.0,-2806000.0,,-317554000.0,-322529000.0,-12353000.0,-29825000.0,7629000.0,-27934000.0,-332333000,SSNC,2016-03-31
721918,USD,2016,Q2,2016-08-05,2017-08-04,198765000.0,204916000.0,28221000.0,58167000.0,-17413000.0,51743000.0,,,,,120718000.0,-10744000.0,-1000000.0,0.0,-12881000.0,-12437000.0,-125500000.0,11572000.0,-114057000.0,-6604000,SSNC,2016-06-30
721918,USD,2016,Q3,2016-11-07,2017-11-02,201782000.0,206635000.0,38747000.0,57470000.0,-20264000.0,21727000.0,,,,,97680000.0,-5251000.0,0.0,8122000.0,40000.0,-12662000.0,-113225000.0,15553000.0,-91836000.0,5876000,SSNC,2016-09-30
721918,USD,2016,Q4,2017-02-28,2018-02-28,202941000.0,207359000.0,57023000.0,57773000.0,4297000.0,62298000.0,,,,,181391000.0,-9054000.0,0.0,-148079000.0,-160617000.0,-12688000.0,5114000.0,4470000.0,-2267000.0,15758000,SSNC,2016-12-31
721918,USD,2017,Q1,2017-05-05,2018-05-10,203376000.0,209704000.0,48147000.0,58557000.0,9751000.0,-58567000.0,,,,,57888000.0,-5990000.0,,1805000.0,-7462000.0,-12715000.0,-60200000.0,14017000.0,-60850000.0,-8761000,SSNC,2017-03-31
721918,USD,2017,Q2,2017-08-04,2018-08-09,204600000.0,211300000.0,51153000.0,58643000.0,7349000.0,20167000.0,,,,,137312000.0,-13410000.0,,-5000.0,-15738000.0,-12785000.0,-148200000.0,21883000.0,-141650000.0,-18639000,SSNC,2017-06-30
721918,USD,2017,Q3,2017-11-02,2017-11-02,205568000.0,212359000.0,64225000.0,59679000.0,2248000.0,-14262000.0,,,,,111890000.0,-10378000.0,,5000.0,-12941000.0,-14417000.0,-84400000.0,10378000.0,-88029000.0,11597000,SSNC,2017-09-30
721918,USD,2017,Q4,2018-02-28,2018-02-28,206148000.0,213165000.0,165339000.0,60310000.0,-115046000.0,52669000.0,,,,,163272000.0,-5788000.0,,-19218000.0,-27242000.0,-14440000.0,-174650000.0,13941000.0,-175884000.0,-39222000,SSNC,2017-12-31
721918,USD,2018,Q1,2018-05-10,2018-05-10,206993000.0,217656000.0,51250000.0,61372000.0,2975000.0,-45653000.0,,,,,69944000.0,-7163000.0,,-191000.0,-11299000.0,-14504000.0,-61250000.0,29132000.0,-48793000.0,9971000,SSNC,2018-03-31
721918,USD,2018,Q2,2018-08-09,2018-08-09,236900000.0,236900000.0,-63750000.0,135328000.0,16025000.0,-37847000.0,,,,,49756000.0,-10537000.0,7400000.0,-4621809000.0,-4637501000.0,-16896000.0,4312150000.0,1425168000.0,6018193000.0,1428429000,SSNC,2018-06-30
721918,USD,2018,Q3,2018-11-07,2018-11-07,239900000.0,252600000.0,57000000.0,146200000.0,-6200000.0,5700000.0,,,,,202700000.0,-1200000.0,5300000.0,-11600000.0,-20300000.0,-19300000.0,-233300000.0,19500000.0,-416900000.0,-230100000,SSNC,2018-09-30
721918,USD,2018,Q4,2019-03-01,2019-03-01,246207000.0,267644000.0,58700000.0,175600000.0,40700000.0,42700000.0,,,,,317700000.0,-5000000.0,16000001.0,-2433100000.0,-2433499999.0,-20200000.0,1585400000.0,10200000.0,1964500000.0,-159699999,SSNC,2018-12-31
721918,USD,2019,Q1,2019-05-08,2019-05-08,251500000.0,263700000.0,80800000.0,202800000.0,-9400000.0,-136800000.0,,,,,137400000.0,-16300000.0,10800000.0,3200000.0,-16100000.0,-25200000.0,-138400000.0,45100000.0,-211900000.0,-89900000,SSNC,2019-03-31
721918,USD,2019,Q2,2019-08-07,2019-08-07,253300000.0,266200000.0,121100000.0,189900000.0,-42100000.0,10300000.0,,,,,279200000.0,-10700000.0,11500000.0,2100000.0,-10600000.0,-25400000.0,-276500000.0,21300000.0,-217900000.0,50400000,SSNC,2019-06-30
721918,USD,2019,Q3,2019-11-07,2019-11-07,253300000.0,262700000.0,95000000.0,190100000.0,25200000.0,28100000.0,,,,,338400000.0,-21000000.0,23500000.0,0.0,-13600000.0,-25400000.0,-214200000.0,-52200000.0,-285500000.0,37100000,SSNC,2019-09-30
721918,USD,2019,Q4,2020-02-28,2020-02-28,253500000.0,264200000.0,141600000.0,192400000.0,12600000.0,226700000.0,,,,,573300000.0,-8800000.0,18999999.0,-99400000.0,-100200001.0,-31700000.0,-494700000.0,51200000.0,201900000.0,678499999,SSNC,2019-12-31
721918,USD,2020,Q1,2020-05-07,2021-05-05,255300000.0,265600000.0,99200000.0,184700000.0,12700001.0,-148900000.0,,,,,147700001.0,-8500000.0,-33100000.0,-16300000.0,-73300000.0,-31900000.0,150100000.0,38100000.0,-517700000.0,-450399999,SSNC,2020-03-31
