SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
511627,USD,2011,Q2,2011-08-04,2012-08-14,4447028.0,105724210.0,2352531.0,26124.0,-2292550.0,-250545.0,,,,,-164440.0,-10645.0,,,-10645.0,,-35692.0,,-35692.0,-210777,SSNT,2011-06-30
511627,USD,2011,Q3,2011-11-10,2012-11-14,4492578.0,4492578.0,-14141.0,22548.0,33750.0,137378.0,,,,,179535.0,-42186.0,,,-42186.0,,-26116.0,,-26116.0,111233,SSNT,2011-09-30
511627,USD,2011,Q4,2012-03-29,2013-03-29,4420794.0,307473401.0,-95112.0,22151.0,72301.0,130406.0,,,,,129746.0,31095.0,,0.0,31095.0,,-514543.0,,-514543.0,-353702,SSNT,2011-12-31
511627,USD,2012,Q1,2012-05-16,2013-05-15,110847000.0,110847000.0,-708000.0,19000.0,728000.0,-85000.0,,,,,-46000.0,-79000.0,,,-79000.0,,-9000.0,,-9000.0,-134000,SSNT,2012-03-31
511627,USD,2012,Q2,2012-08-14,2013-08-13,116800933.0,116800933.0,-334222.0,32752.0,418530.0,-129218.0,,,,,-12158.0,-37395.0,,-441964.0,-479359.0,,568791.0,,568791.0,77274,SSNT,2012-06-30
511627,USD,2012,Q3,2012-11-14,2013-11-13,116949303.0,131283955.0,102808.0,62624.0,40663.0,5526.0,,,,,211621.0,-96940.0,,0.0,-96940.0,,-190337.0,0.0,-190337.0,-75656,SSNT,2012-09-30
511627,USD,2012,Q4,2013-03-29,2014-03-31,116984964.0,102650312.0,-295756.0,81184.0,114463.0,339449.0,,,,,239340.0,109516.0,,0.0,-89075.0,,-247122.0,0.0,-247122.0,-96857,SSNT,2012-12-31
511627,USD,2013,Q1,2013-05-15,2014-05-15,116950933.0,117150000.0,115530.0,75780.0,32916.0,246737.0,,,,,470963.0,-23065.0,,,-23065.0,,-191073.0,,-191073.0,256825,SSNT,2013-03-31
511627,USD,2013,Q2,2013-08-13,2014-08-14,117161459.0,117161459.0,62185.0,70423.0,4420.0,-321111.0,,,,,-184083.0,-6114.0,,,-6114.0,,-13538.0,,-13538.0,-203735,SSNT,2013-06-30
511627,USD,2013,Q3,2013-11-13,2014-11-13,117195173.0,117195173.0,-82219.0,72402.0,25404.0,559536.0,,,,,575123.0,-2196.0,,,-2196.0,,307508.0,,307508.0,880435,SSNT,2013-09-30
