SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
169714,USD,2011,Q3,2011-08-22,2012-09-07,18395960.0,18395960.0,-429000.0,75000.0,17000.0,-453000.0,,,,,-790000.0,-32000.0,,-531000.0,-563000.0,,75000.0,,75000.0,-1278000,TMED,2011-06-30
169714,USD,2011,Q4,2011-11-21,2013-01-29,18408948.0,18408948.0,-689000.0,78000.0,15000.0,640000.0,,,,,44000.0,-11000.0,,-32000.0,-43000.0,,-158000.0,,-158000.0,-157000,TMED,2011-09-30
169714,USD,2012,Q1,2012-02-21,2013-02-19,18395960.0,18395960.0,-285000.0,76000.0,12000.0,-155000.0,,,,,-352000.0,0.0,,-31000.0,-31000.0,,-62000.0,,-62000.0,-445000,TMED,2011-12-31
169714,USD,2012,Q2,2012-05-21,2013-05-20,18395960.0,18395960.0,-69000.0,76000.0,-17000.0,-27000.0,,,,,-37000.0,0.0,,-156000.0,-156000.0,,-35000.0,,-35000.0,-228000,TMED,2012-03-31
169714,USD,2012,Q3,2012-09-07,2013-08-21,18395960.0,18395960.0,-168000.0,78000.0,8000.0,352000.0,,,,,270000.0,-13000.0,,0.0,-13000.0,,-34000.0,,-34000.0,223000,TMED,2012-06-30
169714,USD,2012,Q4,2013-01-29,2014-01-14,18395960.0,18395960.0,-314000.0,80000.0,24000.0,59000.0,,,,,-151000.0,-21000.0,,0.0,-21000.0,,-57000.0,,-57000.0,-229000,TMED,2012-09-30
169714,USD,2013,Q1,2013-02-19,2014-02-19,18395960.0,18395960.0,-144000.0,70000.0,4000.0,113000.0,,,,,43000.0,-27000.0,,,-27000.0,,-47000.0,,-47000.0,-31000,TMED,2012-12-31
169714,USD,2013,Q2,2013-05-20,2014-05-15,18395960.0,18395960.0,161000.0,69000.0,0.0,-37000.0,,,,,193000.0,-29000.0,,,-29000.0,,-21000.0,,-21000.0,143000,TMED,2013-03-31
169714,USD,2013,Q3,2013-08-21,2014-08-14,18395960.0,18395960.0,-58000.0,67000.0,-6000.0,436000.0,,,,,439000.0,-4000.0,,,-4000.0,,-30000.0,,-30000.0,405000,TMED,2013-06-30
169714,USD,2013,Q4,2014-01-14,2015-01-13,18395960.0,18395960.0,370000.0,35000.0,7000.0,347000.0,,,,,759000.0,-128000.0,,,-128000.0,,-48000.0,,-48000.0,583000,TMED,2013-09-30
169714,USD,2014,Q1,2014-02-19,2015-02-23,18395960.0,18395960.0,-259000.0,57000.0,1000.0,269000.0,,,,,68000.0,-4000.0,,,-4000.0,,-37000.0,,-37000.0,27000,TMED,2013-12-31
169714,USD,2014,Q2,2014-05-15,2015-05-19,18395960.0,18395960.0,-11000.0,58000.0,1000.0,-232000.0,,,,,-184000.0,-2000.0,,,-2000.0,,-39000.0,,-39000.0,-225000,TMED,2014-03-31
169714,USD,2014,Q3,2014-08-14,2015-08-14,18395960.0,18395960.0,-118000.0,50000.0,0.0,64000.0,,,,,-4000.0,-10000.0,,,-10000.0,,-42000.0,,-42000.0,-56000,TMED,2014-06-30
169714,USD,2014,Q4,2015-01-13,2016-01-13,18395960.0,18395960.0,7000.0,53000.0,1000.0,-44000.0,,,,,17000.0,-12000.0,,,-12000.0,,-31000.0,,-31000.0,-26000,TMED,2014-09-30
169714,USD,2015,Q1,2015-02-23,2016-02-16,18395960.0,18395960.0,-169000.0,53000.0,1000.0,-373000.0,,,,,-488000.0,-26000.0,,,-26000.0,,-27000.0,,-27000.0,-541000,TMED,2014-12-31
169714,USD,2015,Q2,2015-05-19,2016-05-16,18395960.0,18395960.0,-200000.0,48000.0,1000.0,15000.0,,,,,-136000.0,-8000.0,,,-8000.0,,-29000.0,,-29000.0,-173000,TMED,2015-03-31
169714,USD,2015,Q3,2015-08-14,2016-08-22,18395960.0,18395960.0,-97000.0,45000.0,41000.0,3000.0,,,,,-8000.0,-1000.0,,,-1000.0,,-31000.0,,-31000.0,-40000,TMED,2015-06-30
169714,USD,2015,Q4,2016-01-13,2016-01-13,18395960.0,18395960.0,-129000.0,44000.0,2000.0,-58000.0,,,,,-141000.0,0.0,,,0.0,,-32000.0,,-32000.0,-173000,TMED,2015-09-30
169714,USD,2016,Q1,2016-02-16,2016-02-16,18395960.0,18395960.0,-223000.0,43000.0,3000.0,234000.0,,,,,57000.0,0.0,,,0.0,,-36000.0,,-36000.0,21000,TMED,2015-12-31
169714,USD,2016,Q2,2016-05-16,2016-05-16,18395960.0,18395960.0,-123000.0,45000.0,3000.0,209000.0,,,,,134000.0,0.0,,,0.0,,-19000.0,,-19000.0,115000,TMED,2016-03-31
