SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
625334,USD,2011,Q2,2011-08-04,2012-08-07,19101588.0,19101588.0,-1552000.0,31561000.0,-781000.0,-8398000.0,,,,,20830000.0,-25861000.0,,-11046000.0,-36907000.0,,7093000.0,0.0,7093000.0,-6526000,TOWR,2011-06-30
625334,USD,2011,Q3,2011-11-03,2012-11-01,19562951.0,19562951.0,-3766000.0,27807000.0,-3215000.0,-26722000.0,,,,,-5896000.0,-30366000.0,,0.0,-30366000.0,,14159000.0,-5130000.0,9029000.0,-31269000,TOWR,2011-09-30
625334,USD,2011,Q4,2012-04-27,2014-03-07,19691605.0,18903110.0,-30540000.0,13068000.0,31740000.0,71620000.0,,,,,85888000.0,-17904000.0,,0.0,-17904000.0,,-22600000.0,0.0,-22600000.0,38284000,TOWR,2011-12-31
625334,USD,2012,Q1,2012-05-03,2013-05-02,19691679.0,20660307.0,1323000.0,22311000.0,1033000.0,-10603000.0,,,,,14064000.0,-28704000.0,,,-28704000.0,,12484000.0,-83000.0,12401000.0,-965000,TOWR,2012-03-31
625334,USD,2012,Q2,2012-08-07,2013-07-31,20134096.0,20328764.0,7642000.0,22404000.0,9620000.0,-23784000.0,,,,,15882000.0,-31885000.0,,,-31885000.0,,24069000.0,-3082000.0,20987000.0,-10583000,TOWR,2012-06-30
625334,USD,2012,Q3,2012-11-01,2013-10-30,20246797.0,20246797.0,549000.0,23498000.0,-5527000.0,-10689000.0,,,,,7831000.0,-24114000.0,,0.0,-24114000.0,,17682000.0,-2000.0,17680000.0,-4466000,TOWR,2012-09-30
625334,USD,2012,Q4,2013-03-07,2015-02-27,20250784.0,19087488.0,-30108000.0,21689000.0,17786000.0,49601000.0,,,,,58968000.0,-7631000.0,,0.0,-7631000.0,,-57866000.0,0.0,-57866000.0,-5027000,TOWR,2012-12-31
625334,USD,2013,Q1,2013-05-02,2014-04-30,20261259.0,20593045.0,4534000.0,25172000.0,-1315000.0,-27097000.0,,,,,1294000.0,-14587000.0,,0.0,-14587000.0,,-4280000.0,-275000.0,-4555000.0,-2860000,TOWR,2013-03-31
625334,USD,2013,Q2,2013-07-31,2014-07-31,20362672.0,20362672.0,-45348000.0,23465000.0,3177000.0,-15936000.0,,,,,-34642000.0,-6505000.0,,-6293000.0,-12798000.0,,106453000.0,1491000.0,54102000.0,7099000,TOWR,2013-06-30
625334,USD,2013,Q3,2013-10-30,2014-10-30,20449920.0,21106471.0,4216000.0,22296000.0,48241000.0,8364000.0,,,,,83117000.0,-14092000.0,,6293000.0,-7799000.0,,-80053000.0,554000.0,-89298000.0,-11834000,TOWR,2013-09-30
625334,USD,2013,Q4,2014-03-07,2016-02-29,20474821.0,19486484.0,10269000.0,17905000.0,-12504000.0,62351000.0,,,,,78021000.0,-30810000.0,,0.0,-30810000.0,0.0,-23018000.0,159000.0,-27635000.0,28532000,TOWR,2013-12-31
625334,USD,2014,Q1,2014-04-30,2015-05-07,20513183.0,21263163.0,14522000.0,22860000.0,-2264000.0,-19925000.0,,,,,15193000.0,-8663000.0,,,-8663000.0,,40024000.0,-231000.0,36652000.0,50438000,TOWR,2014-03-31
625334,USD,2014,Q2,2014-07-31,2015-07-30,20651097.0,21373867.0,15273000.0,22738000.0,-2601000.0,-31317000.0,,,,,4093000.0,-19538000.0,,,-19538000.0,,-2654000.0,1494000.0,-1540000.0,-16099000,TOWR,2014-06-30
625334,USD,2014,Q3,2014-10-30,2015-10-30,20733785.0,21457369.0,8029000.0,20951000.0,-4184000.0,-9841000.0,,,,,14955000.0,-34145000.0,,0.0,-34145000.0,,-23582000.0,423000.0,-24803000.0,-42792000,TOWR,2014-09-30
625334,USD,2014,Q4,2015-02-27,2017-02-28,20751635.0,21469601.0,3368000.0,12552000.0,6933000.0,23536000.0,,,,,46389000.0,-27462000.0,,0.0,-28222000.0,,14033000.0,23000.0,5362000.0,17852000,TOWR,2014-12-31
625334,USD,2015,Q1,2015-05-07,2016-04-28,21050230.0,21360492.0,14197000.0,19908000.0,-2624000.0,-38275000.0,,,,,-6794000.0,-9562000.0,,,-9562000.0,0.0,-26381000.0,-6418000.0,-422000.0,-17832000,TOWR,2015-03-31
625334,USD,2015,Q2,2015-07-30,2016-07-26,21104735.0,21403354.0,20749000.0,15938000.0,-2195000.0,-15781000.0,,,,,18711000.0,-18671000.0,,,-18671000.0,0.0,2333000.0,17000.0,2350000.0,2554000,TOWR,2015-06-30
625334,USD,2015,Q3,2015-10-30,2016-11-02,21107477.0,21422859.0,13626000.0,18381000.0,-3872000.0,-1564000.0,,,,,26571000.0,-28205000.0,,-11793000.0,-39998000.0,0.0,-2834000.0,10000.0,-2824000.0,-16132000,TOWR,2015-09-30
625334,USD,2015,Q4,2016-02-29,2018-02-28,21111106.0,21446499.0,136895000.0,18315000.0,-134067000.0,41782000.0,,,,,62925000.0,-63311000.0,,-9947000.0,-73258000.0,-2111000.0,-5944000.0,44000.0,-10644000.0,20320000,TOWR,2015-12-31
625334,USD,2016,Q1,2016-04-28,2017-05-02,21126462.0,21444570.0,8729000.0,17276000.0,1378000.0,-17121000.0,,,,,10262000.0,-25696000.0,,,-25696000.0,-2111000.0,-41871000.0,-622000.0,-44604000.0,-58776000,TOWR,2016-03-31
625334,USD,2016,Q2,2016-07-26,2017-07-26,21164505.0,21489161.0,15269000.0,18207000.0,3305000.0,-24648000.0,,,,,12133000.0,-35230000.0,,,-35230000.0,-2118000.0,15338000.0,26000.0,13246000.0,-11041000,TOWR,2016-06-30
625334,USD,2016,Q3,2016-11-02,2017-10-30,20830203.0,21182149.0,17908000.0,17900000.0,-738000.0,-25107000.0,,,,,9963000.0,-12610000.0,,,-12610000.0,-2105000.0,17621000.0,-17869000.0,-2353000.0,-4561000,TOWR,2016-09-30
