SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
627855,USD,2010,Q2,2010-08-09,2011-08-09,241308000.0,248198000.0,6771000.0,18201000.0,-2402000.0,17236000.0,,,,,39806000.0,-5731000.0,,-12976000.0,-30792000.0,,-40000.0,-51292000.0,-50402000.0,-45413000,TRMB,2010-06-30
627855,USD,2010,Q3,2010-11-09,2011-11-08,238948000.0,245738000.0,32842000.0,19006000.0,2741000.0,-62866000.0,,,,,-8277000.0,-6460000.0,,-59152000.0,-48429000.0,,-373000.0,675000.0,861000.0,-50604000,TRMB,2010-09-30
627855,USD,2010,Q4,2011-02-09,2013-02-25,241040000.0,248790000.0,35848000.0,20362000.0,-15072000.0,-4140000.0,,,,,36998000.0,-7409000.0,,-48162000.0,-47237000.0,,-31000.0,12663000.0,20300000.0,9732000,TRMB,2010-12-31
627855,USD,2011,Q1,2011-05-10,2012-05-08,243638000.0,251712000.0,38872000.0,20668000.0,-2290000.0,-29323000.0,,,,,27927000.0,-4286000.0,,-38979000.0,-43221000.0,,-672000.0,27785000.0,35470000.0,23554000,TRMB,2011-03-31
627855,USD,2011,Q2,2011-08-09,2012-08-07,245334000.0,252384000.0,54178000.0,21148000.0,2349000.0,5114000.0,,,,,82789000.0,-5602000.0,,-52470000.0,-51240000.0,,-32934000.0,2878000.0,-27463000.0,5469000,TRMB,2011-06-30
627855,USD,2011,Q3,2011-11-08,2012-11-07,245938000.0,251788000.0,27196000.0,29614000.0,-1293000.0,-4412000.0,,,,,51105000.0,-7780000.0,,-670061000.0,-677385000.0,,509889000.0,9519000.0,520156000.0,-111556000,TRMB,2011-09-30
627855,USD,2011,Q4,2012-02-28,2014-02-25,246890000.0,253180000.0,28663000.0,34981000.0,-14265000.0,30429000.0,,,,,79808000.0,-5610000.0,,1773000.0,-1719000.0,,-792210000.0,5687000.0,-63996000.0,16366000,TRMB,2011-12-31
627855,USD,2012,Q1,2012-05-08,2013-05-02,248740000.0,255520000.0,50072000.0,34359000.0,-3116000.0,-13657000.0,,,,,67658000.0,-8399000.0,,-101392000.0,-109540000.0,,58650000.0,26682000.0,92912000.0,54525000,TRMB,2012-03-31
627855,USD,2012,Q2,2012-08-07,2013-08-05,250732000.0,256586000.0,53165000.0,34816000.0,-4440000.0,3895000.0,,,,,87436000.0,-12909000.0,,-236284000.0,-249929000.0,,73837000.0,480000.0,81991000.0,-87209000,TRMB,2012-06-30
627855,USD,2012,Q3,2012-11-07,2013-11-05,251742000.0,256758000.0,53800000.0,37050000.0,230000.0,-2280000.0,,,,,88800000.0,-12818000.0,,-17808000.0,-28493000.0,,-54993000.0,9980000.0,-43594000.0,19903000,TRMB,2012-09-30
627855,USD,2012,Q4,2013-02-25,2015-02-25,253314000.0,258232000.0,32679000.0,43173000.0,-14669000.0,35623000.0,,,,,96806000.0,-21115000.0,,-372630000.0,-376324000.0,,264381000.0,22045000.0,295098000.0,15931000,TRMB,2012-12-31
627855,USD,2013,Q1,2013-05-02,2014-05-12,255181000.0,260299000.0,48932000.0,45525000.0,-11279000.0,-45790000.0,,,,,37388000.0,-14927000.0,,-65192000.0,-76405000.0,,9019000.0,14437000.0,28240000.0,-14219000,TRMB,2013-03-31
