SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
1077529,USD,2012,Q4,2013-02-12,2015-03-06,15850.0,15850.0,-3052000.0,66000.0,440000.0,81000.0,,,,,-2465000.0,-34000.0,,,-34000.0,,5520000.0,-605000.0,4830000.0,2331000,TTPH,2012-12-31
1077529,USD,2013,Q1,2013-05-13,2014-05-12,472296.0,472296.0,-2791000.0,36000.0,-74000.0,921000.0,,,,,-1908000.0,-10000.0,,,-10000.0,,2305000.0,68697000.0,71002000.0,69084000,TTPH,2013-03-31
1077529,USD,2013,Q2,2013-08-12,2013-08-12,1028750.0,1028750.0,-98302000.0,2451000.0,7533000.0,1644000.0,,,,,-86674000.0,-2641000.0,,,-2641000.0,,13594000.0,73371000.0,166531000.0,77216000,TTPH,2013-06-30
1077529,USD,2013,Q3,2013-11-14,2013-11-14,1033700.0,1033700.0,-108418000.0,2483000.0,8135000.0,3070000.0,,,,,-94730000.0,-2662000.0,,,-2662000.0,,12280000.0,73378000.0,165224000.0,67832000,TTPH,2013-09-30
1077529,USD,2013,Q4,2014-03-06,2016-02-25,798254.0,798254.0,179875000.0,-4841000.0,-14078000.0,-2150000.0,,,,,158806000.0,5184000.0,,,5184000.0,,-29411000.0,-95946000.0,-284489000.0,-120499000,TTPH,2013-12-31
1077529,USD,2014,Q1,2014-05-12,2015-05-07,1286700.0,1286700.0,-13523000.0,25000.0,1248000.0,-117000.0,,,,,-12367000.0,-29000.0,,,-29000.0,,-1545000.0,240000.0,-1305000.0,-13701000,TTPH,2014-03-31
1077529,USD,2014,Q2,2014-08-12,2015-08-06,1292250.0,1292250.0,-18463000.0,28000.0,1160000.0,5116000.0,,,,,-12159000.0,-27000.0,,,-27000.0,,-1581000.0,127000.0,-1454000.0,-13640000,TTPH,2014-06-30
1077529,USD,2014,Q3,2014-11-10,2015-11-02,1298350.0,1298350.0,-14205000.0,39000.0,1259000.0,-4837000.0,,,,,-17744000.0,-116000.0,,,-116000.0,,-1620000.0,106000.0,-1514000.0,-19374000,TTPH,2014-09-30
1077529,USD,2014,Q4,2015-03-06,2017-03-13,1484100.0,1484100.0,-20551000.0,32000.0,1906000.0,3260000.0,,,,,-15353000.0,-19000.0,,,-19000.0,,-1380000.0,81797000.0,80417000.0,65045000,TTPH,2014-12-31
1077529,USD,2015,Q1,2015-05-07,2016-05-04,1587500.0,1587500.0,-20986000.0,32000.0,2980000.0,-1742000.0,,,,,-19716000.0,-51000.0,,,-51000.0,,-4646000.0,163691000.0,159045000.0,139278000,TTPH,2015-03-31
1077529,USD,2015,Q2,2015-08-06,2016-08-04,1810350.0,1810350.0,-26044000.0,34000.0,3877000.0,2571000.0,,,,,-19562000.0,-663000.0,,,-663000.0,,0.0,1984000.0,1984000.0,-18241000,TTPH,2015-06-30
1077529,USD,2015,Q3,2015-11-02,2016-11-03,1823150.0,1823150.0,-18043000.0,65000.0,1274000.0,-4143000.0,,,,,-20847000.0,12000.0,,,12000.0,,0.0,1215000.0,1215000.0,-19620000,TTPH,2015-09-30
1077529,USD,2015,Q4,2016-02-25,2018-03-06,1831200.0,1831200.0,-18116000.0,62000.0,3626000.0,-2154000.0,,,,,-16582000.0,-136000.0,,,-136000.0,,0.0,171000.0,171000.0,-16547000,TTPH,2015-12-31
