SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
625611,USD,2014,Q3,2014-11-04,2015-11-02,88254078.0,90464651.0,155000000.0,58000000.0,-177000000.0,-89000000.0,,,,,-53000000.0,-29000000.0,,312000000.0,728000000.0,-2000000.0,-583000000.0,,-642000000.0,32000000,TVPT,2014-09-30
625611,USD,2014,Q4,2015-02-04,2017-02-21,122152854.0,126262049.0,-41700000.0,61848000.0,11236000.0,38067000.0,,,,,69451000.0,-28723000.0,,-8278000.0,-37001000.0,-7106000.0,-8678000.0,,-17383000.0,14263000,TVPT,2014-12-31
625611,USD,2015,Q1,2015-05-06,2016-05-05,121411360.0,121411360.0,-7108000.0,61028000.0,12733000.0,-55634000.0,,,,,11019000.0,-27084000.0,,6271000.0,-20813000.0,-9106000.0,-13994000.0,,-20821000.0,-31588000,TVPT,2015-03-31
625611,USD,2015,Q2,2015-08-04,2016-08-04,122269482.0,122717897.0,16409000.0,57847000.0,5157000.0,1734000.0,,,,,81147000.0,-25410000.0,,0.0,-25410000.0,-9449000.0,-13948000.0,,-35820000.0,19638000,TVPT,2015-06-30
625611,USD,2015,Q3,2015-11-02,2016-11-03,122495392.0,122724141.0,4950000.0,56270000.0,2810000.0,-2461000.0,,,,,61569000.0,-23891000.0,,-60533000.0,-84424000.0,-9187000.0,-15460000.0,,-3097000.0,-25710000,TVPT,2015-09-30
625611,USD,2015,Q4,2016-02-18,2018-02-20,123185730.0,123304290.0,5959000.0,59083000.0,20064000.0,23382000.0,,,,,108488000.0,-29710000.0,,-5954000.0,-35664000.0,-9339000.0,-16831000.0,12639000.0,-18299000.0,53515000,TVPT,2015-12-31
625611,USD,2016,Q1,2016-05-05,2017-05-09,123718311.0,123778407.0,17181000.0,52241000.0,2225000.0,-45443000.0,,,,,26204000.0,-22521000.0,,,-22521000.0,-9280000.0,-21484000.0,0.0,-31039000.0,-26848000,TVPT,2016-03-31
625611,USD,2016,Q2,2016-08-04,2017-08-03,123825030.0,123825030.0,-14429000.0,52246000.0,46098000.0,-7187000.0,,,,,76728000.0,-22464000.0,,-15009000.0,-37473000.0,-9285000.0,-13933000.0,0.0,-39558000.0,-1056000,TVPT,2016-06-30
625611,USD,2016,Q3,2016-11-03,2017-11-02,123920699.0,124291687.0,21404000.0,53581000.0,18299000.0,17642000.0,,,,,110926000.0,-25145000.0,,0.0,-25145000.0,-9294000.0,-66601000.0,1580000.0,-74315000.0,11463000,TVPT,2016-09-30
625611,USD,2016,Q4,2017-02-21,2018-02-20,124021876.0,129690816.0,-9110000.0,51341000.0,13606000.0,29324000.0,,,,,85161000.0,-37330000.0,,0.0,-37330000.0,-9374000.0,-34042000.0,403000.0,-45835000.0,1538000,TVPT,2016-12-31
625611,USD,2017,Q1,2017-05-09,2018-05-03,124081175.0,125516945.0,55863000.0,52909000.0,2074000.0,-15824000.0,,,,,95022000.0,-23609000.0,,,-23609000.0,-9306000.0,-15449000.0,632000.0,-24251000.0,47469000,TVPT,2017-03-31
625611,USD,2017,Q2,2017-08-03,2018-08-02,124357929.0,125756484.0,34366000.0,53648000.0,6271000.0,-10700000.0,,,,,83585000.0,-23220000.0,,-3433000.0,-26653000.0,-9551000.0,-15916000.0,484000.0,-28301000.0,29106000,TVPT,2017-06-30
625611,USD,2017,Q3,2017-11-02,2018-11-01,124469069.0,126188372.0,4681000.0,50314000.0,-586000.0,41326000.0,,,,,95735000.0,-32363000.0,,0.0,-32363000.0,-9377000.0,-66259000.0,900000.0,-75500000.0,-11867000,TVPT,2017-09-30
625611,USD,2017,Q4,2018-02-20,2018-02-20,125212235.0,126572331.0,43363000.0,50439000.0,-44451000.0,-6031000.0,,,,,43320000.0,-38322000.0,,0.0,-38322000.0,-10555000.0,-69437000.0,1061000.0,-87698000.0,-82607000,TVPT,2017-12-31
625611,USD,2018,Q1,2018-05-03,2018-05-03,125428257.0,126131201.0,31484000.0,48577000.0,20111000.0,-17075000.0,,,,,83097000.0,-36663000.0,,,-36663000.0,-9427000.0,-16750000.0,2088000.0,-41705000.0,5126000,TVPT,2018-03-31
625611,USD,2018,Q2,2018-08-02,2018-08-02,126043518.0,126979505.0,7005000.0,49568000.0,33515000.0,29101000.0,,,,,119189000.0,-37803000.0,,,-37803000.0,-9610000.0,-10978000.0,3992000.0,-23765000.0,56345000,TVPT,2018-06-30
625611,USD,2018,Q3,2018-11-01,2018-11-01,126246210.0,128389385.0,5870000.0,50253000.0,9702000.0,17324000.0,,,,,83149000.0,-34770000.0,,,-34770000.0,-9435000.0,-19154000.0,2380000.0,-27836000.0,20296000,TVPT,2018-09-30
625611,USD,2018,Q4,2019-02-22,2019-02-22,126433803.0,130194253.0,3067000.0,50247000.0,35499000.0,-9884000.0,,,,,78929000.0,-35397000.0,,,-35397000.0,-9621000.0,-20628000.0,435000.0,-30605000.0,12574000,TVPT,2018-12-31
