SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
895523,USD,2011,Q2,2011-12-11,2012-08-08,33942000.0,34790000.0,5779000.0,12443000.0,1364000.0,8548000.0,,,,,28134000.0,-11877000.0,,0.0,-13667000.0,,-16524000.0,-3714000.0,-18100000.0,-3381000,TVTY,2011-06-30
895523,USD,2011,Q3,2011-11-08,2012-11-08,33534000.0,34178000.0,9463000.0,12467000.0,2389000.0,-14961000.0,,,,,9358000.0,-11844000.0,,-23523000.0,-37335000.0,,49080000.0,-13158000.0,34085000.0,5681000,TVTY,2011-09-30
895523,USD,2011,Q4,2012-03-14,2014-03-14,33257000.0,31050000.0,-177070000.0,12645000.0,184962000.0,-2575000.0,,,,,17962000.0,-15782000.0,,0.0,-17586000.0,,-6898000.0,13000.0,-6274000.0,-5772000,TVTY,2011-12-31
895523,USD,2012,Q1,2012-05-09,2013-05-09,33346000.0,33346000.0,-2665000.0,12173000.0,-2056000.0,-19026000.0,,,,,-11574000.0,-15085000.0,,,-16910000.0,,24347000.0,9000.0,28646000.0,282000,TVTY,2012-03-31
895523,USD,2012,Q2,2012-08-08,2013-08-08,33424000.0,33525000.0,5057000.0,12801000.0,1522000.0,3403000.0,,,,,22783000.0,-12705000.0,,-4693000.0,-19852000.0,,48000.0,0.0,-2596000.0,176000,TVTY,2012-06-30
895523,USD,2012,Q3,2012-11-08,2013-11-06,33683000.0,34068000.0,5028000.0,13259000.0,2145000.0,-8250000.0,,,,,12182000.0,-12945000.0,,0.0,-14741000.0,,-1836000.0,2826000.0,3745000.0,1249000,TVTY,2012-09-30
895523,USD,2012,Q4,2013-03-15,2015-03-13,33935000.0,34405000.0,604000.0,13501000.0,122000.0,3080000.0,,,,,17307000.0,-8177000.0,,0.0,-8974000.0,,-3364000.0,0.0,-9238000.0,-812000,TVTY,2012-12-31
895523,USD,2013,Q1,2013-05-09,2014-05-09,34018000.0,34018000.0,-3949000.0,13533000.0,784000.0,15661000.0,,,,,26029000.0,-11264000.0,,,-13182000.0,,-21878000.0,360000.0,-11868000.0,625000,TVTY,2013-03-31
895523,USD,2013,Q2,2013-08-08,2014-08-08,34188000.0,34188000.0,-1102000.0,13015000.0,3330000.0,-2373000.0,,,,,12870000.0,-8315000.0,,-830000.0,-11070000.0,,-3749000.0,1804000.0,-1178000.0,-133000,TVTY,2013-06-30
895523,USD,2013,Q3,2013-11-06,2014-11-07,34682000.0,35834000.0,1800000.0,12951000.0,2218000.0,-4503000.0,,,,,12466000.0,-13254000.0,,0.0,-15165000.0,,44197000.0,10398000.0,2894000.0,564000,TVTY,2013-09-30
895523,USD,2013,Q4,2014-04-30,2016-03-04,35068000.0,33916000.0,-5290000.0,13292000.0,197000.0,11964000.0,,,,,20163000.0,-8513000.0,,0.0,-10476000.0,,-10444000.0,186000.0,-9744000.0,-231000,TVTY,2013-12-31
895523,USD,2014,Q1,2014-05-09,2015-05-08,35151000.0,35151000.0,-9596000.0,13336000.0,6681000.0,-1312000.0,,,,,9109000.0,-10566000.0,,,-12476000.0,,3890000.0,163000.0,2634000.0,-426000,TVTY,2014-03-31
895523,USD,2014,Q2,2014-08-08,2015-08-07,35285000.0,35285000.0,-517000.0,13536000.0,5011000.0,-7828000.0,,,,,10202000.0,-10410000.0,,,-12329000.0,,-12544000.0,1102000.0,2313000.0,269000,TVTY,2014-06-30
895523,USD,2014,Q3,2014-11-07,2015-11-06,35351000.0,36477000.0,1974000.0,13378000.0,2565000.0,-4909000.0,,,,,13008000.0,-10951000.0,,,-13440000.0,,1442000.0,233000.0,812000.0,-719000,TVTY,2014-09-30
895523,USD,2014,Q4,2015-03-13,2017-03-06,35421000.0,38471000.0,2578000.0,13128000.0,5753000.0,-1680000.0,,,,,19779000.0,-11064000.0,,0.0,-12960000.0,,-7177000.0,1353000.0,-5936000.0,404000,TVTY,2014-12-31
895523,USD,2015,Q1,2015-05-08,2016-05-06,35595000.0,35595000.0,-2913000.0,12643000.0,11594000.0,-19493000.0,,,,,1831000.0,-8609000.0,,,-11720000.0,,9764000.0,1138000.0,13128000.0,1987000,TVTY,2015-03-31
895523,USD,2015,Q2,2015-08-07,2016-08-09,35734000.0,36881000.0,117000.0,12218000.0,-2369000.0,17190000.0,,,,,27156000.0,-8723000.0,,0.0,-10612000.0,,-13475000.0,-1679000.0,-15384000.0,-824000,TVTY,2015-06-30
895523,USD,2015,Q3,2015-11-06,2016-11-08,35939000.0,36514000.0,-9144000.0,12238000.0,14510000.0,-7764000.0,,,,,9840000.0,-9058000.0,,0.0,-10984000.0,,-3167000.0,1172000.0,-1371000.0,-1156000,TVTY,2015-09-30
895523,USD,2015,Q4,2016-03-04,2018-02-28,36060000.0,38426000.0,-19378000.0,12756000.0,9782000.0,22517000.0,,,,,25677000.0,-8340000.0,,4369000.0,-4047000.0,,-17978000.0,3000.0,-21768000.0,-290000,TVTY,2015-12-31
895523,USD,2016,Q1,2016-05-06,2017-05-04,36109000.0,36861000.0,-13897000.0,12746000.0,2750000.0,6011000.0,,,,,7610000.0,-6450000.0,,,-7178000.0,,-4584000.0,0.0,-197000.0,636000,TVTY,2016-03-31
895523,USD,2016,Q2,2016-08-09,2017-08-04,36172000.0,37227000.0,-175492000.0,12578000.0,172806000.0,14733000.0,,,,,24625000.0,-3880000.0,,5156000.0,602000.0,,-7017000.0,30000.0,-20648000.0,3766000,TVTY,2016-06-30
895523,USD,2016,Q3,2016-11-08,2017-11-03,37037000.0,38421000.0,53874000.0,4995000.0,-52080000.0,-20946000.0,,,,,-14157000.0,-2530000.0,,0.0,-30682000.0,,22904000.0,8717000.0,38065000.0,-3908000,TVTY,2016-09-30
895523,USD,2016,Q4,2017-03-06,2019-02-26,38678000.0,39791000.0,6900000.0,973000.0,17556000.0,2094000.0,,,,,27523000.0,-1614000.0,,0.0,-1614000.0,,-22752000.0,1255000.0,-23956000.0,875000,TVTY,2016-12-31
895523,USD,2017,Q1,2017-05-04,2018-05-04,39069000.0,40541000.0,15261000.0,793000.0,11990000.0,-25020000.0,,,,,3024000.0,-1234000.0,,,-1234000.0,,-5490000.0,2250000.0,-2970000.0,-938000,TVTY,2017-03-31
