SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
367644,USD,2010,Q3,2010-10-22,2011-10-21,986000000.0,995400000.0,778000000.0,372000000.0,310000000.0,-435000000.0,,,,,1025000000.0,-616000000.0,,,-605000000.0,-166000000.0,348000000.0,-597000000.0,-379000000.0,41000000,UNP,2010-09-30
367644,USD,2010,Q4,2011-02-04,2013-02-08,987000000.0,997400000.0,775000000.0,380000000.0,251000000.0,-21000000.0,,,,,1385000000.0,-774000000.0,,,-815000000.0,-164000000.0,-479000000.0,-230000000.0,-842000000.0,-272000000,UNP,2010-12-31
367644,USD,2011,Q1,2011-04-21,2012-04-19,979200000.0,988200000.0,639000000.0,395000000.0,172000000.0,88000000.0,,,,,1294000000.0,-591000000.0,,,-657000000.0,-186000000.0,-87000000.0,-248000000.0,-475000000.0,162000000,UNP,2011-03-31
367644,USD,2011,Q2,2011-07-22,2012-07-20,976800000.0,984800000.0,785000000.0,401000000.0,287000000.0,-127000000.0,,,,,1346000000.0,-706000000.0,,,-709000000.0,-188000000.0,-316000000.0,-360000000.0,-830000000.0,-193000000,UNP,2011-06-30
367644,USD,2011,Q3,2011-10-21,2012-10-18,968400000.0,976200000.0,904000000.0,408000000.0,262000000.0,120000000.0,,,,,1694000000.0,-870000000.0,,,-875000000.0,-233000000.0,429000000.0,-428000000.0,-227000000.0,592000000,UNP,2011-09-30
367644,USD,2011,Q4,2012-02-03,2014-02-07,961200000.0,969200000.0,964000000.0,413000000.0,265000000.0,-103000000.0,,,,,1539000000.0,-901000000.0,,,-878000000.0,-230000000.0,-502000000.0,-382000000.0,-1091000000.0,-430000000,UNP,2011-12-31
367644,USD,2012,Q1,2012-04-19,2013-04-18,955600000.0,962800000.0,863000000.0,427000000.0,124000000.0,-10000000.0,,,,,1404000000.0,-791000000.0,,,-830000000.0,-289000000.0,-72000000.0,-433000000.0,-796000000.0,-222000000,UNP,2012-03-31
367644,USD,2012,Q2,2012-07-20,2013-07-19,947600000.0,954400000.0,1002000000.0,433000000.0,150000000.0,-213000000.0,,,,,1372000000.0,-995000000.0,,,-1052000000.0,-286000000.0,574000000.0,-400000000.0,-114000000.0,206000000,UNP,2012-06-30
367644,USD,2012,Q3,2012-10-18,2013-10-17,944000000.0,950400000.0,1042000000.0,447000000.0,216000000.0,-115000000.0,,,,,1590000000.0,-1035000000.0,,,-984000000.0,-285000000.0,-57000000.0,-346000000.0,-677000000.0,-71000000,UNP,2012-09-30
367644,USD,2012,Q4,2013-02-08,2015-02-06,937600000.0,944000000.0,1036000000.0,453000000.0,397000000.0,-91000000.0,,,,,1795000000.0,-837000000.0,,,-767000000.0,-286000000.0,-508000000.0,-295000000.0,-1095000000.0,-67000000,UNP,2012-12-31
