SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
515633,USD,2011,Q2,2011-08-08,2012-08-08,3626000.0,3645000.0,1983000.0,856000.0,-145000.0,-1011000.0,,,,,1683000.0,-141000.0,0.0,0.0,-141000.0,-851000.0,-1795000.0,339000.0,-2294000.0,-741000,UTMD,2011-06-30
515633,USD,2011,Q3,2011-11-07,2012-11-09,3636000.0,3644000.0,2237000.0,839000.0,-174000.0,510000.0,,,,,3412000.0,-39000.0,0.0,0.0,-39000.0,-854000.0,-1755000.0,67000.0,-2535000.0,774000,UTMD,2011-09-30
515633,USD,2011,Q4,2012-03-12,2014-03-12,3642000.0,3659000.0,1858000.0,813000.0,-86000.0,923000.0,,,,,3508000.0,-53000.0,0.0,0.0,-53000.0,-1728000.0,-2260000.0,43000.0,-3941000.0,-504000,UTMD,2011-12-31
515633,USD,2012,Q1,2012-05-09,2013-05-08,3649000.0,3675000.0,2789000.0,820000.0,-224000.0,49000.0,,,,,3434000.0,-62000.0,,,-62000.0,0.0,-2464000.0,585000.0,-1824000.0,1624000,UTMD,2012-03-31
515633,USD,2012,Q2,2012-08-08,2013-08-08,3678000.0,3711000.0,2401000.0,819000.0,-158000.0,41000.0,,,,,3103000.0,-72000.0,0.0,,-72000.0,-878000.0,-2757000.0,393000.0,-3198000.0,-246000,UTMD,2012-06-30
515633,USD,2012,Q3,2012-11-09,2013-11-06,3689000.0,3726000.0,2720000.0,812000.0,-167000.0,595000.0,,,,,3960000.0,-62000.0,0.0,,-62000.0,-884000.0,-1953000.0,207000.0,-2630000.0,1374000,UTMD,2012-09-30
515633,USD,2012,Q4,2013-03-07,2015-03-12,3692000.0,3732000.0,2259000.0,815000.0,201000.0,-209000.0,,,,,3066000.0,-59000.0,0.0,,-12000.0,-1793000.0,-1919000.0,618000.0,-3519000.0,-415000,UTMD,2012-12-31
515633,USD,2013,Q1,2013-05-08,2014-05-07,3711000.0,3757000.0,2735000.0,794000.0,-170000.0,-640000.0,,,,,2719000.0,-52000.0,0.0,,-52000.0,0.0,-969000.0,340000.0,-544000.0,1999000,UTMD,2013-03-31
515633,USD,2013,Q2,2013-08-08,2014-08-08,3725000.0,3770000.0,2633000.0,787000.0,-175000.0,-922000.0,,,,,2323000.0,-64000.0,0.0,,-64000.0,-911000.0,-966000.0,150000.0,-1703000.0,516000,UTMD,2013-06-30
515633,USD,2013,Q3,2013-11-06,2014-11-04,3735000.0,3781000.0,2570000.0,792000.0,-190000.0,844000.0,,,,,4016000.0,-111000.0,0.0,,-111000.0,-913000.0,-974000.0,157000.0,-1688000.0,2484000,UTMD,2013-09-30
515633,USD,2013,Q4,2014-03-12,2016-03-10,3741000.0,3792000.0,3468000.0,822000.0,-820000.0,-220000.0,,,,,3250000.0,-117000.0,0.0,,-117000.0,-1851000.0,-999000.0,140000.0,-2665000.0,525000,UTMD,2013-12-31
515633,USD,2014,Q1,2014-05-07,2015-05-06,3750000.0,3787000.0,2722000.0,838000.0,-185000.0,-1453000.0,,,,,1922000.0,-658000.0,,,-658000.0,0.0,-1012000.0,244000.0,-694000.0,643000,UTMD,2014-03-31
515633,USD,2014,Q2,2014-08-08,2015-08-07,3750000.0,3775000.0,2834000.0,849000.0,-63000.0,218000.0,,,,,3838000.0,-178000.0,,,-178000.0,-938000.0,-1023000.0,27000.0,-2706000.0,901000,UTMD,2014-06-30
515633,USD,2014,Q3,2014-11-04,2015-11-06,3741000.0,3764000.0,2822000.0,851000.0,-139000.0,1564000.0,,,,,5098000.0,-117000.0,,,-117000.0,-936000.0,-1017000.0,90000.0,-2043000.0,2309000,UTMD,2014-09-30
515633,USD,2014,Q4,2015-03-12,2017-03-08,3747000.0,3770000.0,3000000.0,818000.0,-31000.0,742000.0,,,,,4529000.0,-179000.0,,,-179000.0,-1891000.0,-983000.0,130000.0,-2818000.0,1026000,UTMD,2014-12-31
