SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
809892,USD,2014,Q3,2014-11-11,2015-11-16,78428000.0,78428000.0,-51693000.0,6195000.0,32052000.0,-33208000.0,,,,,-46654000.0,-3177000.0,,0.0,-102256000.0,,10805000.0,103500000.0,189829000.0,40919000,VSLR,2014-09-30
809892,USD,2014,Q4,2015-02-11,2017-03-16,105356000.0,103025000.0,-38072000.0,6860000.0,32851000.0,-32686000.0,,,,,-31047000.0,-550000.0,,0.0,-134460000.0,,17187000.0,309412000.0,361007000.0,195500000,VSLR,2014-12-31
809892,USD,2015,Q1,2015-05-14,2016-05-09,105303000.0,109051000.0,-59975000.0,7971000.0,25032000.0,-17088000.0,,,,,-44060000.0,-1198000.0,,,-115027000.0,,16487000.0,,91673000.0,-67414000,VSLR,2015-03-31
809892,USD,2015,Q2,2015-08-11,2016-08-08,105988000.0,109794000.0,-89705000.0,9266000.0,57591000.0,-55049000.0,,,,,-77897000.0,-2533000.0,,,-128886000.0,,84943000.0,588000.0,164772000.0,-42011000,VSLR,2015-06-30
809892,USD,2015,Q3,2015-11-16,2016-11-08,106492000.0,110223000.0,-50312000.0,10729000.0,28012000.0,-9390000.0,,,,,-20961000.0,-3226000.0,,,-153374000.0,,46975000.0,60000.0,103866000.0,-70469000,VSLR,2015-09-30
809892,USD,2015,Q4,2016-03-15,2018-03-07,106569000.0,110364000.0,-53273000.0,10130000.0,33171000.0,-34641000.0,,,,,-44613000.0,-571000.0,,,-159159000.0,,164310000.0,1000.0,214230000.0,10458000,VSLR,2015-12-31
809892,USD,2016,Q1,2016-05-09,2017-05-09,106619000.0,106619000.0,-105562000.0,9368000.0,83640000.0,-47935000.0,,,,,-60489000.0,-1683000.0,,,-110993000.0,,89071000.0,,166433000.0,-5049000,VSLR,2016-03-31
809892,USD,2016,Q2,2016-08-08,2017-08-08,107226000.0,111380000.0,-52303000.0,10928000.0,39874000.0,-46732000.0,,,,,-48233000.0,-122000.0,,,-106951000.0,,49286000.0,490000.0,137634000.0,-17550000,VSLR,2016-06-30
809892,USD,2016,Q3,2016-11-08,2017-11-07,108692000.0,113344000.0,-39265000.0,12842000.0,48866000.0,-37601000.0,,,,,-15158000.0,-490000.0,,,-111058000.0,,134560000.0,2155000.0,169639000.0,43423000,VSLR,2016-09-30
809892,USD,2016,Q4,2017-03-16,2018-03-07,110223000.0,118809000.0,-45407000.0,14584000.0,54975000.0,-65962000.0,,,,,-41810000.0,132000.0,,,-85445000.0,,79816000.0,192000.0,110804000.0,-16451000,VSLR,2016-12-31
809892,USD,2017,Q1,2017-05-09,2018-05-08,110765000.0,116398000.0,-55452000.0,14302000.0,43825000.0,723000.0,,,,,3398000.0,-107000.0,,,-75247000.0,,112247000.0,147000.0,145497000.0,73648000,VSLR,2017-03-31
809892,USD,2017,Q2,2017-08-08,2018-08-07,112351000.0,117570000.0,-37054000.0,15016000.0,36757000.0,-31541000.0,,,,,-16822000.0,574000.0,,,-69319000.0,,1343000.0,86000.0,47950000.0,-38191000,VSLR,2017-06-30
809892,USD,2017,Q3,2017-11-07,2018-11-06,114505000.0,119465000.0,-37700000.0,15771000.0,37439000.0,-26760000.0,,,,,-11250000.0,813000.0,,,-63163000.0,,27279000.0,370000.0,62865000.0,-11548000,VSLR,2017-09-30
809892,USD,2017,Q4,2018-03-07,2019-03-05,114907000.0,119639000.0,138676000.0,16075000.0,-145808000.0,-18123000.0,,,,,-9180000.0,476000.0,,,-63446000.0,,42500000.0,34000.0,80216000.0,7590000,VSLR,2017-12-31
809892,USD,2018,Q1,2018-05-08,2019-05-09,115155000.0,115155000.0,-61384000.0,16443000.0,21566000.0,9204000.0,,,,,-14171000.0,735000.0,,,-71473000.0,,32089000.0,207000.0,56945000.0,-28699000,VSLR,2018-03-31
809892,USD,2018,Q2,2018-08-07,2018-08-07,116650000.0,121753000.0,-58690000.0,16997000.0,52626000.0,-15628000.0,,,,,-4695000.0,1043000.0,,,-72996000.0,,154157000.0,630000.0,192152000.0,114461000,VSLR,2018-06-30
809892,USD,2018,Q3,2019-03-04,2019-03-04,118767000.0,118767000.0,-72692000.0,17807000.0,30741000.0,19952000.0,,,,,-4192000.0,205000.0,,,-87096000.0,,37548000.0,39000.0,107556000.0,16268000,VSLR,2018-09-30
809892,USD,2018,Q4,2019-03-05,2019-03-05,119688000.0,114585000.0,-86797000.0,18387000.0,34917000.0,10896000.0,,,,,-22597000.0,630000.0,,,-97538000.0,,60774000.0,471000.0,154063000.0,33928000,VSLR,2018-12-31
809892,USD,2019,Q1,2019-05-09,2019-05-09,120307000.0,120307000.0,-89234000.0,17659000.0,34973000.0,-33391000.0,,,,,-69993000.0,358000.0,,,-64168000.0,,56355000.0,39000.0,131749000.0,-2412000,VSLR,2019-03-31
809892,USD,2019,Q2,2019-08-08,2019-08-08,120869000.0,120869000.0,-87661000.0,21658000.0,38717000.0,-43805000.0,,,,,-71091000.0,-224000.0,,,-60213000.0,,56837000.0,231000.0,120338000.0,-10966000,VSLR,2019-06-30
809892,USD,2019,Q3,2019-11-06,2019-11-06,121730000.0,121730000.0,-121100000.0,21926000.0,60365000.0,-35029000.0,,,,,-73838000.0,672000.0,,,-63230000.0,,101273000.0,34000.0,204046000.0,66978000,VSLR,2019-09-30
809892,USD,2019,Q4,2020-03-10,2020-03-10,122334000.0,122334000.0,-125325000.0,20687000.0,51214000.0,-54821000.0,,,,,-108245000.0,663000.0,,,-128225000.0,,72142000.0,699000.0,147914000.0,-88556000,VSLR,2019-12-31
809892,USD,2020,Q1,2020-05-07,2020-05-07,123922000.0,123922000.0,-125314000.0,21224000.0,65886000.0,-57658000.0,,,,,-95862000.0,-1471000.0,,,-80889000.0,,71981000.0,1027000.0,146499000.0,-30252000,VSLR,2020-03-31
