SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
1071165,USD,2014,Q3,2014-11-06,2015-11-05,67700000.0,67700000.0,69800000.0,31300000.0,-42300000.0,-40100000.0,,,,,18700000.0,-8200000.0,,-4300000.0,-12000000.0,,-32000000.0,,-30300000.0,-30800000,VWR,2014-09-30
1071165,USD,2014,Q4,2015-02-12,2017-02-24,129300000.0,130100000.0,48800000.0,31700000.0,-2300000.0,25700000.0,,,,,103900000.0,-10300000.0,,-57500000.0,-67800000.0,,-570300000.0,582600000.0,-32500000.0,-2800000,VWR,2014-12-31
1071165,USD,2015,Q1,2015-05-14,2016-05-05,131400000.0,131900000.0,71500000.0,30500000.0,-31400000.0,-80500000.0,,,,,-9900000.0,-9500000.0,,-15600000.0,-24900000.0,,36200000.0,,23800000.0,-19500000,VWR,2015-03-31
1071165,USD,2015,Q2,2015-08-12,2016-08-04,131400000.0,132100000.0,18300000.0,30800000.0,23700000.0,34200000.0,,,,,107000000.0,-7000000.0,,-29000000.0,-34300000.0,,-40300000.0,,-43500000.0,31400000,VWR,2015-06-30
1071165,USD,2015,Q3,2015-11-05,2016-11-03,131400000.0,131500000.0,11000000.0,31200000.0,34700000.0,-16700000.0,,,,,60200000.0,-8200000.0,,-1000000.0,-9000000.0,,-18900000.0,,-55800000.0,-7100000,VWR,2015-09-30
1071165,USD,2015,Q4,2016-02-25,2017-02-24,131400000.0,131700000.0,53500000.0,32000000.0,5800000.0,-23600000.0,,,,,67700000.0,-16200000.0,,-13500000.0,-29700000.0,,-20200000.0,1300000.0,-20600000.0,13500000,VWR,2015-12-31
1071165,USD,2016,Q1,2016-05-05,2017-05-05,131400000.0,131600000.0,38800000.0,30800000.0,13900000.0,-41500000.0,,,,,42000000.0,-14300000.0,,-28900000.0,-43200000.0,,66700000.0,,-10300000.0,-6600000,VWR,2016-03-31
1071165,USD,2016,Q2,2016-08-04,2017-07-31,131400000.0,131700000.0,41800000.0,32600000.0,9600000.0,-6400000.0,,,,,77600000.0,-15500000.0,,-16100000.0,-31600000.0,,-58100000.0,,-60400000.0,-16800000,VWR,2016-06-30
1071165,USD,2016,Q3,2016-11-03,2017-11-07,131500000.0,131900000.0,40600000.0,33100000.0,7000000.0,-14200000.0,,,,,66500000.0,-15700000.0,,-15800000.0,-31500000.0,,-5800000.0,,-7500000.0,28800000,VWR,2016-09-30
1071165,USD,2016,Q4,2017-02-24,2017-02-24,131700000.0,132000000.0,27000000.0,33600000.0,-1000000.0,20500000.0,,,,,80100000.0,-14400000.0,,-82000000.0,-96400000.0,,47800000.0,4700000.0,51400000.0,27000000,VWR,2016-12-31
1071165,USD,2017,Q1,2017-05-05,2017-05-05,131600000.0,132000000.0,38500000.0,34100000.0,-100000.0,-6000000.0,,,,,66500000.0,-13200000.0,,-156900000.0,-170100000.0,,116400000.0,,74500000.0,-27200000,VWR,2017-03-31
1071165,USD,2017,Q2,2017-07-31,2017-07-31,131700000.0,132600000.0,37000000.0,37100000.0,-6800000.0,-46800000.0,,,,,20500000.0,-12700000.0,,-31700000.0,-44400000.0,,-9800000.0,,-10400000.0,-29300000,VWR,2017-06-30
