SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
378240,USD,2010,Q3,2010-11-05,2011-11-04,91714000.0,93286000.0,94719000.0,8779000.0,15825000.0,-9094000.0,,,,,110229000.0,-26048000.0,-130717000.0,,-156765000.0,,35385000.0,-57403000.0,-20019000.0,-48092000,WAT,2010-09-30
378240,USD,2010,Q4,2011-02-25,2013-02-26,91585000.0,93441000.0,126604000.0,8524000.0,15202000.0,-10583000.0,,,,,139747000.0,-15463000.0,-63615000.0,0.0,-79078000.0,,-26188000.0,22335000.0,-7023000.0,45706000,WAT,2010-12-31
378240,USD,2011,Q1,2011-05-06,2012-05-04,91649000.0,93313000.0,94489000.0,8640000.0,23134000.0,2330000.0,,,,,128593000.0,-16839000.0,-104268000.0,,-121107000.0,,24291000.0,-59096000.0,-33082000.0,-11638000,WAT,2011-03-31
378240,USD,2011,Q2,2011-08-05,2012-08-03,91662000.0,93271000.0,100075000.0,9299000.0,24257000.0,-26999000.0,,,,,106632000.0,-18433000.0,-34574000.0,,-53007000.0,,45830000.0,-51750000.0,-6891000.0,48054000,WAT,2011-06-30
378240,USD,2011,Q3,2011-11-04,2012-11-02,90688000.0,92060000.0,101257000.0,9328000.0,14020000.0,2798000.0,,,,,127403000.0,-16072000.0,6472000.0,-11000000.0,-20600000.0,,135402000.0,-141452000.0,-13296000.0,79012000,WAT,2011-09-30
378240,USD,2011,Q4,2012-02-24,2014-02-27,89333000.0,90656000.0,137147000.0,9264000.0,25704000.0,-5130000.0,,,,,166985000.0,-34092000.0,-127070000.0,-100000.0,-161262000.0,,19254000.0,-58384000.0,-39392000.0,-39936000,WAT,2011-12-31
378240,USD,2012,Q1,2012-05-04,2013-05-03,88992000.0,90269000.0,88666000.0,7763000.0,18731000.0,1541000.0,,,,,116701000.0,-15534000.0,-29006000.0,-18414000.0,-62954000.0,,32052000.0,-53525000.0,-17498000.0,43196000,WAT,2012-03-31
378240,USD,2012,Q2,2012-08-03,2013-08-01,88317000.0,89381000.0,97724000.0,9405000.0,14632000.0,-16356000.0,,,,,105405000.0,-31386000.0,-96341000.0,0.0,-127727000.0,,77738000.0,-99109000.0,-24871000.0,-57757000,WAT,2012-06-30
378240,USD,2012,Q3,2012-11-02,2013-11-01,87411000.0,88451000.0,99109000.0,9933000.0,17299000.0,-26759000.0,,,,,99582000.0,-26128000.0,-69440000.0,-12602000.0,-108170000.0,,46349000.0,-61364000.0,-15088000.0,-13136000,WAT,2012-09-30
378240,USD,2012,Q4,2013-02-26,2015-02-27,86644000.0,87815000.0,175944000.0,10321000.0,-29465000.0,-18640000.0,,,,,138160000.0,-31701000.0,34158000.0,0.0,2457000.0,,30078000.0,-53011000.0,-19646000.0,124742000,WAT,2012-12-31
