SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
646168,USD,2011,Q2,2011-07-20,2012-07-19,6987612.0,7186391.0,3737000.0,188000.0,2207000.0,-2629000.0,,,,,3503000.0,-343000.0,,20000.0,-323000.0,-2645000.0,,-21000.0,-2656000.0,524000,WHG,2011-06-30
646168,USD,2011,Q3,2011-10-19,2012-10-18,7005473.0,7216138.0,3283000.0,178000.0,2994000.0,-810000.0,,,,,5645000.0,-516000.0,,25000.0,-491000.0,-2650000.0,,-3240000.0,-5756000.0,-602000,WHG,2011-09-30
646168,USD,2011,Q4,2012-02-28,2014-02-28,6950564.0,7221055.0,4117000.0,204000.0,739000.0,-828000.0,,,,,4232000.0,-336000.0,,-595000.0,-931000.0,-2623000.0,,-99000.0,-2609000.0,692000,WHG,2011-12-31
646168,USD,2012,Q1,2012-04-19,2013-04-18,7087778.0,7268353.0,3785000.0,203000.0,4082000.0,-3229000.0,,,,,4841000.0,-48000.0,,22000.0,-26000.0,-2759000.0,,-3403000.0,-5574000.0,-759000,WHG,2012-03-31
646168,USD,2012,Q2,2012-07-19,2013-07-18,7162540.0,7250707.0,2198000.0,207000.0,1121000.0,-1378000.0,,,,,2148000.0,-146000.0,950000.0,188000.0,992000.0,-184000.0,,-393000.0,-489000.0,2633000,WHG,2012-06-30
646168,USD,2012,Q3,2012-10-18,2013-10-17,7166020.0,7323245.0,2504000.0,213000.0,1625000.0,-2193000.0,,,,,2149000.0,-44000.0,0.0,0.0,-44000.0,-2532000.0,,0.0,-2532000.0,-361000,WHG,2012-09-30
646168,USD,2012,Q4,2013-02-28,2015-02-26,7166466.0,7385835.0,3599000.0,198000.0,-1350000.0,1890000.0,,,,,4337000.0,-26000.0,950000.0,0.0,924000.0,-8506000.0,,3796000.0,-8201000.0,-2960000,WHG,2012-12-31
646168,USD,2013,Q1,2013-04-18,2014-04-17,7287161.0,7481668.0,2833000.0,180000.0,4486000.0,-2207000.0,,,,,5292000.0,-247000.0,,,-247000.0,,,-3721000.0,-3049000.0,1957000,WHG,2013-03-31
646168,USD,2013,Q2,2013-07-18,2014-07-30,7349868.0,7495523.0,4879000.0,187000.0,2098000.0,-2755000.0,,,,,4409000.0,-66000.0,,,-66000.0,-2988000.0,,-916000.0,-3892000.0,359000,WHG,2013-06-30
646168,USD,2013,Q3,2013-10-17,2014-10-23,7374600.0,7597001.0,4362000.0,191000.0,1737000.0,3242000.0,,,,,9532000.0,-338000.0,,,-338000.0,-3358000.0,,3759000.0,-3376000.0,5876000,WHG,2013-09-30
646168,USD,2013,Q4,2014-02-28,2016-02-25,7315867.0,8196832.0,5763000.0,211000.0,2050000.0,-5552000.0,,,,,2472000.0,-550000.0,,0.0,-550000.0,-2984000.0,,0.0,-2984000.0,-1145000,WHG,2013-12-31
646168,USD,2014,Q1,2014-04-17,2015-04-29,7474415.0,7751243.0,5562000.0,234000.0,5453000.0,3348000.0,,,,,14597000.0,-121000.0,,,-121000.0,-3942000.0,,-669000.0,-7888000.0,6510000,WHG,2014-03-31
646168,USD,2014,Q2,2014-07-30,2015-07-29,7523347.0,7679032.0,8591000.0,234000.0,1110000.0,-7805000.0,,,,,2130000.0,-181000.0,,0.0,-181000.0,-3349000.0,,669000.0,-3326000.0,-1311000,WHG,2014-06-30
646168,USD,2014,Q3,2014-10-23,2015-10-28,7525489.0,7734309.0,7118000.0,238000.0,-2566000.0,-649000.0,,,,,4141000.0,-35000.0,,0.0,-35000.0,-3346000.0,,-669000.0,-3432000.0,422000,WHG,2014-09-30
646168,USD,2014,Q4,2015-02-26,2017-02-23,7526141.0,8461596.0,5978000.0,232000.0,5630000.0,-6185000.0,,,,,5655000.0,-141000.0,,0.0,-141000.0,-3325000.0,,669000.0,-3325000.0,1646000,WHG,2014-12-31
646168,USD,2015,Q1,2015-04-29,2016-04-27,7596223.0,7861090.0,5610000.0,235000.0,1597000.0,6339000.0,,,,,13781000.0,-288000.0,,,-288000.0,-4855000.0,,0.0,-10328000.0,1476000,WHG,2015-03-31
646168,USD,2015,Q2,2015-07-29,2016-07-27,7806031.0,7961406.0,9795000.0,642000.0,4009000.0,16625000.0,,,,,31071000.0,-276000.0,,-24133000.0,-24409000.0,-3888000.0,,0.0,-3922000.0,3160000,WHG,2015-06-30
646168,USD,2015,Q3,2015-10-28,2016-10-26,7808239.0,8037080.0,7013000.0,680000.0,4080000.0,-5025000.0,,,,,6748000.0,-140000.0,,0.0,-140000.0,-4322000.0,,0.0,-4331000.0,1116000,WHG,2015-09-30
646168,USD,2015,Q4,2016-02-25,2018-02-23,7816095.0,8738020.0,4687000.0,1039000.0,3703000.0,-5821000.0,,,,,3608000.0,-247000.0,,0.0,-247000.0,-3554000.0,0.0,0.0,-3558000.0,-1143000,WHG,2015-12-31
646168,USD,2016,Q1,2016-04-27,2017-04-26,7862449.0,8047084.0,3522000.0,748000.0,3769000.0,9186000.0,,,,,17225000.0,-378000.0,,,-378000.0,-5724000.0,,-4411000.0,-14280000.0,3685000,WHG,2016-03-31
646168,USD,2016,Q2,2016-07-27,2017-07-26,8000214.0,8172923.0,5661000.0,726000.0,3928000.0,3070000.0,,,,,13385000.0,-616000.0,,,-616000.0,-4558000.0,-5562000.0,-10000.0,-10130000.0,2699000,WHG,2016-06-30
646168,USD,2016,Q3,2016-10-26,2017-10-25,7995680.0,8179956.0,5887000.0,728000.0,4015000.0,-2243000.0,,,,,8387000.0,-686000.0,,,-686000.0,-4545000.0,0.0,-1208000.0,-5767000.0,1568000,WHG,2016-09-30
646168,USD,2016,Q4,2017-02-23,2018-02-23,7989221.0,8261937.0,7577000.0,727000.0,3985000.0,-3894000.0,,,,,8395000.0,-130000.0,,0.0,-130000.0,-4615000.0,0.0,-5000.0,-4767000.0,2987000,WHG,2016-12-31
646168,USD,2017,Q1,2017-04-26,2018-04-25,8065825.0,8311382.0,6064000.0,730000.0,3613000.0,-466000.0,,,,,9941000.0,-150000.0,,0.0,-150000.0,-6564000.0,,,-13079000.0,-3053000,WHG,2017-03-31
646168,USD,2017,Q2,2017-07-26,2018-07-25,8167277.0,8316508.0,6896000.0,729000.0,4511000.0,4745000.0,,,,,16881000.0,-95000.0,,0.0,-95000.0,-5110000.0,,,-5110000.0,12517000,WHG,2017-06-30
646168,USD,2017,Q3,2017-10-25,2017-10-25,8171809.0,8420749.0,4132000.0,712000.0,5116000.0,2665000.0,,,,,12625000.0,-292000.0,,0.0,-292000.0,-5113000.0,0.0,0.0,-5155000.0,8293000,WHG,2017-09-30
646168,USD,2017,Q4,2018-02-23,2018-02-23,8186057.0,8551449.0,2897000.0,745000.0,10115000.0,-5195000.0,,,,,8562000.0,-630000.0,,0.0,-630000.0,-5136000.0,0.0,0.0,-5233000.0,2813000,WHG,2017-12-31
646168,USD,2018,Q1,2018-04-25,2018-04-25,8270793.0,8539545.0,7978000.0,631000.0,3036000.0,-10293000.0,,,,,1352000.0,-299000.0,,10013000.0,9714000.0,-7332000.0,,,-12745000.0,-2699000,WHG,2018-03-31
646168,USD,2018,Q2,2018-07-25,2018-07-25,8399148.0,8543353.0,7992000.0,639000.0,3028000.0,-4610000.0,,,,,7049000.0,-127000.0,,0.0,-127000.0,-5743000.0,-5000000.0,,-10743000.0,-4249000,WHG,2018-06-30
646168,USD,2018,Q3,2018-10-24,2018-10-24,8402697.0,8598230.0,5368000.0,638000.0,3522000.0,-2859000.0,,,,,6669000.0,-250000.0,,0.0,-250000.0,-5750000.0,-425000.0,,-6189000.0,785000,WHG,2018-09-30
646168,USD,2018,Q4,2019-02-21,2019-02-21,8388802.0,8508352.0,5413000.0,631000.0,-9971000.0,20341000.0,,,,,16414000.0,-315000.0,-5425000.0,0.0,-5740000.0,-5796000.0,5425000.0,-4726000.0,-4438000.0,4363000,WHG,2018-12-31
646168,USD,2019,Q1,2019-04-24,2019-04-24,8363109.0,8455386.0,392000.0,625000.0,3393000.0,6155000.0,,,,,10565000.0,-71000.0,,-250000.0,-321000.0,-7686000.0,,,-11052000.0,-28000,WHG,2019-03-31
646168,USD,2019,Q2,2019-07-31,2019-07-31,8446610.0,8476777.0,1861000.0,636000.0,3014000.0,4985000.0,,,,,10496000.0,-331000.0,,0.0,-331000.0,-6174000.0,,-806000.0,-6980000.0,3889000,WHG,2019-06-30
646168,USD,2019,Q3,2019-10-30,2019-10-30,8432598.0,8470673.0,1117000.0,682000.0,3448000.0,7303000.0,,,,,12550000.0,-114000.0,,-2770000.0,-3468000.0,-6119000.0,,-452000.0,-6571000.0,2062000,WHG,2019-09-30
646168,USD,2019,Q4,2020-02-20,2020-02-20,8389751.0,8450120.0,2541000.0,681000.0,16668000.0,-21329000.0,,,,,-1439000.0,-77000.0,-3671000.0,3020000.0,-728000.0,-6110000.0,,-2136000.0,-7267000.0,-8606000,WHG,2019-12-31
