SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
983825,USD,2011,Q2,2011-08-04,2012-08-07,23264000.0,23405000.0,9461000.0,3442000.0,2000000.0,-40157000.0,,,,,-25254000.0,-3268000.0,,,-3268000.0,-465000.0,,556000.0,91000.0,-28431000,WIRE,2011-06-30
983825,USD,2011,Q3,2011-11-03,2012-11-02,23292000.0,23399000.0,13721000.0,3366000.0,6638000.0,-51128000.0,,,,,-27403000.0,-4703000.0,,,-4703000.0,-465000.0,,848000.0,476000.0,-31630000,WIRE,2011-09-30
983825,USD,2011,Q4,2012-03-02,2014-02-28,23427000.0,23458000.0,16295000.0,3495000.0,3363000.0,81038000.0,,,,,104191000.0,-6728000.0,,,-6728000.0,-469000.0,,125000.0,-337000.0,97126000,WIRE,2011-12-31
983825,USD,2012,Q1,2012-05-04,2013-05-03,23427000.0,23477000.0,6694000.0,3609000.0,-5844000.0,-23305000.0,,,,,-18846000.0,-9108000.0,,,-9108000.0,-469000.0,,43000.0,-421000.0,-28375000,WIRE,2012-03-31
983825,USD,2012,Q2,2012-08-07,2013-08-02,21997000.0,22037000.0,2369000.0,3627000.0,3306000.0,36517000.0,,,,,45819000.0,-14923000.0,,,-14923000.0,-468000.0,,-66625000.0,-67092000.0,-36196000,WIRE,2012-06-30
983825,USD,2012,Q3,2012-11-02,2013-11-01,20657000.0,20712000.0,5527000.0,3598000.0,-1184000.0,-28375000.0,,,,,-20434000.0,-8971000.0,,,-8971000.0,-413000.0,,76000.0,-334000.0,-29739000,WIRE,2012-09-30
983825,USD,2012,Q4,2013-02-26,2015-02-25,20639000.0,20702000.0,5221000.0,3446000.0,-1720000.0,16574000.0,,,,,23521000.0,-7282000.0,,,-7282000.0,-413000.0,,66000.0,-344000.0,15895000,WIRE,2012-12-31
983825,USD,2013,Q1,2013-05-03,2014-05-05,20664000.0,20733000.0,6395000.0,3352000.0,-417000.0,-7549000.0,,,,,1781000.0,-2588000.0,,,-2588000.0,-413000.0,,70000.0,-332000.0,-1139000,WIRE,2013-03-31
983825,USD,2013,Q2,2013-08-02,2014-08-01,20669000.0,20738000.0,15502000.0,3700000.0,5340000.0,-26632000.0,,,,,-2090000.0,-29124000.0,,,-29124000.0,-414000.0,,99000.0,-296000.0,-31510000,WIRE,2013-06-30
983825,USD,2013,Q3,2013-11-01,2014-10-31,20680000.0,20768000.0,13802000.0,3895000.0,1136000.0,3952000.0,,,,,22785000.0,-7753000.0,,,-7753000.0,-414000.0,,270000.0,-121000.0,14911000,WIRE,2013-09-30
983825,USD,2013,Q4,2014-02-28,2016-02-26,20691000.0,20817000.0,11211000.0,3841000.0,-1059000.0,10749000.0,,,,,24742000.0,-4001000.0,,,-4001000.0,-413000.0,,183000.0,-108000.0,20633000,WIRE,2013-12-31
983825,USD,2014,Q1,2014-05-05,2015-05-04,20703000.0,20839000.0,10854000.0,3895000.0,3850000.0,-12116000.0,,,,,6483000.0,-6425000.0,,,-6457000.0,-414000.0,,330000.0,18000.0,44000,WIRE,2014-03-31
983825,USD,2014,Q2,2014-08-01,2015-07-31,20715000.0,20835000.0,10153000.0,3918000.0,428000.0,-24237000.0,,,,,-9738000.0,-7678000.0,,,-7678000.0,-414000.0,,98000.0,-312000.0,-17728000,WIRE,2014-06-30
983825,USD,2014,Q3,2014-10-31,2015-10-30,20718000.0,20819000.0,11063000.0,3818000.0,-1017000.0,18684000.0,,,,,32548000.0,-12446000.0,,,-12446000.0,-415000.0,,55000.0,-352000.0,19750000,WIRE,2014-09-30
983825,USD,2014,Q4,2015-02-25,2017-02-24,20720000.0,20791000.0,5053000.0,3822000.0,-448000.0,25402000.0,,,,,33829000.0,-17650000.0,,,-17650000.0,-414000.0,,46000.0,-359000.0,15820000,WIRE,2014-12-31
983825,USD,2015,Q1,2015-05-04,2016-05-04,20725000.0,20782000.0,10789000.0,3897000.0,-175000.0,-5164000.0,,,,,9347000.0,-10488000.0,,,-10488000.0,-415000.0,,161000.0,-254000.0,-1395000,WIRE,2015-03-31
983825,USD,2015,Q2,2015-07-31,2016-08-03,20737000.0,20836000.0,11352000.0,3951000.0,3119000.0,-13980000.0,,,,,4442000.0,-12009000.0,,,-12009000.0,-414000.0,,291000.0,-99000.0,-7666000,WIRE,2015-06-30
983825,USD,2015,Q3,2015-10-30,2016-11-02,20716000.0,20774000.0,14511000.0,4124000.0,4939000.0,5221000.0,,,,,28795000.0,-12348000.0,,,-12348000.0,-414000.0,,-2819000.0,-3233000.0,13214000,WIRE,2015-09-30
983825,USD,2015,Q4,2016-02-26,2018-02-26,20674000.0,20756000.0,10953000.0,4091000.0,8860000.0,4280000.0,,,,,28184000.0,-8624000.0,,,-8624000.0,-414000.0,,1173000.0,775000.0,20335000,WIRE,2015-12-31
983825,USD,2016,Q1,2016-05-04,2017-05-04,20688000.0,20747000.0,8599000.0,4846000.0,-676000.0,-4430000.0,,,,,8339000.0,-8654000.0,,,-8654000.0,-414000.0,,114000.0,-276000.0,-591000,WIRE,2016-03-31
983825,USD,2016,Q2,2016-08-03,2017-08-02,20694000.0,20765000.0,7839000.0,4084000.0,1779000.0,2060000.0,,,,,15762000.0,-12833000.0,,,-12833000.0,-414000.0,,51000.0,-355000.0,2574000,WIRE,2016-06-30
983825,USD,2016,Q3,2016-11-02,2017-11-02,20704000.0,20775000.0,5999000.0,4078000.0,2782000.0,2603000.0,,,,,15462000.0,-17076000.0,,,-17076000.0,-414000.0,,970000.0,406000.0,-1208000,WIRE,2016-09-30
983825,USD,2016,Q4,2017-02-24,2019-02-25,20730000.0,20805000.0,11402000.0,3803000.0,-3122000.0,6914000.0,,,,,18997000.0,-3019000.0,,,-3019000.0,-414000.0,,281000.0,-152000.0,15826000,WIRE,2016-12-31
983825,USD,2017,Q1,2017-05-04,2018-05-03,20738000.0,20834000.0,13632000.0,3798000.0,-894000.0,-20982000.0,,,,,-4446000.0,-4631000.0,,,-4631000.0,-415000.0,,222000.0,-194000.0,-9271000,WIRE,2017-03-31
983825,USD,2017,Q2,2017-08-02,2018-08-02,20751000.0,20835000.0,10933000.0,3850000.0,1915000.0,-11551000.0,,,,,5147000.0,-5537000.0,,,-5537000.0,-415000.0,,181000.0,-234000.0,-624000,WIRE,2017-06-30
983825,USD,2017,Q3,2017-11-02,2018-11-02,20758000.0,20837000.0,13964000.0,3965000.0,-795000.0,3114000.0,,,,,20248000.0,-5104000.0,,,-5104000.0,-416000.0,,781000.0,365000.0,15509000,WIRE,2017-09-30
983825,USD,2017,Q4,2018-02-26,2020-02-21,20821000.0,20882000.0,28488000.0,4071000.0,-12832000.0,7337000.0,,,,,27064000.0,-5418000.0,,,-5418000.0,-415000.0,0.0,764000.0,349000.0,21995000,WIRE,2017-12-31
983825,USD,2018,Q1,2018-05-03,2019-05-02,20835000.0,20911000.0,11353000.0,4109000.0,331000.0,-23754000.0,,,,,-7961000.0,-7463000.0,,,-7463000.0,-417000.0,,306000.0,-111000.0,-15535000,WIRE,2018-03-31
