SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
596565,USD,2011,Q2,2011-08-05,2012-08-09,13200000.0,13200000.0,-7915000.0,11004000.0,4642000.0,407000.0,,,,,8138000.0,-9041000.0,,,-8593000.0,-340000.0,-2679000.0,291000.0,-2791000.0,-3246000,WLB,2011-06-30
596565,USD,2011,Q3,2011-11-08,2012-11-08,13384000.0,13442000.0,1575000.0,11612000.0,4479000.0,-7958000.0,,,,,9708000.0,-3074000.0,,,-1018000.0,-340000.0,-6859000.0,0.0,-7199000.0,1491000,WLB,2011-09-30
596565,USD,2011,Q4,2012-03-13,2014-02-28,13798000.0,13798000.0,-11803000.0,11733000.0,5016000.0,5761000.0,,,,,10707000.0,-11891000.0,,-4000000.0,-18144000.0,-340000.0,-4469000.0,0.0,-5009000.0,-12446000,WLB,2011-12-31
596565,USD,2012,Q1,2012-05-08,2013-04-30,13861000.0,13968000.0,-222000.0,13289000.0,5256000.0,-5335000.0,,,,,12988000.0,-4400000.0,,-72522000.0,-102571000.0,-340000.0,113803000.0,,108907000.0,19324000,WLB,2012-03-31
596565,USD,2012,Q2,2012-08-09,2013-07-26,13991000.0,13991000.0,-13646000.0,13720000.0,5450000.0,5403000.0,,,,,10927000.0,-7490000.0,,0.0,-8050000.0,-340000.0,-4398000.0,,-5654000.0,-2777000,WLB,2012-06-30
596565,USD,2012,Q3,2012-11-08,2013-10-25,14104000.0,15326000.0,5352000.0,15533000.0,5115000.0,-7566000.0,,,,,18434000.0,-3791000.0,,0.0,-6028000.0,-340000.0,-5619000.0,,-6051000.0,6355000,WLB,2012-09-30
596565,USD,2012,Q4,2013-03-12,2015-03-06,14176000.0,12847000.0,-5146000.0,14603000.0,9773000.0,-4435000.0,,,,,14795000.0,-4871000.0,,0.0,-6885000.0,-340000.0,-29521000.0,0.0,-29985000.0,-22075000,WLB,2012-12-31
596565,USD,2013,Q1,2013-04-30,2014-04-25,14282000.0,14282000.0,-4087000.0,14426000.0,6436000.0,4441000.0,,,,,21216000.0,-4860000.0,,,-5725000.0,-340000.0,-5753000.0,,-6249000.0,9242000,WLB,2013-03-31
596565,USD,2013,Q2,2013-07-26,2014-07-31,14495000.0,14495000.0,2217000.0,15397000.0,5583000.0,-9489000.0,,,,,13708000.0,-8030000.0,,0.0,-9380000.0,-340000.0,-8540000.0,,-8906000.0,-4578000,WLB,2013-06-30
596565,USD,2013,Q3,2013-10-25,2014-10-28,14592000.0,14927000.0,-1014000.0,17434000.0,5088000.0,2037000.0,,,,,23545000.0,-6729000.0,,0.0,-6240000.0,-340000.0,-7752000.0,0.0,-8092000.0,9213000,WLB,2013-09-30
596565,USD,2013,Q4,2014-02-28,2016-03-14,14595000.0,14260000.0,-5243000.0,19974000.0,-614000.0,8131000.0,,,,,22248000.0,-8070000.0,,0.0,-552000.0,-340000.0,-5733000.0,0.0,-6073000.0,15623000,WLB,2013-12-31
