SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
378243,USD,2012,Q2,2012-08-09,2013-08-06,173000000.0,176000000.0,109000000.0,34000000.0,45000000.0,-92000000.0,,,,,96000000.0,-25000000.0,,-2000000.0,-29000000.0,-47000000.0,-42000000.0,-25000000.0,-120000000.0,-57000000,WLTW,2012-06-30
378243,USD,2012,Q3,2012-11-07,2013-11-05,173000000.0,175000000.0,26000000.0,35000000.0,83000000.0,8000000.0,,,,,152000000.0,-32000000.0,,0.0,-33000000.0,-46000000.0,-32000000.0,-26000000.0,-104000000.0,17000000,WLTW,2012-09-30
378243,USD,2012,Q4,2013-04-26,2015-02-24,172000000.0,165000000.0,-800000000.0,35000000.0,605000000.0,375000000.0,,,,,215000000.0,-42000000.0,,-29000000.0,-73000000.0,-46000000.0,-24000000.0,12000000.0,-67000000.0,76000000,WLTW,2012-12-31
378243,USD,2013,Q1,2013-05-08,2014-05-09,173000000.0,176000000.0,223000000.0,40000000.0,-203000000.0,-21000000.0,,,,,39000000.0,-19000000.0,,-1000000.0,-21000000.0,-47000000.0,51000000.0,19000000.0,18000000.0,31000000,WLTW,2013-03-31
378243,USD,2013,Q2,2013-08-06,2014-08-06,175000000.0,178000000.0,107000000.0,35000000.0,-84000000.0,40000000.0,,,,,98000000.0,-25000000.0,,-28000000.0,-54000000.0,-48000000.0,-57000000.0,43000000.0,-68000000.0,-28000000,WLTW,2013-06-30
378243,USD,2013,Q3,2013-11-05,2014-11-06,177000000.0,177000000.0,-27000000.0,35000000.0,85000000.0,136000000.0,,,,,229000000.0,-26000000.0,,-1000000.0,-30000000.0,-49000000.0,-2000000.0,43000000.0,-82000000.0,120000000,WLTW,2013-09-30
378243,USD,2013,Q4,2014-04-30,2016-02-29,66000000.0,68000000.0,74000000.0,39000000.0,-130000000.0,212000000.0,,,,,195000000.0,-37000000.0,,20000000.0,-15000000.0,-49000000.0,-6000000.0,50000000.0,-5000000.0,173000000,WLTW,2013-12-31
378243,USD,2014,Q1,2014-05-09,2015-05-06,179000000.0,182000000.0,250000000.0,36000000.0,-309000000.0,28000000.0,,,,,5000000.0,-22000000.0,,5000000.0,-21000000.0,-50000000.0,-4000000.0,8000000.0,-49000000.0,-62000000,WLTW,2014-03-31
378243,USD,2014,Q2,2014-08-06,2015-08-06,179000000.0,182000000.0,48000000.0,36000000.0,17000000.0,46000000.0,,,,,147000000.0,-31000000.0,,-28000000.0,-61000000.0,-53000000.0,-4000000.0,-32000000.0,-106000000.0,-26000000,WLTW,2014-06-30
378243,USD,2014,Q3,2014-11-06,2015-11-05,178000000.0,178000000.0,-8000000.0,36000000.0,3000000.0,98000000.0,,,,,129000000.0,-27000000.0,,-6000000.0,-35000000.0,-54000000.0,-3000000.0,-70000000.0,-128000000.0,-52000000,WLTW,2014-09-30
