SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
198669,USD,2009,Q3,2009-12-11,2010-12-10,105817000.0,108626000.0,7327000.0,38973000.0,6601000.0,36696000.0,,,,,89597000.0,-16612000.0,,,-16612000.0,-12774000.0,-29000.0,2841000.0,-9906000.0,63429000,WSM,2009-10-31
198669,USD,2009,Q4,2010-04-01,2012-03-29,105934000.0,112374000.0,88421000.0,38212000.0,-8009000.0,206509000.0,,,,,325133000.0,-21695000.0,,0.0,-21695000.0,-12799000.0,-13427000.0,8670000.0,-19129000.0,285199000,WSM,2010-01-31
198669,USD,2010,Q1,2010-06-11,2011-06-10,107129000.0,109639000.0,19538000.0,39002000.0,2606000.0,-131452000.0,,,,,-70306000.0,-17431000.0,,,-29908000.0,-12901000.0,-30000.0,8487000.0,-8893000.0,-109090000,WSM,2010-04-30
198669,USD,2010,Q2,2010-09-10,2011-09-09,107668000.0,110224000.0,30759000.0,34880000.0,-5363000.0,919000.0,,,,,61195000.0,-2743000.0,,,-2768000.0,-14122000.0,-1318000.0,-43220000.0,-59243000.0,-816000,WSM,2010-07-31
198669,USD,2010,Q3,2010-12-10,2011-12-09,106152000.0,108908000.0,36530000.0,34623000.0,-638000.0,-18951000.0,,,,,51564000.0,-15492000.0,,,-15497000.0,-16033000.0,-32000.0,-33169000.0,-50659000.0,-14410000,WSM,2010-10-31
198669,USD,2010,Q4,2011-03-31,2013-04-04,106875000.0,109317000.0,113400000.0,36125000.0,20001000.0,144010000.0,,,,,313536000.0,-15417000.0,,0.0,-15822000.0,-16104000.0,-207000.0,-41362000.0,-59520000.0,238776000,WSM,2011-01-31
198669,USD,2011,Q1,2011-06-10,2012-06-08,104918000.0,107183000.0,31615000.0,32878000.0,1749000.0,-157545000.0,,,,,-91303000.0,-22209000.0,,,-22213000.0,-15782000.0,-33000.0,-25946000.0,-45048000.0,-157380000,WSM,2011-04-30
198669,USD,2011,Q2,2011-09-09,2012-09-07,104467000.0,106766000.0,39309000.0,33021000.0,-1639000.0,-27119000.0,,,,,43572000.0,-40316000.0,,,-42680000.0,-17835000.0,-33000.0,-29138000.0,-47099000.0,-46389000,WSM,2011-07-31
198669,USD,2011,Q3,2011-12-09,2012-12-07,103651000.0,105721000.0,43421000.0,32874000.0,-2595000.0,-27852000.0,,,,,45848000.0,-39730000.0,,,-39405000.0,-17717000.0,-1449000.0,-31251000.0,-50604000.0,-45241000,WSM,2011-10-31
198669,USD,2011,Q4,2012-03-29,2014-04-03,104372000.0,106658000.0,122586000.0,31780000.0,16875000.0,121976000.0,,,,,293217000.0,-28098000.0,,-25363000.0,-53406000.0,-17543000.0,-111000.0,-98480000.0,-116288000.0,123364000,WSM,2012-01-31
198669,USD,2012,Q1,2012-06-08,2013-06-14,100172000.0,101956000.0,30716000.0,32794000.0,2136000.0,-86383000.0,,,,,-20737000.0,-27819000.0,,,-27785000.0,-22136000.0,-171000.0,-53458000.0,-78479000.0,-126293000,WSM,2012-04-30
198669,USD,2012,Q2,2012-09-07,2013-09-12,99209000.0,100818000.0,43380000.0,32524000.0,1278000.0,-17709000.0,,,,,59473000.0,-41789000.0,,,-43188000.0,-22313000.0,-29000.0,-30638000.0,-55343000.0,-39914000,WSM,2012-07-31
198669,USD,2012,Q3,2012-12-07,2013-12-12,98444000.0,100418000.0,48900000.0,33335000.0,-523000.0,-58065000.0,,,,,23647000.0,-46790000.0,,,-46973000.0,-21736000.0,-1565000.0,-28188000.0,-51745000.0,-74066000,WSM,2012-10-31
198669,USD,2012,Q4,2013-04-04,2015-04-02,99239000.0,101012000.0,133734000.0,35800000.0,858000.0,131352000.0,,,,,301744000.0,-89006000.0,,,-88869000.0,-21662000.0,-31000.0,-28159000.0,-50878000.0,162071000,WSM,2013-01-31
198669,USD,2013,Q1,2013-06-14,2014-06-12,97704000.0,99515000.0,39466000.0,36609000.0,4706000.0,-140603000.0,,,,,-59822000.0,-47444000.0,,,-46658000.0,-21985000.0,-28000.0,-37407000.0,-64757000.0,-172019000,WSM,2013-04-30
198669,USD,2013,Q2,2013-09-12,2014-09-12,96892000.0,98957000.0,48919000.0,37223000.0,2001000.0,35742000.0,,,,,123885000.0,-50333000.0,,,-50757000.0,-30211000.0,-1664000.0,-87058000.0,-119558000.0,-47172000,WSM,2013-07-31
198669,USD,2013,Q3,2013-12-12,2014-12-05,95453000.0,97863000.0,56719000.0,37580000.0,1469000.0,-11156000.0,,,,,84612000.0,-47459000.0,,,-44586000.0,-29834000.0,-24000.0,-85363000.0,-116846000.0,-76605000,WSM,2013-10-31
198669,USD,2013,Q4,2014-04-03,2016-03-31,96627000.0,98725000.0,133798000.0,38383000.0,-20276000.0,153189000.0,,,,,305094000.0,-48717000.0,,,-48623000.0,-29551000.0,-8000.0,-22832000.0,-54215000.0,201362000,WSM,2014-01-31
198669,USD,2014,Q1,2014-06-12,2015-06-12,93993000.0,95618000.0,46162000.0,38630000.0,24606000.0,-179727000.0,,,,,-70329000.0,-38119000.0,,,-37986000.0,-32891000.0,0.0,-50312000.0,-108568000.0,-217251000,WSM,2014-04-30
198669,USD,2014,Q2,2014-09-12,2015-09-11,93979000.0,95839000.0,50747000.0,40702000.0,1296000.0,-12199000.0,,,,,80546000.0,-45400000.0,,,-30962000.0,-31105000.0,-1785000.0,-58271000.0,-92325000.0,-42296000,WSM,2014-07-31
198669,USD,2014,Q3,2014-12-05,2015-12-11,93067000.0,94920000.0,64908000.0,41803000.0,4195000.0,678000.0,,,,,111584000.0,-48151000.0,,,-47228000.0,-31271000.0,90000000.0,-83141000.0,-26919000.0,37129000,WSM,2014-10-31
198669,USD,2014,Q4,2015-04-02,2017-03-30,93497000.0,94423000.0,147037000.0,41138000.0,-6735000.0,158456000.0,,,,,339896000.0,-73130000.0,,,-72424000.0,-30491000.0,-90000000.0,-28576000.0,-151208000.0,115224000,WSM,2015-01-31
