SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
1014359,USD,2009,Q1,2009-05-08,2010-05-07,28223275.0,28521437.0,-1172000.0,1718000.0,3257000.0,9330000.0,,,,,13133000.0,-861000.0,,,-861000.0,-12748000.0,-56000.0,2379000.0,-7973000.0,4299000,WSO,2009-03-31
1014359,USD,2009,Q2,2009-08-07,2010-08-06,28223275.0,28521437.0,16282000.0,1695000.0,268000.0,-3819000.0,,,,,14426000.0,-569000.0,,,-569000.0,-13703000.0,-5321000.0,3468000.0,-14297000.0,-440000,WSO,2009-06-30
1014359,USD,2009,Q3,2009-11-09,2010-11-05,28223275.0,28521437.0,27141000.0,2511000.0,-2606000.0,-16122000.0,,,,,10924000.0,-2569000.0,,-4057000.0,-6626000.0,-15255000.0,21498000.0,4146000.0,15716000.0,20014000,WSO,2009-09-30
1014359,USD,2009,Q4,2010-02-26,2012-02-29,28223275.0,28521437.0,9322000.0,2609000.0,3912000.0,33961000.0,,,,,49804000.0,-1664000.0,,-5783000.0,-7447000.0,-15379000.0,-30287000.0,342000.0,-49581000.0,-7224000,WSO,2009-12-31
1014359,USD,2010,Q1,2010-05-07,2011-05-10,30366909.0,30504748.0,5475000.0,2602000.0,1752000.0,-15664000.0,,,,,-5835000.0,334000.0,,,334000.0,-15492000.0,34181000.0,2643000.0,21504000.0,16003000,WSO,2010-03-31
1014359,USD,2010,Q2,2010-08-06,2011-08-09,30461079.0,30569524.0,48207000.0,2546000.0,2170000.0,9742000.0,,,,,62665000.0,-2100000.0,,-2406000.0,-4506000.0,-16846000.0,-27034000.0,581000.0,-44498000.0,13661000,WSO,2010-06-30
1014359,USD,2010,Q3,2010-11-05,2011-11-08,30499889.0,30601221.0,43518000.0,2522000.0,2724000.0,-8899000.0,,,,,39865000.0,-1694000.0,,-1418000.0,-3112000.0,-16847000.0,2066000.0,530000.0,-24639000.0,12114000,WSO,2010-09-30
1014359,USD,2010,Q4,2011-03-01,2013-02-28,30540025.0,30638233.0,14522000.0,3101000.0,11465000.0,27016000.0,,,,,56104000.0,-2850000.0,,0.0,-2850000.0,-16843000.0,-12705000.0,2288000.0,-26627000.0,26627000,WSO,2010-12-31
1014359,USD,2011,Q1,2011-05-10,2012-05-09,30601573.0,30694352.0,11122000.0,2617000.0,4006000.0,-62671000.0,,,,,-44926000.0,-1635000.0,,,-1635000.0,-16938000.0,14089000.0,2648000.0,-44402000.0,-90963000,WSO,2011-03-31
1014359,USD,2011,Q2,2011-08-09,2012-08-09,30685087.0,30770295.0,52272000.0,2840000.0,2348000.0,-54742000.0,,,,,2718000.0,-3721000.0,,-35695000.0,-39416000.0,-18769000.0,40842000.0,460000.0,19790000.0,-16908000,WSO,2011-06-30
1014359,USD,2011,Q3,2011-11-08,2012-11-08,30694844.0,30758532.0,51818000.0,3092000.0,4155000.0,-75561000.0,,,,,-16496000.0,-3402000.0,,-9000000.0,-12402000.0,-18779000.0,49980000.0,248000.0,31293000.0,2395000,WSO,2011-09-30
1014359,USD,2011,Q4,2012-02-29,2014-02-27,30731320.0,30789985.0,22530000.0,3176000.0,7868000.0,86582000.0,,,,,120156000.0,-4430000.0,,1240000.0,-3190000.0,-18790000.0,-95018000.0,2003000.0,-122315000.0,-5349000,WSO,2011-12-31
1014359,USD,2012,Q1,2012-05-09,2013-04-30,30756626.0,30834468.0,13492000.0,3081000.0,4730000.0,-11850000.0,,,,,9453000.0,-3812000.0,,,-3812000.0,-20470000.0,22514000.0,1181000.0,-3257000.0,2384000,WSO,2012-03-31
1014359,USD,2012,Q2,2012-08-09,2013-08-02,31717204.0,31783707.0,60902000.0,3776000.0,2292000.0,-136065000.0,,,,,-69095000.0,-2922000.0,,-82148000.0,-85070000.0,-20533000.0,192584000.0,2008000.0,171292000.0,17150000,WSO,2012-06-30
1014359,USD,2012,Q3,2012-11-08,2013-11-01,32107701.0,32168166.0,59531000.0,4419000.0,4764000.0,55371000.0,,,,,124085000.0,-2089000.0,,1669000.0,-420000.0,-21376000.0,-34897000.0,788000.0,-113207000.0,10754000,WSO,2012-09-30
1014359,USD,2012,Q4,2013-08-09,2015-02-24,32139217.0,32191255.0,23676000.0,4635000.0,5499000.0,75090000.0,,,,,108900000.0,-2990000.0,,0.0,-2990000.0,-193840000.0,114430000.0,1335000.0,-77909000.0,27809000,WSO,2012-12-31
1014359,USD,2013,Q1,2013-04-30,2014-05-01,32157729.0,32213440.0,21089000.0,4300000.0,5866000.0,-48754000.0,,,,,-17499000.0,-2959000.0,,,-2959000.0,-8640000.0,6650000.0,497000.0,-31080000.0,-51737000,WSO,2013-03-31
1014359,USD,2013,Q2,2013-08-02,2014-08-01,32182576.0,32248855.0,72582000.0,4420000.0,3031000.0,-139441000.0,,,,,-59408000.0,-3844000.0,,,-3844000.0,-8658000.0,77602000.0,179000.0,67337000.0,3498000,WSO,2013-06-30
1014359,USD,2013,Q3,2013-11-01,2014-11-04,32206448.0,32276113.0,66118000.0,4503000.0,2684000.0,54785000.0,,,,,128090000.0,-3890000.0,,,-3890000.0,-8660000.0,-114090000.0,1322000.0,-120952000.0,3698000,WSO,2013-09-30
1014359,USD,2013,Q4,2014-02-27,2016-02-29,32235639.0,32293864.0,27930000.0,4483000.0,7958000.0,58715000.0,,,,,99086000.0,-3564000.0,,,-3564000.0,-13878000.0,-53577000.0,187000.0,-104354000.0,-9751000,WSO,2013-12-31
1014359,USD,2014,Q1,2014-05-01,2015-05-07,32249988.0,32305445.0,24403000.0,4434000.0,6004000.0,-9940000.0,,,,,24901000.0,-1666000.0,,,-1666000.0,-13923000.0,-2579000.0,873000.0,-23112000.0,-21000,WSO,2014-03-31
1014359,USD,2014,Q2,2014-08-01,2015-08-06,32295912.0,32353045.0,78385000.0,4413000.0,2301000.0,-175158000.0,,,,,-90059000.0,-3904000.0,,,-3904000.0,-13986000.0,121319000.0,859000.0,91301000.0,-2592000,WSO,2014-06-30
1014359,USD,2014,Q3,2014-11-04,2015-11-05,32330888.0,32375939.0,71131000.0,4501000.0,5943000.0,25302000.0,,,,,106877000.0,-3332000.0,,,-3332000.0,-20975000.0,4098000.0,872000.0,-103607000.0,-174000,WSO,2014-09-30
1014359,USD,2014,Q4,2015-02-24,2017-02-21,32355504.0,32400987.0,34783000.0,4579000.0,-1238000.0,65137000.0,,,,,103261000.0,-10222000.0,,,-10222000.0,-20986000.0,-48255000.0,1641000.0,-84789000.0,7756000,WSO,2014-12-31
1014359,USD,2015,Q1,2015-05-07,2016-05-06,32377159.0,32431077.0,31300000.0,4621000.0,6482000.0,-59186000.0,,,,,-16783000.0,-3043000.0,,,-3043000.0,-24524000.0,38456000.0,1381000.0,12017000.0,-8196000,WSO,2015-03-31
1014359,USD,2015,Q2,2015-08-06,2016-08-09,32427088.0,32477262.0,84241000.0,4788000.0,2666000.0,-149039000.0,,,,,-57344000.0,-10967000.0,,,-10967000.0,-24641000.0,95176000.0,1854000.0,73805000.0,5600000,WSO,2015-06-30
1014359,USD,2015,Q3,2015-11-05,2016-11-03,32458906.0,32498857.0,74644000.0,4807000.0,6213000.0,88221000.0,,,,,173885000.0,-5897000.0,,,-5897000.0,-24675000.0,-128064000.0,1293000.0,-160849000.0,6654000,WSO,2015-09-30
1014359,USD,2015,Q4,2016-02-29,2018-03-01,32480691.0,32514228.0,36339000.0,4901000.0,3664000.0,78186000.0,,,,,123090000.0,-3031000.0,,,-3031000.0,-24692000.0,-61981000.0,1429000.0,-112758000.0,6724000,WSO,2015-12-31
1014359,USD,2016,Q1,2016-05-06,2017-05-05,32511806.0,32537225.0,34174000.0,4957000.0,5936000.0,-3215000.0,,,,,41852000.0,-2674000.0,,,-2674000.0,-30033000.0,-7445000.0,2101000.0,-41638000.0,-2373000,WSO,2016-03-31
1014359,USD,2016,Q2,2016-08-09,2017-07-28,32574901.0,32606336.0,81424000.0,5086000.0,5120000.0,-91549000.0,,,,,81000.0,-2320000.0,,,-2320000.0,-30131000.0,30203000.0,741000.0,-40000.0,-2312000,WSO,2016-06-30
