SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
781832,USD,2015,Q2,2015-08-05,2016-08-03,40389648.0,40389648.0,-8868000.0,254000.0,1379000.0,319000.0,,,,,-6916000.0,-876000.0,-100415000.0,,-101291000.0,,,496000.0,330000.0,-107877000,XNCR,2015-06-30
781832,USD,2015,Q3,2015-11-04,2016-11-02,40473520.0,40473520.0,-10037000.0,274000.0,1710000.0,47573000.0,,,,,39520000.0,-914000.0,7847000.0,,6933000.0,,,114000.0,114000.0,46567000,XNCR,2015-09-30
781832,USD,2015,Q4,2016-03-08,2018-02-28,40899574.0,40899574.0,7757000.0,345000.0,1952000.0,-13899000.0,,,,,-3845000.0,-731000.0,-40959000.0,,-41690000.0,,,387000.0,387000.0,-45148000,XNCR,2015-12-31
781832,USD,2016,Q1,2016-05-02,2017-05-10,40626729.0,40626729.0,-6398000.0,282000.0,2392000.0,-10576000.0,,,,,-14300000.0,-660000.0,10320000.0,,9660000.0,,,200000.0,200000.0,-4440000,XNCR,2016-03-31
781832,USD,2016,Q2,2016-08-03,2017-08-07,40800586.0,41738460.0,47165000.0,346000.0,2519000.0,-59399000.0,,,,,-9369000.0,-594000.0,9217000.0,,8623000.0,,,473000.0,473000.0,-273000,XNCR,2016-06-30
781832,USD,2016,Q3,2016-11-02,2017-11-08,41033973.0,41033973.0,-8077000.0,371000.0,2446000.0,139334000.0,,,,,134074000.0,-1186000.0,-126479000.0,,-127665000.0,,,501000.0,501000.0,6910000,XNCR,2016-09-30
781832,USD,2016,Q4,2017-03-01,2018-02-28,42608028.0,46156306.0,-9065000.0,467000.0,2879000.0,-10069000.0,,,,,-15788000.0,-569000.0,-103702000.0,,-104271000.0,,,127077000.0,119800000.0,-259000,XNCR,2016-12-31
781832,USD,2017,Q1,2017-05-10,2018-05-07,46598797.0,46598797.0,-15475000.0,410000.0,3826000.0,693000.0,,,,,-10546000.0,-1196000.0,9923000.0,,8553000.0,,,1026000.0,1026000.0,-967000,XNCR,2017-03-31
781832,USD,2017,Q2,2017-08-07,2018-08-07,46767759.0,46767759.0,-7725000.0,454000.0,4362000.0,-9967000.0,,,,,-12876000.0,-1152000.0,10503000.0,,9439000.0,,,1096000.0,1096000.0,-2341000,XNCR,2017-06-30
781832,USD,2017,Q3,2017-11-08,2018-11-05,46929498.0,46929498.0,-22653000.0,556000.0,4442000.0,14146000.0,,,,,-3509000.0,-3004000.0,7937000.0,,4933000.0,,,990000.0,990000.0,2414000,XNCR,2017-09-30
781832,USD,2017,Q4,2018-02-28,2018-02-28,46974970.0,46974970.0,-3072000.0,610000.0,4345000.0,-8635000.0,,,,,-6752000.0,-1926000.0,10865000.0,,9025000.0,,,621000.0,621000.0,2894000,XNCR,2017-12-31
781832,USD,2018,Q1,2018-05-07,2018-05-07,47753922.0,47753922.0,-29493000.0,730000.0,4956000.0,-438000.0,,,,,-24245000.0,-2735000.0,15323000.0,,12674000.0,,,261355000.0,246615000.0,235044000,XNCR,2018-03-31
781832,USD,2018,Q2,2018-08-07,2018-08-07,55678990.0,55678990.0,-25868000.0,822000.0,4853000.0,-8226000.0,,,,,-28419000.0,-1563000.0,-188606000.0,,-190169000.0,,,2309000.0,2308000.0,-216280000,XNCR,2018-06-30
781832,USD,2018,Q3,2018-11-05,2018-11-05,55974080.0,58313002.0,3151000.0,816000.0,5960000.0,-20238000.0,,,,,-10311000.0,-1429000.0,7291000.0,,5862000.0,,,4153000.0,4153000.0,-296000,XNCR,2018-09-30
781832,USD,2018,Q4,2019-02-26,2019-02-26,56361472.0,54022550.0,-18199000.0,883000.0,4800000.0,-4265000.0,,,,,-16781000.0,-3411000.0,10277000.0,,6780000.0,,86000.0,1165000.0,1251000.0,-8750000,XNCR,2018-12-31
781832,USD,2019,Q1,2019-05-09,2019-05-09,56302967.0,58009878.0,80045000.0,996000.0,5313000.0,-105082000.0,,,,,-18728000.0,-1466000.0,15139000.0,,13673000.0,,,667000.0,667000.0,-4388000,XNCR,2019-03-31
781832,USD,2019,Q2,2019-08-07,2019-08-07,56399255.0,56399255.0,-16033000.0,1007000.0,8065000.0,116117000.0,,,,,109156000.0,-2565000.0,-99865000.0,,-102430000.0,,,3973000.0,3973000.0,10699000,XNCR,2019-06-30
781832,USD,2019,Q3,2019-11-05,2019-11-05,56643075.0,56643075.0,-10225000.0,1070000.0,8085000.0,-5407000.0,,,,,-6477000.0,-3344000.0,25404000.0,,22060000.0,,,3049000.0,3049000.0,18632000,XNCR,2019-09-30
781832,USD,2019,Q4,2020-02-25,2020-02-25,56780459.0,62819312.0,-26912000.0,1225000.0,6296000.0,-186000.0,,,,,-19577000.0,-3663000.0,19390000.0,,15727000.0,,,2973000.0,2973000.0,-877000,XNCR,2019-12-31
781832,USD,2020,Q1,2020-05-08,2021-05-05,56946714.0,56946714.0,-8074000.0,1373000.0,3714000.0,12447000.0,,,,,9460000.0,-2611000.0,15176000.0,,12565000.0,,,1471000.0,1471000.0,23496000,XNCR,2020-03-31
