SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
378126,USD,2009,Q2,2009-07-30,2010-07-29,148577000.0,150057000.0,70579000.0,16576000.0,9652000.0,7913000.0,-14713000.0,20966000.0,-8624000.0,10284000.0,104720000.0,-11051000.0,,-2412000.0,-13307000.0,-7459000.0,-75236000.0,-624000.0,-81908000.0,25572000,XRAY,2009-06-30
378126,USD,2009,Q3,2009-10-30,2010-10-28,148547000.0,150638000.0,67853000.0,16398000.0,9413000.0,36341000.0,11292000.0,8379000.0,1558000.0,15112000.0,130005000.0,-16050000.0,,0.0,-16045000.0,-7464000.0,-39834000.0,-7874000.0,-54254000.0,81497000,XRAY,2009-09-30
378126,USD,2009,Q4,2010-02-22,2012-02-24,147638000.0,150008000.0,76050000.0,15385000.0,-18707000.0,44397000.0,6224000.0,17040000.0,4752000.0,16381000.0,117125000.0,-9368000.0,0.0,0.0,-9365000.0,-7453000.0,78855000.0,-53510000.0,18476000.0,116980000,XRAY,2009-12-31
378126,USD,2010,Q1,2010-04-29,2011-04-28,146776000.0,149294000.0,62191000.0,17789000.0,-57000.0,-43379000.0,-15530000.0,-14472000.0,9195000.0,-22572000.0,36544000.0,-8024000.0,,-7687000.0,-15711000.0,-7409000.0,10495000.0,-34020000.0,-29036000.0,-45331000,XRAY,2010-03-31
378126,USD,2010,Q2,2010-07-29,2011-07-28,144779000.0,146939000.0,73346000.0,16420000.0,5935000.0,18223000.0,-12957000.0,5361000.0,3408000.0,22411000.0,113924000.0,-10849000.0,,-622000.0,-11471000.0,-8332000.0,-5840000.0,-116765000.0,-128169000.0,-64670000,XRAY,2010-06-30
378126,USD,2010,Q3,2010-10-28,2011-11-07,142501000.0,144063000.0,63814000.0,15910000.0,14310000.0,11556000.0,11719000.0,-11688000.0,-14993000.0,26518000.0,105590000.0,-10475000.0,,-13688000.0,-42732000.0,-7311000.0,108293000.0,-30818000.0,70282000.0,193896000,XRAY,2010-09-30
378126,USD,2010,Q4,2011-02-18,2013-02-20,141864000.0,143644000.0,67984000.0,15793000.0,17240000.0,18751000.0,21883000.0,11490000.0,4555000.0,-19177000.0,119768000.0,-12932000.0,-49654000.0,-13559000.0,-94554000.0,-6025000.0,3869000.0,-12201000.0,-14478000.0,5795000,XRAY,2010-12-31
378126,USD,2011,Q1,2011-04-28,2012-05-02,141614000.0,144044000.0,69463000.0,17579000.0,3423000.0,-46460000.0,-28706000.0,-14727000.0,5569000.0,-8596000.0,44005000.0,-11976000.0,,-5582000.0,-17558000.0,-7131000.0,52552000.0,-51508000.0,-17261000.0,35226000,XRAY,2011-03-31
378126,USD,2011,Q2,2011-07-28,2012-07-31,141052000.0,143373000.0,75390000.0,19516000.0,5735000.0,20318000.0,-11651000.0,6359000.0,-1440000.0,27050000.0,120959000.0,-13519000.0,,-14505000.0,-28024000.0,-7181000.0,-16878000.0,6001000.0,-18878000.0,96446000,XRAY,2011-06-30
378126,USD,2011,Q3,2011-11-07,2012-10-25,141349000.0,143395000.0,61200000.0,26793000.0,-26855000.0,26043000.0,13352000.0,5759000.0,539000.0,6393000.0,87181000.0,-19707000.0,,-1777832000.0,-1800001000.0,-7200000.0,1159817000.0,2300000.0,1120776000.0,-589844000,XRAY,2011-09-30
378126,USD,2011,Q4,2012-02-24,2014-02-20,141529000.0,143400000.0,41393000.0,21147000.0,-21157000.0,99941000.0,28474000.0,24112000.0,6148000.0,41207000.0,141324000.0,-28555000.0,,10403000.0,-41259000.0,-7120000.0,-70700000.0,5982000.0,-82256000.0,-4738000,XRAY,2011-12-31
