SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
378249,USD,2009,Q2,2009-08-17,2010-08-05,214700000.0,215500000.0,210100000.0,81800000.0,-6200000.0,-90600000.0,,,,,195100000.0,-72700000.0,,,-89900000.0,,-10000000.0,-36100000.0,-46100000.0,64700000,ZBH,2009-06-30
378249,USD,2009,Q3,2009-11-04,2010-11-03,213600000.0,214500000.0,149900000.0,88200000.0,20900000.0,93300000.0,,,,,352300000.0,-55900000.0,,,-73600000.0,,-59000000.0,-62600000.0,-122300000.0,162200000,ZBH,2009-09-30
378249,USD,2009,Q4,2010-02-25,2012-02-27,210200000.0,211100000.0,155200000.0,87800000.0,76000000.0,66500000.0,,,,,385500000.0,-52200000.0,-66400000.0,-39500000.0,-133300000.0,,527800000.0,-517400000.0,2200000.0,252000000,ZBH,2009-12-31
378249,USD,2010,Q1,2010-05-05,2011-05-05,203000000.0,204200000.0,205400000.0,84900000.0,15000000.0,-45800000.0,,,,,259500000.0,-50900000.0,16000000.0,,-37800000.0,,,-88600000.0,-87900000.0,129500000,ZBH,2010-03-31
378249,USD,2010,Q2,2010-08-05,2011-08-08,201900000.0,203000000.0,165500000.0,80900000.0,18800000.0,7500000.0,,,,,272700000.0,-58900000.0,17000000.0,,-54100000.0,,,-82200000.0,-81900000.0,132500000,ZBH,2010-06-30
378249,USD,2010,Q3,2010-11-03,2011-11-02,198700000.0,199700000.0,191100000.0,83700000.0,15200000.0,30300000.0,,,,,320300000.0,-63900000.0,-77100000.0,,-143500000.0,,,-220900000.0,-220800000.0,-35100000,ZBH,2010-09-30
378249,USD,2010,Q4,2011-02-25,2013-02-27,196400000.0,197500000.0,34900000.0,90700000.0,148800000.0,66600000.0,,,,,341000000.0,-106500000.0,-301700000.0,-82600000.0,-491500000.0,,-2200000.0,-97000000.0,-99000000.0,-249700000,ZBH,2010-12-31
378249,USD,2011,Q1,2011-05-05,2012-05-03,192600000.0,193800000.0,208900000.0,86100000.0,22500000.0,-135300000.0,,,,,182200000.0,-63400000.0,9700000.0,,-66900000.0,,200000.0,-219100000.0,-216500000.0,-93300000,ZBH,2011-03-31
378249,USD,2011,Q2,2011-08-08,2012-08-07,191500000.0,192700000.0,203800000.0,88600000.0,22900000.0,-64300000.0,,,,,251000000.0,-55800000.0,-26600000.0,,-95600000.0,,0.0,-109000000.0,-107800000.0,48500000,ZBH,2011-06-30
378249,USD,2011,Q3,2011-11-02,2012-11-06,187700000.0,188800000.0,191200000.0,90900000.0,16900000.0,51600000.0,,,,,350600000.0,-77500000.0,-161900000.0,,-248600000.0,,375000000.0,-544400000.0,-169000000.0,-71100000,ZBH,2011-09-30
