SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Ticker,Report_Date
815280,USD,2011,Q2,2011-08-05,2012-08-09,10905000.0,10947000.0,7946000.0,3588000.0,1157000.0,-13686000.0,,,,,-995000.0,-8503000.0,,,-8503000.0,-218000.0,10250000.0,,9281000.0,-217000,ZEUS,2011-06-30
815280,USD,2011,Q3,2011-11-07,2012-11-08,10937000.0,10951000.0,6136000.0,4918000.0,4602000.0,-7964000.0,,,,,7692000.0,-7515000.0,,-148759000.0,-156274000.0,-218000.0,151043000.0,,147406000.0,-1176000,ZEUS,2011-09-30
815280,USD,2011,Q4,2012-02-23,2014-02-27,10971000.0,10961000.0,565000.0,4680000.0,7342000.0,13041000.0,,,,,25628000.0,-15539000.0,,1887000.0,-13652000.0,-218000.0,-5539000.0,,-5784000.0,6192000,ZEUS,2011-12-31
815280,USD,2012,Q1,2012-05-03,2013-05-03,10988000.0,10997000.0,6230000.0,5280000.0,-170000.0,-51157000.0,,,,,-39817000.0,-7967000.0,,,-7967000.0,-218000.0,45821000.0,,44637000.0,-3147000,ZEUS,2012-03-31
815280,USD,2012,Q2,2012-08-09,2013-08-09,10960000.0,10989000.0,4526000.0,5473000.0,1003000.0,-2986000.0,,,,,8016000.0,-7714000.0,,,-7714000.0,-218000.0,-1531000.0,,-1742000.0,-1440000,ZEUS,2012-06-30
815280,USD,2012,Q3,2012-11-08,2013-10-31,10961000.0,10967000.0,1639000.0,5510000.0,761000.0,8727000.0,,,,,16637000.0,-4373000.0,,,-4373000.0,-219000.0,-11127000.0,,-11248000.0,1016000,ZEUS,2012-09-30
815280,USD,2012,Q4,2013-02-21,2015-02-26,11047000.0,11027000.0,-10118000.0,5893000.0,5443000.0,41687000.0,,,,,42905000.0,-2833000.0,,,-2833000.0,-218000.0,-35667000.0,,-36122000.0,3950000,ZEUS,2012-12-31
815280,USD,2013,Q1,2013-05-03,2014-04-30,11034000.0,11042000.0,5163000.0,5850000.0,-3032000.0,-6314000.0,,,,,1667000.0,-1714000.0,,,-1714000.0,-219000.0,-4834000.0,,-4936000.0,-4983000,ZEUS,2013-03-31
815280,USD,2013,Q2,2013-08-09,2014-08-07,11062000.0,11072000.0,2526000.0,5860000.0,-1107000.0,25193000.0,,,,,32472000.0,-2057000.0,,,-2057000.0,-219000.0,-29288000.0,,-29416000.0,999000,ZEUS,2013-06-30
815280,USD,2013,Q3,2013-10-31,2014-11-06,11066000.0,11077000.0,1340000.0,5681000.0,1099000.0,6326000.0,,,,,14446000.0,-5811000.0,,,-5811000.0,-219000.0,-6462000.0,,-6434000.0,2201000,ZEUS,2013-09-30
