SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
358762,USD,2011,Q2,2011-08-10,2012-08-10,43610000.0,44431000.0,57191000.0,-24663000.0,32528000.0,-22666000.0,-18403000.0,-2515000.0,-1748000.0,9862000.0,-4880000.0,-4882000.0,4982000,-857000.0,4125000,-318000.0,3807000,,3807000,3807000,ABCD,2011-06-30
358762,USD,2011,Q3,2011-11-10,2012-11-09,46743000.0,47130000.0,52906000.0,-23280000.0,29626000.0,-20669000.0,-16612000.0,-2199000.0,-1858000.0,8957000.0,-4950000.0,-4950000.0,4007000,-788000.0,3219000,-155000.0,3064000,,3064000,3064000,ABCD,2011-09-30
358762,USD,2011,Q4,2012-03-15,2013-03-08,49862000.0,48654000.0,31466000.0,-15436000.0,16030000.0,-22195000.0,-17473000.0,-2840000.0,-1882000.0,-6165000.0,-3711000.0,-4194000.0,-9876000,-37238000.0,-47114000,559000.0,-46555000,,-46555000,-46555000,ABCD,2011-12-31
358762,USD,2012,Q1,2012-05-11,2013-05-09,49947000.0,49947000.0,27855000.0,-17536000.0,10319000.0,-22632000.0,-17641000.0,-3332000.0,-1659000.0,-12313000.0,-4741000.0,-4777000.0,-17054000,-3033000.0,-20087000,-177000.0,-20264000,,-20264000,-20264000,ABCD,2012-03-31
358762,USD,2012,Q2,2012-08-10,2013-08-08,49941000.0,49941000.0,40429000.0,-20976000.0,19453000.0,-21345000.0,-17102000.0,-2652000.0,-1591000.0,-1892000.0,-4590000.0,-4627000.0,-6482000,-16018000.0,-22500000,23000.0,-22477000,,-22477000,-22477000,ABCD,2012-06-30
358762,USD,2012,Q3,2012-11-09,2013-11-07,49284000.0,49284000.0,45958000.0,-21309000.0,24649000.0,-20382000.0,-16168000.0,-2622000.0,-1592000.0,4267000.0,-4465000.0,-4628000.0,-198000,-1933000.0,-2131000,-104000.0,-2235000,,-2235000,-2235000,ABCD,2012-09-30
358762,USD,2012,Q4,2013-03-08,2014-03-06,48408000.0,48408000.0,34317000.0,-15858000.0,18459000.0,-20524000.0,-16883000.0,-2301000.0,-1340000.0,-2065000.0,-3762000.0,-4651000.0,-5827000,-82966000.0,-88793000,-14000.0,-88807000,,-88807000,-88807000,ABCD,2012-12-31
358762,USD,2013,Q1,2013-05-09,2014-05-08,47397000.0,47397000.0,31429000.0,-15110000.0,16319000.0,-20673000.0,-17126000.0,-2331000.0,-1216000.0,-4354000.0,-4357000.0,-4576000.0,-8711000,-299000.0,-9010000,-68000.0,-9078000,,-9078000,-9078000,ABCD,2013-03-31
358762,USD,2013,Q2,2013-08-08,2014-08-13,47357000.0,47637000.0,42786000.0,-16928000.0,25858000.0,-20343000.0,-16595000.0,-2528000.0,-1220000.0,5515000.0,-4468000.0,-4679000.0,1047000,-514000.0,533000,-102000.0,431000,,431000,431000,ABCD,2013-06-30
358762,USD,2013,Q3,2013-11-07,2014-11-06,47563000.0,47657000.0,42957000.0,-17642000.0,25315000.0,-19778000.0,-16065000.0,-2486000.0,-1227000.0,5537000.0,-4558000.0,-4773000.0,979000,-724000.0,255000,-127000.0,128000,,128000,128000,ABCD,2013-09-30
358762,USD,2013,Q4,2014-03-06,2015-03-17,45843000.0,45469000.0,33348000.0,-14527000.0,18821000.0,-17485000.0,-13788000.0,-2465000.0,-1232000.0,1336000.0,-4672000.0,-4791000.0,-3336000,-2530000.0,-5866000,132000.0,-5734000,,-5734000,-5734000,ABCD,2013-12-31
