SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
185035,USD,2009,Q4,2010-03-19,2011-03-18,226300000.0,226300000.0,489800000.0,-48500000.0,441300000.0,-406000000.0,-267300000.0,-138700000.0,,35300000.0,-1800000.0,-1800000.0,33500000,-169100000.0,-135600000,30300000.0,-105300000,,-105300000,-105300000,ADSK,2010-01-31
185035,USD,2010,Q1,2010-06-04,2010-06-04,227100000.0,227100000.0,425800000.0,-52300000.0,373500000.0,-355400000.0,-233900000.0,-121500000.0,,18100000.0,,,18100000,-37500000.0,-19400000,-12700000.0,-32100000,,-32100000,-32100000,ADSK,2010-04-30
185035,USD,2010,Q2,2010-09-01,2010-09-01,228900000.0,232300000.0,414900000.0,-50100000.0,364800000.0,-335700000.0,-225900000.0,-109800000.0,,29100000.0,10700000.0,10700000.0,39800000,-26400000.0,13400000,-2900000.0,10500000,,10500000,10500000,ADSK,2010-07-31
185035,USD,2010,Q3,2010-12-07,2010-12-07,229600000.0,232900000.0,416900000.0,-45000000.0,371900000.0,-340700000.0,-231400000.0,-109300000.0,,31200000.0,5700000.0,5700000.0,36900000,-4900000.0,32000000,-2500000.0,29500000,,29500000,29500000,ADSK,2010-10-31
185035,USD,2010,Q4,2011-03-18,2012-03-15,229200000.0,236100000.0,456100000.0,-44400000.0,411700000.0,-355300000.0,-238400000.0,-116900000.0,,56400000.0,2700000.0,2700000.0,59100000,-400000.0,58700000,-8600000.0,50100000,,50100000,50100000,ADSK,2011-01-31
185035,USD,2011,Q1,2011-06-03,2011-06-03,229000000.0,234600000.0,474600000.0,-51300000.0,423300000.0,-365400000.0,-238200000.0,-127200000.0,,57900000.0,-3400000.0,-3400000.0,54500000,-7100000.0,47400000,-10500000.0,36900000,,36900000,36900000,ADSK,2011-04-30
185035,USD,2011,Q2,2011-09-01,2011-09-01,228000000.0,233800000.0,472800000.0,-48400000.0,424400000.0,-342700000.0,-223400000.0,-119300000.0,,81700000.0,100000.0,100000.0,81800000,-1900000.0,79900000,-20000000.0,59900000,,59900000,59900000,ADSK,2011-07-31
185035,USD,2011,Q3,2011-12-06,2011-12-06,226500000.0,232400000.0,476700000.0,-48500000.0,428200000.0,-359000000.0,-236200000.0,-122800000.0,,69200000.0,2500000.0,2500000.0,71700000,,71700000,-18100000.0,53600000,,53600000,53600000,ADSK,2011-10-31
185035,USD,2011,Q4,2012-03-15,2013-03-18,226900000.0,236000000.0,527700000.0,-48400000.0,479300000.0,-405900000.0,-279000000.0,-126900000.0,,73400000.0,1400000.0,1400000.0,74800000,-1800000.0,73000000,-11400000.0,61600000,,61600000,61600000,ADSK,2012-01-31
185035,USD,2012,Q1,2012-06-01,2012-06-01,228200000.0,237100000.0,528300000.0,-54600000.0,473700000.0,-395100000.0,-258500000.0,-136600000.0,,78600000.0,5900000.0,5900000.0,84500000,,84500000,-15200000.0,69300000,,69300000,69300000,ADSK,2012-04-30
185035,USD,2012,Q2,2012-09-05,2012-09-05,229400000.0,236600000.0,546300000.0,-57400000.0,488900000.0,-395200000.0,-256000000.0,-139200000.0,,93700000.0,-800000.0,-800000.0,92900000,1300000.0,94200000,-23000000.0,71200000,,71200000,71200000,ADSK,2012-07-31
185035,USD,2012,Q3,2012-12-04,2012-12-04,227100000.0,230700000.0,548600000.0,-59600000.0,489000000.0,-398800000.0,-257600000.0,-141200000.0,,90200000.0,1100000.0,1100000.0,91300000,0.0,91300000,-18500000.0,72800000,,72800000,72800000,ADSK,2012-10-31
185035,USD,2012,Q4,2013-03-18,2014-03-10,226100000.0,228800000.0,592400000.0,-57500000.0,534900000.0,-443100000.0,-293600000.0,-149500000.0,,91800000.0,1100000.0,1100000.0,92900000,0.0,92900000,-20900000.0,72000000,,72000000,72000000,ADSK,2013-01-31
185035,USD,2013,Q1,2013-06-05,2013-06-05,228100000.0,234100000.0,588600000.0,-58800000.0,529800000.0,-435800000.0,-283100000.0,-152700000.0,,94000000.0,3500000.0,3500000.0,97500000,0.0,97500000,-18600000.0,78900000,,78900000,78900000,ADSK,2013-04-30
185035,USD,2013,Q2,2013-09-06,2013-09-06,227800000.0,232100000.0,568700000.0,-59800000.0,508900000.0,-416000000.0,-271100000.0,-144900000.0,,92900000.0,-800000.0,-800000.0,92100000,0.0,92100000,-27500000.0,64600000,,64600000,64600000,ADSK,2013-07-31
185035,USD,2013,Q3,2013-12-06,2013-12-06,225500000.0,229900000.0,548000000.0,-57900000.0,490100000.0,-419000000.0,-266000000.0,-153000000.0,,71100000.0,-100000.0,-100000.0,71000000,-36700000.0,34300000,-4900000.0,29400000,,29400000,29400000,ADSK,2013-10-31
185035,USD,2013,Q4,2014-03-10,2015-03-18,224200000.0,230700000.0,606900000.0,-62000000.0,544900000.0,-453100000.0,-261600000.0,-149400000.0,-42100000.0,91800000.0,1500000.0,1500000.0,93300000,-7200000.0,86100000,-11600000.0,74500000,,74500000,74500000,ADSK,2014-01-31
185035,USD,2014,Q1,2014-06-03,2014-06-03,223800000.0,229300000.0,570400000.0,-67500000.0,502900000.0,-421100000.0,-270300000.0,-150800000.0,,81800000.0,-8800000.0,-8800000.0,73000000,-400000.0,72600000,-17000000.0,55600000,,55600000,55600000,ADSK,2014-04-30
185035,USD,2014,Q2,2014-09-02,2014-09-02,223100000.0,228300000.0,561700000.0,-67800000.0,493900000.0,-408600000.0,-250400000.0,-148900000.0,-9300000.0,85300000.0,-1800000.0,-1800000.0,83500000,-1700000.0,81800000,-20100000.0,61700000,,61700000,61700000,ADSK,2014-07-31
185035,USD,2014,Q3,2014-12-05,2014-12-05,223100000.0,227700000.0,555200000.0,-67100000.0,488100000.0,-415600000.0,-259200000.0,-149000000.0,-7400000.0,72500000.0,1100000.0,1100000.0,73600000,-4400000.0,69200000,-11600000.0,57600000,,57600000,57600000,ADSK,2014-10-31
185035,USD,2014,Q4,2015-03-18,2017-03-21,226000000.0,233100000.0,824900000.0,-139700000.0,685200000.0,-801000000.0,-501400000.0,-276500000.0,-23100000.0,-115800000.0,-28200000.0,-28200000.0,-144000000,3400000.0,-140600000,47500000.0,-93100000,,-93100000,-93100000,ADSK,2015-01-31
185035,USD,2015,Q1,2015-05-28,2015-05-28,227000000.0,231600000.0,592500000.0,-78700000.0,513800000.0,-469300000.0,-287900000.0,-170500000.0,-10900000.0,44500000.0,-6600000.0,-6600000.0,37900000,-2300000.0,35600000,-7300000.0,28300000,,28300000,28300000,ADSK,2015-04-30
185035,USD,2015,Q2,2015-08-31,2015-08-31,227300000.0,232400000.0,637100000.0,-87900000.0,549200000.0,-498500000.0,-309100000.0,-179300000.0,-10100000.0,50700000.0,-7000000.0,-7000000.0,43700000,-800000.0,42900000,-11600000.0,31300000,,31300000,31300000,ADSK,2015-07-31
185035,USD,2015,Q3,2015-12-09,2015-12-09,226900000.0,231500000.0,618000000.0,-86000000.0,532000000.0,-517400000.0,-324000000.0,-183900000.0,-9500000.0,14600000.0,-3000000.0,-3000000.0,11600000,0.0,11600000,-900000.0,10700000,,10700000,10700000,ADSK,2015-10-31
185035,USD,2015,Q4,2016-03-23,2017-03-21,227200000.0,234100000.0,656500000.0,-118100000.0,538400000.0,-646900000.0,-387900000.0,-256300000.0,-2700000.0,-108500000.0,-5000000.0,-5000000.0,-113500000,3100000.0,-110400000,-290400000.0,-400800000,,-400800000,-400800000,ADSK,2016-01-31
185035,USD,2016,Q1,2016-06-06,2017-05-31,227200000.0,231700000.0,511900000.0,-92400000.0,419500000.0,-516900000.0,-315500000.0,-193500000.0,-7900000.0,-97400000.0,-3600000.0,-3600000.0,-101000000,-52300000.0,-153300000,-14400000.0,-167700000,,-167700000,-167700000,ADSK,2016-04-30
185035,USD,2016,Q2,2016-08-30,2017-08-31,227000000.0,227000000.0,550700000.0,-85100000.0,465600000.0,-512500000.0,-311700000.0,-193000000.0,-7800000.0,-46900000.0,-10100000.0,-10100000.0,-57000000,-16000000.0,-73000000,-25200000.0,-98200000,,-98200000,-98200000,ADSK,2016-07-31
185035,USD,2016,Q3,2016-12-01,2017-12-05,225300000.0,225300000.0,489600000.0,-81500000.0,408100000.0,-524800000.0,-325400000.0,-192600000.0,-6800000.0,-116700000.0,-9400000.0,-9400000.0,-126100000,-3200000.0,-129300000,-13500000.0,-142800000,,-142800000,-142800000,ADSK,2016-10-31
185035,USD,2016,Q4,2017-03-21,2017-03-21,224500000.0,220000000.0,478800000.0,-82900000.0,395900000.0,-554000000.0,-357700000.0,-187000000.0,-9300000.0,-158100000.0,-1100000.0,-1100000.0,-159200000,-9000000.0,-168200000,-5200000.0,-173400000,,-173400000,-173400000,ADSK,2017-01-31
185035,USD,2017,Q1,2017-05-31,2017-05-31,219900000.0,224400000.0,485700000.0,-78200000.0,407500000.0,-527400000.0,-334000000.0,-187700000.0,-5700000.0,-119900000.0,-1800000.0,-1800000.0,-121700000,300000.0,-121400000,-8200000.0,-129600000,,-129600000,-129600000,ADSK,2017-04-30
185035,USD,2017,Q2,2017-08-31,2017-08-31,223200000.0,223200000.0,501800000.0,-74600000.0,427200000.0,-534300000.0,-335600000.0,-193800000.0,-4900000.0,-107100000.0,-18800000.0,-18800000.0,-125900000,-500000.0,-126400000,-17600000.0,-144000000,,-144000000,-144000000,ADSK,2017-07-31
185035,USD,2017,Q3,2017-12-05,2017-12-05,222300000.0,222300000.0,515300000.0,-77500000.0,437800000.0,-537800000.0,-341300000.0,-191800000.0,-4700000.0,-100000000.0,-11200000.0,-11200000.0,-111200000,0.0,-111200000,-8600000.0,-119800000,,-119800000,-119800000,ADSK,2017-10-31
185035,USD,2017,Q4,2018-03-22,2018-03-22,212600000.0,208100000.0,553800000.0,-73100000.0,480700000.0,-568700000.0,-381600000.0,-182200000.0,-4900000.0,-88000000.0,-16400000.0,-16400000.0,-104400000,-93900000.0,-198300000,24800000.0,-173500000,,-173500000,-173500000,ADSK,2018-01-31
185035,USD,2018,Q1,2018-06-08,2018-06-08,218600000.0,218600000.0,559900000.0,-66800000.0,493100000.0,-525900000.0,-349300000.0,-172800000.0,-3800000.0,-32800000.0,-8500000.0,-8500000.0,-41300000,-22500000.0,-63800000,-18600000.0,-82400000,,-82400000,-82400000,ADSK,2018-04-30
185035,USD,2018,Q2,2018-08-30,2018-08-30,219000000.0,219000000.0,611700000.0,-69800000.0,541900000.0,-552800000.0,-368200000.0,-180800000.0,-3800000.0,-10900000.0,1300000.0,1300000.0,-9600000,-13800000.0,-23400000,-16000000.0,-39400000,,-39400000,-39400000,ADSK,2018-07-31
185035,USD,2018,Q3,2018-12-06,2018-12-06,218900000.0,218900000.0,660900000.0,-72300000.0,588600000.0,-570200000.0,-385000000.0,-181000000.0,-4200000.0,18400000.0,-3200000.0,-3200000.0,15200000,-3700000.0,11500000,-35200000.0,-23700000,,-23700000,-23700000,ADSK,2018-10-31
185035,USD,2018,Q4,2019-03-25,2019-03-25,219100000.0,219100000.0,737300000.0,-77000000.0,660300000.0,-618100000.0,-421500000.0,-190400000.0,-6200000.0,42200000.0,-7300000.0,-7300000.0,34900000,-1900000.0,33000000,31700000.0,64700000,,64700000,64700000,ADSK,2019-01-31
185035,USD,2019,Q1,2019-06-04,2019-06-04,219600000.0,219600000.0,735500000.0,-82700000.0,652800000.0,-627800000.0,-412400000.0,-205600000.0,-9800000.0,25000000.0,-16200000.0,-16200000.0,8800000,-200000.0,8600000,-32800000.0,-24200000,,-24200000,-24200000,ADSK,2019-04-30
185035,USD,2019,Q2,2019-09-04,2019-09-04,219600000.0,222400000.0,796800000.0,-79500000.0,717300000.0,-643300000.0,-418200000.0,-215400000.0,-9700000.0,74000000.0,-7300000.0,-7300000.0,66700000,-200000.0,66500000,-26300000.0,40200000,,40200000,40200000,ADSK,2019-07-31
185035,USD,2019,Q3,2019-12-05,2019-12-05,219700000.0,221900000.0,842700000.0,-79500000.0,763200000.0,-652500000.0,-429800000.0,-213000000.0,-9700000.0,110700000.0,-14200000.0,-14200000.0,96500000,-100000.0,96400000,-29700000.0,66700000,,66700000,66700000,ADSK,2019-10-31
185035,USD,2019,Q4,2020-03-19,2020-03-19,219900000.0,226100000.0,899300000.0,-83200000.0,816100000.0,-682300000.0,-455500000.0,-217100000.0,-9700000.0,133800000.0,-10500000.0,-10500000.0,123300000,0.0,123300000,8500000.0,131800000,,131800000,131800000,ADSK,2020-01-31
