SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
365265,USD,2011,Q2,2011-08-05,2012-08-07,94700000.0,98600000.0,2358600000.0,-1870300000.0,488300000.0,-287600000.0,-216500000.0,-66200000.0,-4900000.0,200700000.0,-20400000.0,-12500000.0,180300000,900000.0,181200000,-61100000.0,133900000,,133700000,133700000,AGCO,2011-06-30
365265,USD,2011,Q3,2011-11-04,2012-11-07,96400000.0,96900000.0,2099100000.0,-1691300000.0,407800000.0,-293500000.0,-221200000.0,-67500000.0,-4800000.0,114300000.0,-10200000.0,-3100000.0,104100000,0.0,104100000,-31600000.0,84500000,,84400000,84400000,AGCO,2011-09-30
365265,USD,2011,Q4,2012-02-27,2014-02-28,97200000.0,98600000.0,2517800000.0,-1993700000.0,524100000.0,-338400000.0,-246900000.0,-84000000.0,-7500000.0,185700000.0,-10900000.0,-9100000.0,174800000,0.0,174800000,98800000.0,285300000,,285200000,285200000,AGCO,2011-12-31
365265,USD,2012,Q1,2012-05-09,2013-05-08,97100000.0,99100000.0,2273700000.0,-1780700000.0,493000000.0,-323200000.0,-238900000.0,-72100000.0,-12200000.0,169800000.0,-17400000.0,-13000000.0,152400000,,152400000,-43200000.0,121200000,,120200000,120200000,AGCO,2012-03-31
365265,USD,2012,Q2,2012-08-07,2013-08-08,97200000.0,98400000.0,2690100000.0,-2078700000.0,611400000.0,-346500000.0,-255000000.0,-79000000.0,-12500000.0,264900000.0,-20800000.0,-14700000.0,244100000,,244100000,-57300000.0,202100000,,204900000,204900000,AGCO,2012-06-30
365265,USD,2012,Q3,2012-11-07,2013-11-07,97000000.0,98400000.0,2295000000.0,-1804000000.0,491000000.0,-351400000.0,-262800000.0,-76400000.0,-12200000.0,139600000.0,-29600000.0,-15800000.0,110000000,,110000000,-30500000.0,92100000,,94500000,94500000,AGCO,2012-09-30
365265,USD,2012,Q4,2013-02-27,2015-02-27,97100000.0,98500000.0,2703400000.0,-2175600000.0,527800000.0,-386500000.0,-284500000.0,-89600000.0,-12400000.0,141300000.0,-24600000.0,-14100000.0,116700000,-22400000.0,94300000,-6900000.0,101000000,,102500000,102500000,AGCO,2012-12-31
365265,USD,2013,Q1,2013-05-08,2014-05-09,97000000.0,99100000.0,2403100000.0,-1870000000.0,533100000.0,-355700000.0,-255700000.0,-88000000.0,-12000000.0,177400000.0,-16300000.0,-12600000.0,161100000,,161100000,-52900000.0,117100000,,118000000,118000000,AGCO,2013-03-31
365265,USD,2013,Q2,2013-08-08,2014-08-08,97300000.0,99300000.0,3048200000.0,-2337900000.0,710300000.0,-383200000.0,-279700000.0,-91400000.0,-12100000.0,327100000.0,-23700000.0,-13500000.0,303400000,,303400000,-104400000.0,213100000,,213700000,213700000,AGCO,2013-06-30
365265,USD,2013,Q3,2013-11-07,2014-11-07,97400000.0,99500000.0,2475900000.0,-1919700000.0,556200000.0,-357200000.0,-258100000.0,-87300000.0,-11800000.0,199000000.0,-25400000.0,-14100000.0,173600000,0.0,173600000,-62500000.0,125200000,,126200000,126200000,AGCO,2013-09-30
