SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
967946,USD,2015,Q2,2015-08-14,2016-08-15,11734000.0,12118000.0,26296000.0,-5867000.0,20429000.0,-24040000.0,-8798000.0,-3033000.0,-12209000.0,-3611000.0,-8512000.0,-7989000.0,-12123000,-7728000.0,-19851000,22700000.0,2849000,,2849000,2849000,AGS,2015-06-30
967946,USD,2015,Q3,2015-11-16,2016-11-14,14932000.0,14932000.0,38105000.0,-7464000.0,30641000.0,-39409000.0,-13804000.0,-5060000.0,-20545000.0,-8768000.0,-17339000.0,-14854000.0,-26107000,-4249000.0,-30356000,7077000.0,-23279000,,-23279000,-23279000,AGS,2015-09-30
967946,USD,2015,Q4,2016-03-10,2018-03-14,15006000.0,14622000.0,40096000.0,-8229000.0,31867000.0,-36906000.0,-11336000.0,-5008000.0,-20562000.0,-5039000.0,-14605000.0,-14454000.0,-19644000,3692000.0,-15952000,7072000.0,-8880000,,-8880000,-8880000,AGS,2015-12-31
967946,USD,2016,Q1,2016-05-16,2017-05-10,14932000.0,14932000.0,40235000.0,-6443000.0,33792000.0,-37888000.0,-12683000.0,-4663000.0,-20542000.0,-4096000.0,-19015000.0,-14593000.0,-23111000,-110000.0,-23221000,2155000.0,-21066000,,-21066000,-21066000,AGS,2016-03-31
967946,USD,2016,Q2,2016-08-15,2017-08-14,14932000.0,14932000.0,42618000.0,-10019000.0,32599000.0,-36746000.0,-11001000.0,-5179000.0,-20566000.0,-4147000.0,-16116000.0,-14616000.0,-20263000,-191000.0,-20454000,1615000.0,-18839000,,-18839000,-18839000,AGS,2016-06-30
967946,USD,2016,Q3,2016-11-14,2017-11-14,14932000.0,14932000.0,41208000.0,-7409000.0,33799000.0,-39064000.0,-12970000.0,-6675000.0,-19419000.0,-5265000.0,-15283000.0,-14891000.0,-20548000,-1852000.0,-22400000,1165000.0,-21235000,,-21235000,-21235000,AGS,2016-09-30
967946,USD,2016,Q4,2017-12-18,2019-03-05,48036000.0,48036000.0,42745000.0,-9102000.0,33643000.0,-33937000.0,-9454000.0,-4829000.0,-19654000.0,-294000.0,-16896000.0,-15806000.0,-17190000,-1109000.0,-18299000,-1935000.0,-20234000,,-20234000,-20234000,AGS,2016-12-31
967946,USD,2017,Q1,2017-05-10,2018-05-03,23208000.0,23208000.0,47774000.0,-11323000.0,36451000.0,-34036000.0,-10281000.0,-5304000.0,-18451000.0,2415000.0,-12336000.0,-15145000.0,-9921000,-232000.0,-10153000,-2233000.0,-12386000,,-12386000,-12386000,AGS,2017-03-31
967946,USD,2017,Q2,2017-08-14,2018-08-02,23208000.0,23208000.0,50080000.0,-11123000.0,38957000.0,-34702000.0,-10345000.0,-6141000.0,-18216000.0,4255000.0,-12985000.0,-14514000.0,-8730000,-10062000.0,-18792000,-1318000.0,-20110000,,-20110000,-20110000,AGS,2017-06-30
967946,USD,2017,Q3,2017-11-14,2018-11-08,23208000.0,23208000.0,56440000.0,-13674000.0,42766000.0,-33140000.0,-9742000.0,-6467000.0,-16931000.0,9626000.0,-12174000.0,-12641000.0,-2548000,-490000.0,-3038000,-1052000.0,-4090000,,-4090000,-4090000,AGS,2017-09-30
