SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
344561,USD,2011,Q2,2011-08-08,2012-08-09,55533000.0,61517000.0,1595631000.0,-1491667000.0,103964000.0,-63372000.0,-38585000.0,,-24787000.0,40592000.0,-23623000.0,-20758000.0,16969000,-80000.0,16889000,-2478000.0,14411000,,13734000,13734000,ALJ,2011-06-30
344561,USD,2011,Q3,2011-11-07,2012-11-06,55755000.0,61690000.0,2056653000.0,-1910436000.0,146217000.0,-64492000.0,-34680000.0,,-29812000.0,81725000.0,-34849000.0,-22582000.0,46876000,229000.0,47105000,-17004000.0,30101000,,28621000,28621000,ALJ,2011-09-30
344561,USD,2011,Q4,2012-03-13,2014-03-14,55887000.0,61913000.0,1882869000.0,-1828464000.0,54405000.0,-69211000.0,-35527000.0,,-33684000.0,-14806000.0,-7785000.0,-24530000.0,-22591000,568000.0,-22023000,8034000.0,-13989000,,-12913000,-12913000,ALJ,2011-12-31
344561,USD,2012,Q1,2012-05-09,2013-05-10,56028000.0,56028000.0,1792133000.0,-1690883000.0,101250000.0,-65851000.0,-35140000.0,,-30711000.0,35399000.0,-39079000.0,-31040000.0,-3680000,-45181000.0,-48861000,17751000.0,-31110000,,-29367000,-29367000,ALJ,2012-03-31
344561,USD,2012,Q2,2012-08-09,2013-08-09,56238000.0,66635000.0,1910489000.0,-1763750000.0,146739000.0,-66627000.0,-36208000.0,,-30419000.0,80112000.0,-21684000.0,-24300000.0,58428000,12526000.0,70954000,-25680000.0,45274000,,43091000,43091000,ALJ,2012-06-30
344561,USD,2012,Q3,2012-11-06,2013-11-08,56699000.0,63060000.0,2360334000.0,-2182807000.0,177527000.0,-79540000.0,-47670000.0,,-31870000.0,97987000.0,-18029000.0,-22773000.0,79958000,-7641000.0,72317000,-26776000.0,45541000,,43223000,43223000,ALJ,2012-09-30
344561,USD,2012,Q4,2013-03-14,2015-03-13,61039000.0,69945000.0,1954785000.0,-1825187000.0,129598000.0,-71312000.0,-42383000.0,,-28929000.0,58286000.0,-50202000.0,-51459000.0,8084000,37987000.0,46071000,-15179000.0,30892000,,22187000,22187000,ALJ,2012-12-31
344561,USD,2013,Q1,2013-05-10,2014-05-05,61957000.0,67616000.0,1651196000.0,-1452479000.0,198717000.0,-72904000.0,-41741000.0,,-31163000.0,125813000.0,-21590000.0,-21292000.0,104223000,18000.0,104241000,-30590000.0,73651000,,54184000,54184000,ALJ,2013-03-31
344561,USD,2013,Q2,2013-08-09,2014-08-08,62614000.0,68071000.0,1676595000.0,-1569158000.0,107437000.0,-73899000.0,-43101000.0,,-30798000.0,33538000.0,-18105000.0,-20261000.0,15433000,8494000.0,23927000,-3985000.0,19942000,,11496000,11496000,ALJ,2013-06-30
344561,USD,2013,Q3,2013-11-08,2014-10-31,62901000.0,62901000.0,1892836000.0,-1861355000.0,31481000.0,-71212000.0,-40224000.0,,-30988000.0,-39731000.0,-18746000.0,-22263000.0,-58477000,334000.0,-58143000,24958000.0,-33185000,,-28709000,-28709000,ALJ,2013-09-30
