SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
62747,USD,2000,Q4,2001-01-24,2003-02-19,413000000.0,424000000.0,972360000.0,-748060000.0,224300000.0,-362344000.0,-83427000.0,,-79210000.0,-138044000.0,-30480000.0,-25115000.0,-168524000,-339057000.0,-507581000,,-545140000,,-545140000,-545140000,AMZN,2000-12-31
62747,USD,2001,Q1,2001-04-27,2002-04-24,413000000.0,424000000.0,700356000.0,-517759000.0,182597000.0,-284945000.0,-62666000.0,,-50831000.0,-102348000.0,-27682000.0,-23798000.0,-130030000,-80403000.0,-210433000,,-223608000,,-223608000,-234131000,AMZN,2001-03-31
62747,USD,2001,Q2,2001-07-23,2002-07-26,413000000.0,424000000.0,667625000.0,-487905000.0,179720000.0,-260910000.0,-57436000.0,,-50830000.0,-81190000.0,-29519000.0,-28341000.0,-110709000,-47335000.0,-158044000,,-168359000,,-168359000,-168359000,AMZN,2001-06-30
62747,USD,2001,Q3,2001-10-30,2002-10-25,413000000.0,424000000.0,639281000.0,-477089000.0,162192000.0,-228532000.0,-54018000.0,,-41835000.0,-66340000.0,-30933000.0,-28730000.0,-97273000,-67619000.0,-164892000,,-169874000,,-169874000,-169874000,AMZN,2001-09-30
62747,USD,2001,Q4,2002-01-24,2004-02-25,413000000.0,424000000.0,1115171000.0,-841122000.0,274049000.0,-254843000.0,-54025000.0,,-37537000.0,19206000.0,-23895000.0,-29260000.0,-4689000,11631000.0,6942000,,5087000,,5087000,5087000,AMZN,2001-12-31
62747,USD,2002,Q1,2002-04-24,2003-04-25,413000000.0,424000000.0,847422000.0,-624297000.0,223125000.0,-211377000.0,-53155000.0,,-1979000.0,11748000.0,-29497000.0,-29592000.0,-17749000,-4458000.0,-22207000,,-23951000,,-23951000,-23150000,AMZN,2002-03-31
62747,USD,2002,Q2,2002-07-26,2003-07-24,413000000.0,424000000.0,805605000.0,-587438000.0,218167000.0,-216695000.0,-48257000.0,,-1374000.0,1472000.0,-30403000.0,-30001000.0,-28931000,-63454000.0,-92385000,,-93553000,,-93553000,-93553000,AMZN,2002-06-30
62747,USD,2002,Q3,2002-10-25,2003-10-24,413000000.0,424000000.0,851299000.0,-635132000.0,216167000.0,-189055000.0,-45426000.0,,-1212000.0,27112000.0,-27139000.0,-30322000.0,-27000,-34496000.0,-34523000,,-35080000,,-35080000,-35080000,AMZN,2002-09-30
62747,USD,2002,Q4,2003-02-19,2005-03-11,413000000.0,424000000.0,1428610000.0,-1093451000.0,335159000.0,-311367000.0,-57594000.0,,4565000.0,23792000.0,-27276000.0,-29323000.0,-3484000,1966000.0,-1518000,700000.0,2651000,,2651000,2651000,AMZN,2002-12-31
62747,USD,2003,Q1,2003-04-25,2004-04-23,413000000.0,424000000.0,1083559000.0,-812977000.0,270582000.0,-231357000.0,-49329000.0,,,39225000.0,-27112000.0,-29971000.0,12113000,-22234000.0,-10121000,,-10121000,,-10121000,-10121000,AMZN,2003-03-31
62747,USD,2003,Q2,2003-07-24,2003-07-24,413000000.0,424000000.0,1099912000.0,-825984000.0,273928000.0,-232105000.0,-47149000.0,,-913000.0,41823000.0,-24921000.0,-28606000.0,16902000,-60216000.0,-43314000,,-43314000,,-43314000,-43314000,AMZN,2003-06-30
62747,USD,2003,Q3,2003-10-24,2003-10-24,413000000.0,424000000.0,1134456000.0,-848635000.0,285821000.0,-233890000.0,-51336000.0,,-786000.0,51931000.0,-25226000.0,-25478000.0,26705000,-11142000.0,15563000,,15563000,,15563000,15563000,AMZN,2003-09-30
62747,USD,2003,Q4,2004-02-25,2006-02-17,413000000.0,424000000.0,1946073000.0,-1519404000.0,426669000.0,-289648000.0,-84186000.0,,1699000.0,137021000.0,-23741000.0,-23945000.0,113280000,-36408000.0,76872000,-4000000.0,72872000,,72872000,72872000,AMZN,2003-12-31
62747,USD,2004,Q1,2004-04-23,2005-04-28,413000000.0,424000000.0,1530000000.0,-1169000000.0,361000000.0,-251000000.0,-64000000.0,,,110000000.0,-21000000.0,-22000000.0,89000000,20000000.0,109000000,2000000.0,111000000,,111000000,111000000,AMZN,2004-03-31
62747,USD,2004,Q2,2004-07-23,2005-07-28,413000000.0,424000000.0,1387000000.0,-1046000000.0,341000000.0,-255000000.0,-65000000.0,,,86000000.0,-21000000.0,-21000000.0,65000000,16000000.0,81000000,-5000000.0,76000000,,76000000,76000000,AMZN,2004-06-30
62747,USD,2004,Q3,2004-10-22,2005-10-27,413000000.0,424000000.0,1463000000.0,-1107000000.0,356000000.0,-275000000.0,-63000000.0,,,81000000.0,-19000000.0,-19000000.0,62000000,-5000000.0,57000000,-3000000.0,54000000,,54000000,54000000,AMZN,2004-09-30
62747,USD,2004,Q4,2005-03-11,2007-02-16,413000000.0,424000000.0,2541000000.0,-1997000000.0,544000000.0,-381000000.0,-94000000.0,,,163000000.0,-23000000.0,-17000000.0,140000000,-32000000.0,108000000,239000000.0,347000000,,347000000,347000000,AMZN,2004-12-31
62747,USD,2005,Q1,2005-04-28,2006-04-27,413000000.0,424000000.0,1902000000.0,-1444000000.0,458000000.0,-350000000.0,-91000000.0,,,108000000.0,-14000000.0,-17000000.0,94000000,14000000.0,108000000,-56000000.0,52000000,,52000000,78000000,AMZN,2005-03-31
62747,USD,2005,Q2,2005-07-28,2006-07-27,413000000.0,424000000.0,1753000000.0,-1303000000.0,450000000.0,-346000000.0,-80000000.0,,,104000000.0,-14000000.0,-13000000.0,90000000,18000000.0,108000000,-56000000.0,52000000,,52000000,52000000,AMZN,2005-06-30
62747,USD,2005,Q3,2005-10-27,2006-10-26,413000000.0,424000000.0,1858000000.0,-1395000000.0,463000000.0,-408000000.0,-76000000.0,,,55000000.0,-10000000.0,-10000000.0,45000000,6000000.0,51000000,-21000000.0,30000000,,30000000,30000000,AMZN,2005-09-30
62747,USD,2005,Q4,2006-02-17,2008-02-11,413000000.0,424000000.0,2977000000.0,-2309000000.0,668000000.0,-503000000.0,-117000000.0,,,165000000.0,-8000000.0,-8000000.0,157000000,4000000.0,161000000,38000000.0,199000000,,199000000,199000000,AMZN,2005-12-31
62747,USD,2006,Q1,2006-04-27,2007-04-26,413000000.0,424000000.0,2279000000.0,-1732000000.0,547000000.0,-441000000.0,-99000000.0,,,106000000.0,-7000000.0,-6000000.0,99000000,-3000000.0,96000000,-45000000.0,51000000,,51000000,51000000,AMZN,2006-03-31
62747,USD,2006,Q2,2006-07-27,2007-07-26,413000000.0,424000000.0,2139000000.0,-1630000000.0,509000000.0,-462000000.0,-103000000.0,,,47000000.0,-5000000.0,-6000000.0,42000000,12000000.0,54000000,-32000000.0,22000000,,22000000,22000000,AMZN,2006-06-30
62747,USD,2006,Q3,2006-10-26,2007-10-25,413000000.0,424000000.0,2307000000.0,-1758000000.0,549000000.0,-509000000.0,-118000000.0,,,40000000.0,-3000000.0,-7000000.0,37000000,1000000.0,38000000,-19000000.0,19000000,,19000000,19000000,AMZN,2006-09-30
62747,USD,2006,Q4,2007-02-16,2009-01-30,413000000.0,424000000.0,3986000000.0,-3135000000.0,851000000.0,-655000000.0,-138000000.0,,,196000000.0,3000000.0,0.0,199000000,-10000000.0,189000000,-91000000.0,98000000,,98000000,98000000,AMZN,2006-12-31
62747,USD,2007,Q1,2007-04-26,2008-04-25,413000000.0,424000000.0,3015000000.0,-2296000000.0,719000000.0,-574000000.0,-128000000.0,,,145000000.0,1000000.0,1000000.0,146000000,-2000000.0,144000000,-33000000.0,111000000,,111000000,111000000,AMZN,2007-03-31
62747,USD,2007,Q2,2007-07-26,2008-07-25,413000000.0,424000000.0,2886000000.0,-2185000000.0,701000000.0,-585000000.0,-123000000.0,,,116000000.0,-5000000.0,1000000.0,111000000,,111000000,-33000000.0,78000000,,78000000,78000000,AMZN,2007-06-30
62747,USD,2007,Q3,2007-10-25,2008-10-22,413000000.0,424000000.0,3262000000.0,-2500000000.0,762000000.0,-639000000.0,-131000000.0,,,123000000.0,1000000.0,4000000.0,124000000,,124000000,-44000000.0,80000000,,80000000,80000000,AMZN,2007-09-30
62747,USD,2007,Q4,2008-02-11,2010-01-29,413000000.0,424000000.0,5672000000.0,-4501000000.0,1171000000.0,-900000000.0,-197000000.0,,,271000000.0,8000000.0,7000000.0,279000000,2000000.0,281000000,-74000000.0,207000000,,207000000,207000000,AMZN,2007-12-31
62747,USD,2008,Q1,2008-04-25,2009-04-24,418000000.0,426000000.0,4135000000.0,-3179000000.0,956000000.0,-758000000.0,-164000000.0,,,198000000.0,9000000.0,4000000.0,207000000,,207000000,-62000000.0,143000000,,143000000,143000000,AMZN,2008-03-31
62747,USD,2008,Q2,2008-07-25,2009-07-24,420000000.0,430000000.0,4063000000.0,-3096000000.0,967000000.0,-750000000.0,-176000000.0,,,217000000.0,-9000000.0,-1000000.0,208000000,,208000000,-46000000.0,158000000,,158000000,158000000,AMZN,2008-06-30
62747,USD,2008,Q3,2008-10-22,2009-10-23,427000000.0,436000000.0,4264000000.0,-3265000000.0,999000000.0,-845000000.0,-181000000.0,,,154000000.0,28000000.0,4000000.0,182000000,,182000000,-59000000.0,118000000,,118000000,118000000,AMZN,2008-09-30
62747,USD,2008,Q4,2009-01-30,2011-01-28,429000000.0,435000000.0,6704000000.0,-5356000000.0,1348000000.0,-1075000000.0,-240000000.0,,,273000000.0,31000000.0,5000000.0,304000000,,304000000,-80000000.0,226000000,,226000000,226000000,AMZN,2008-12-31
62747,USD,2009,Q1,2009-04-24,2010-04-23,429000000.0,437000000.0,4889000000.0,-3741000000.0,1148000000.0,-904000000.0,-196000000.0,,,244000000.0,4000000.0,0.0,248000000,,248000000,-69000000.0,177000000,,177000000,177000000,AMZN,2009-03-31
62747,USD,2009,Q2,2009-07-24,2010-07-23,431000000.0,440000000.0,4651000000.0,-3518000000.0,1133000000.0,-974000000.0,-206000000.0,,,159000000.0,20000000.0,1000000.0,179000000,,179000000,-39000000.0,142000000,,142000000,142000000,AMZN,2009-06-30
62747,USD,2009,Q3,2009-10-23,2010-10-22,432000000.0,441000000.0,5449000000.0,-4176000000.0,1273000000.0,-1022000000.0,-232000000.0,,,251000000.0,11000000.0,0.0,262000000,,262000000,-60000000.0,199000000,,199000000,199000000,AMZN,2009-09-30
62747,USD,2009,Q4,2010-01-29,2012-02-01,440000000.0,450000000.0,9520000000.0,-7543000000.0,1977000000.0,-1502000000.0,-374000000.0,,,475000000.0,-3000000.0,2000000.0,472000000,,472000000,-85000000.0,384000000,,384000000,384000000,AMZN,2009-12-31
62747,USD,2010,Q1,2010-04-23,2011-04-27,445000000.0,454000000.0,7131000000.0,-5501000000.0,1630000000.0,-1236000000.0,-298000000.0,,,394000000.0,7000000.0,4000000.0,401000000,,401000000,-100000000.0,299000000,,299000000,299000000,AMZN,2010-03-31
