SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
168302,USD,2010,Q2,2010-08-04,2011-08-03,174774000.0,174850000.0,634910000.0,,634910000.0,-447335000.0,-314016000.0,,-81695000.0,187575000.0,-76457000.0,-78444000.0,111118000,3473000.0,114591000,-46570000.0,68021000,4730000.0,72751000,72751000,AWK,2010-06-30
168302,USD,2010,Q3,2010-11-03,2011-11-02,174859000.0,175062000.0,748953000.0,,748953000.0,-483489000.0,-346180000.0,,-84005000.0,265464000.0,-74063000.0,-74568000.0,191401000,3718000.0,195119000,-75762000.0,119357000,4757000.0,124114000,124114000,AWK,2010-09-30
168302,USD,2010,Q4,2011-02-28,2013-03-01,174979000.0,175788000.0,604410000.0,,604410000.0,-457109000.0,-325103000.0,,-82508000.0,147301000.0,-79904000.0,-82057000.0,67397000,3968000.0,71365000,-33351000.0,38014000,2140000.0,40154000,40154000,AWK,2010-12-31
168302,USD,2011,Q1,2011-05-04,2012-05-02,175259000.0,176048000.0,596715000.0,,596715000.0,-454489000.0,-310821000.0,,-86878000.0,142226000.0,-77346000.0,-76191000.0,64880000,3764000.0,68644000,-27945000.0,40699000,-14466000.0,26233000,26233000,AWK,2011-03-31
168302,USD,2011,Q2,2011-08-03,2012-08-02,175469000.0,176419000.0,668873000.0,,668873000.0,-468705000.0,-327157000.0,,-87342000.0,200168000.0,-77789000.0,-78469000.0,122379000,3705000.0,126084000,-51267000.0,74817000,6293000.0,81110000,81110000,AWK,2011-06-30
168302,USD,2011,Q3,2011-11-02,2012-11-07,175547000.0,176593000.0,760869000.0,,760869000.0,-482346000.0,-340339000.0,,-88323000.0,278523000.0,-78550000.0,-78562000.0,199973000,6917000.0,206890000,-78395000.0,128495000,8927000.0,137422000,137422000,AWK,2011-09-30
168302,USD,2011,Q4,2012-02-28,2014-02-27,175661000.0,177064000.0,639779000.0,,639779000.0,-463608000.0,-323477000.0,,-89278000.0,176171000.0,-79770000.0,-79193000.0,96401000,5661000.0,102062000,-41144000.0,60918000,3930000.0,64848000,64848000,AWK,2011-12-31
168302,USD,2012,Q1,2012-05-02,2013-05-07,175914000.0,177028000.0,618554000.0,,618554000.0,-460495000.0,-310004000.0,,-92104000.0,158059000.0,-80270000.0,-79654000.0,77789000,6856000.0,84645000,-35393000.0,49252000,-7498000.0,41754000,41754000,AWK,2012-03-31
168302,USD,2012,Q2,2012-08-02,2013-08-07,176331000.0,177491000.0,745607000.0,,745607000.0,-476549000.0,-327577000.0,,-92329000.0,269058000.0,-79395000.0,-79730000.0,189663000,7602000.0,197265000,-80602000.0,116663000,-9637000.0,107026000,107026000,AWK,2012-06-30
168302,USD,2012,Q3,2012-11-07,2013-11-06,176621000.0,177841000.0,831815000.0,,831815000.0,-505528000.0,-355126000.0,,-96219000.0,326287000.0,-76577000.0,-76616000.0,249710000,5314000.0,255024000,-100913000.0,154111000,-299000.0,153812000,153812000,AWK,2012-09-30
168302,USD,2012,Q4,2013-03-01,2015-02-25,176914000.0,178324000.0,657950000.0,,657950000.0,-493446000.0,-336793000.0,,-99750000.0,164504000.0,-75478000.0,-74794000.0,89026000,4429000.0,93455000,-39879000.0,53576000,1902000.0,55478000,55478000,AWK,2012-12-31
168302,USD,2013,Q1,2013-05-07,2014-05-07,177327000.0,178465000.0,636137000.0,,636137000.0,-473579000.0,-312203000.0,,-99649000.0,162558000.0,-78890000.0,-78114000.0,83668000,5143000.0,88811000,-31168000.0,57643000,,57643000,57643000,AWK,2013-03-31
168302,USD,2013,Q2,2013-08-07,2014-08-06,177716000.0,178910000.0,724265000.0,,724265000.0,-484116000.0,-323320000.0,,-101366000.0,240149000.0,-78013000.0,-77757000.0,162136000,5583000.0,167719000,-66456000.0,101263000,,101263000,101263000,AWK,2013-06-30
168302,USD,2013,Q3,2013-11-06,2014-11-05,177965000.0,179154000.0,822190000.0,,822190000.0,-499780000.0,-337674000.0,,-102495000.0,322410000.0,-77838000.0,-77389000.0,244572000,3711000.0,248283000,-98374000.0,149909000,756000.0,150665000,150665000,AWK,2013-09-30
168302,USD,2013,Q4,2014-02-27,2016-02-25,178992000.0,179471000.0,696408000.0,,696408000.0,-472525000.0,-315803000.0,,-103490000.0,223883000.0,-64259000.0,-74740000.0,159624000,-56437000.0,103187000,-41002000.0,62185000,-2756000.0,59429000,59429000,AWK,2013-12-31
168302,USD,2014,Q1,2014-05-07,2015-05-06,178539000.0,179457000.0,679003000.0,,679003000.0,-493444000.0,-325180000.0,,-105924000.0,185559000.0,-75101000.0,-73560000.0,110458000,3894000.0,114352000,-45239000.0,69113000,-990000.0,68123000,68123000,AWK,2014-03-31
168302,USD,2014,Q2,2014-08-06,2015-08-05,178863000.0,179693000.0,754778000.0,,754778000.0,-501965000.0,-337849000.0,,-105685000.0,252813000.0,-73984000.0,-73668000.0,178829000,3674000.0,182503000,-72329000.0,110174000,-875000.0,109299000,109299000,AWK,2014-06-30
168302,USD,2014,Q3,2014-11-05,2015-11-04,178992000.0,179948000.0,846169000.0,,846169000.0,-510613000.0,-341348000.0,,-106789000.0,335556000.0,-76178000.0,-75445000.0,259378000,4435000.0,263813000,-107205000.0,156608000,-4423000.0,152185000,152185000,AWK,2014-09-30
168302,USD,2014,Q4,2015-02-25,2017-02-21,179606000.0,180902000.0,731050000.0,,731050000.0,-503978000.0,-345623000.0,,-105602000.0,227072000.0,-67737000.0,-76327000.0,159335000,-10003000.0,149332000,-55227000.0,94105000,-712000.0,93393000,93393000,AWK,2014-12-31
168302,USD,2015,Q1,2015-05-06,2016-05-04,179000000.0,180000000.0,698000000.0,,698000000.0,-495000000.0,-324000000.0,,-107000000.0,203000000.0,-71000000.0,-75000000.0,132000000,1000000.0,133000000,-53000000.0,80000000,,80000000,80000000,AWK,2015-03-31
168302,USD,2015,Q2,2015-08-05,2016-08-03,180000000.0,180000000.0,782000000.0,,782000000.0,-505000000.0,-336000000.0,,-109000000.0,277000000.0,-74000000.0,-76000000.0,203000000,1000000.0,204000000,-81000000.0,123000000,,123000000,123000000,AWK,2015-06-30
168302,USD,2015,Q3,2015-11-04,2016-11-02,179578000.0,180353000.0,896000000.0,,896000000.0,-535000000.0,-364000000.0,,-111000000.0,361000000.0,-74000000.0,-77000000.0,287000000,,287000000,-113000000.0,174000000,,174000000,174000000,AWK,2015-09-30
168302,USD,2015,Q4,2016-02-25,2018-02-20,177422000.0,179647000.0,783000000.0,,783000000.0,-552000000.0,-380000000.0,,-113000000.0,231000000.0,-74000000.0,-80000000.0,157000000,1000000.0,158000000,-59000000.0,99000000,,99000000,99000000,AWK,2015-12-31
