SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
71192,USD,2009,Q3,2010-01-07,2010-01-07,412900000.0,422600000.0,11500000000.0,-8639000000.0,2861000000.0,-2587000000.0,-2587000000.0,,,274000000.0,-38000000.0,-35000000.0,236000000,-111000000.0,125000000,-68000000.0,63000000,,52000000,52000000,BBY,2009-10-31
71192,USD,2009,Q4,2010-04-28,2011-04-25,413700000.0,423500000.0,14724000000.0,-11101000000.0,3623000000.0,-2499000000.0,-2499000000.0,,,1124000000.0,-17000000.0,-25000000.0,1107000000,-144000000.0,963000000,-378000000.0,587000000,,570000000,570000000,BBY,2010-01-31
71192,USD,2010,Q1,2010-07-08,2010-07-08,415200000.0,425700000.0,10095000000.0,-7538000000.0,2557000000.0,-2209000000.0,-2209000000.0,,,348000000.0,-14000000.0,-23000000.0,334000000,-52000000.0,282000000,-126000000.0,156000000,,153000000,153000000,BBY,2010-04-30
71192,USD,2010,Q2,2010-10-07,2010-10-07,416500000.0,427000000.0,11022000000.0,-8338000000.0,2684000000.0,-2404000000.0,-2404000000.0,,,280000000.0,-4000000.0,-22000000.0,276000000,,276000000,-119000000.0,157000000,,158000000,158000000,BBY,2010-07-31
71192,USD,2010,Q3,2011-01-05,2011-01-05,417100000.0,428600000.0,12024000000.0,-9082000000.0,2942000000.0,-2566000000.0,-2566000000.0,,,376000000.0,-12000000.0,-23000000.0,364000000,,364000000,-93000000.0,271000000,,227000000,227000000,BBY,2010-10-31
71192,USD,2010,Q4,2011-04-25,2012-05-01,418400000.0,428700000.0,16102000000.0,-12243000000.0,3859000000.0,-2443000000.0,-2443000000.0,,,1416000000.0,-9000000.0,-24000000.0,1407000000,0.0,1407000000,-497000000.0,911000000,-101000000.0,779000000,779000000,BBY,2011-01-31
71192,USD,2011,Q1,2011-07-01,2011-07-01,420300000.0,431700000.0,10787000000.0,-7994000000.0,2793000000.0,-2480000000.0,-2480000000.0,,,313000000.0,-11000000.0,-23000000.0,302000000,,302000000,-121000000.0,181000000,,155000000,155000000,BBY,2011-04-30
71192,USD,2011,Q2,2011-09-30,2011-09-30,413500000.0,423600000.0,11339000000.0,-8421000000.0,2918000000.0,-2507000000.0,-2507000000.0,,,411000000.0,-8000000.0,-21000000.0,403000000,0.0,403000000,-146000000.0,257000000,,254000000,254000000,BBY,2011-07-31
71192,USD,2011,Q3,2012-01-03,2012-01-03,397100000.0,407800000.0,11890000000.0,-8907000000.0,2983000000.0,-2598000000.0,-2598000000.0,,,385000000.0,-12000000.0,-20000000.0,373000000,0.0,373000000,-133000000.0,240000000,,217000000,217000000,BBY,2011-10-31
71192,USD,2011,Q4,2012-05-01,2013-03-27,393500000.0,402900000.0,15731000000.0,-11884000000.0,3847000000.0,-2444000000.0,-2444000000.0,,,1403000000.0,-12000000.0,-22000000.0,1391000000,-138000000.0,1253000000,-379000000.0,876000000,-188000000.0,651000000,651000000,BBY,2012-01-31
71192,USD,2012,Q1,2012-07-23,2012-07-23,391100000.0,400700000.0,11369000000.0,-8448000000.0,2921000000.0,-2457000000.0,-2457000000.0,,,464000000.0,-11000000.0,-28000000.0,453000000,-4000000.0,449000000,-155000000.0,293000000,-54000000.0,212000000,212000000,BBY,2012-04-30
71192,USD,2012,Q2,2012-09-30,2012-09-30,376000000.0,385600000.0,10856000000.0,-8094000000.0,2762000000.0,-2502000000.0,-2502000000.0,,,260000000.0,-25000000.0,-33000000.0,235000000,0.0,235000000,-87000000.0,148000000,-37000000.0,128000000,128000000,BBY,2012-07-31
71192,USD,2012,Q3,2012-12-31,2012-12-31,363400000.0,372400000.0,11145000000.0,-8292000000.0,2853000000.0,-2472000000.0,-2472000000.0,,,381000000.0,-37000000.0,-37000000.0,344000000,0.0,344000000,-122000000.0,220000000,-46000000.0,156000000,156000000,BBY,2012-10-31
71192,USD,2012,Q4,2013-04-05,2014-03-28,359500000.0,369300000.0,7941000000.0,-6569000000.0,1372000000.0,-555000000.0,-555000000.0,,,817000000.0,-5000000.0,-3000000.0,812000000,35000000.0,847000000,-294000000.0,556000000,-1257000000.0,-1921000000,-1921000000,BBY,2013-01-31
71192,USD,2013,Q1,2013-07-30,2013-07-30,342200000.0,342800000.0,10373000000.0,-7789000000.0,2584000000.0,-2193000000.0,-2193000000.0,,,391000000.0,-25000000.0,-28000000.0,366000000,-127000000.0,239000000,-70000000.0,169000000,-17000000.0,158000000,158000000,BBY,2013-04-30
71192,USD,2013,Q2,2013-07-31,2013-09-09,338200000.0,338600000.0,9339000000.0,-7078000000.0,2261000000.0,-2082000000.0,-2082000000.0,,,179000000.0,-24000000.0,-26000000.0,155000000,-91000000.0,64000000,-33000000.0,31000000,-38000000.0,12000000,12000000,BBY,2013-07-31
71192,USD,2013,Q3,2013-10-31,2013-12-09,337200000.0,337200000.0,9381000000.0,-7153000000.0,2228000000.0,-2192000000.0,-2192000000.0,,,36000000.0,-17000000.0,-27000000.0,19000000,-34000000.0,-15000000,6000000.0,-9000000,10000000.0,-10000000,-10000000,BBY,2013-10-31
71192,USD,2013,Q4,2014-01-31,2015-03-31,336800000.0,335800000.0,9159000000.0,-7209000000.0,1950000000.0,-1438000000.0,-1438000000.0,,,512000000.0,-20000000.0,-18000000.0,492000000,-776000000.0,-284000000,-166000000.0,-450000000,-116000000.0,-601000000,-601000000,BBY,2014-01-31
71192,USD,2014,Q1,2014-04-30,2014-06-09,339000000.0,341000000.0,9347000000.0,-7189000000.0,2158000000.0,-1984000000.0,-1984000000.0,,,174000000.0,-22000000.0,-27000000.0,152000000,-6000000.0,146000000,-49000000.0,97000000,-170000000.0,-81000000,-81000000,BBY,2014-04-30
71192,USD,2014,Q2,2014-07-31,2014-09-10,340400000.0,344400000.0,9266000000.0,-6808000000.0,2458000000.0,-2038000000.0,-2038000000.0,,,420000000.0,-21000000.0,-26000000.0,399000000,7000000.0,406000000,-169000000.0,237000000,11000000.0,266000000,266000000,BBY,2014-07-31
71192,USD,2014,Q3,2014-10-31,2014-12-05,342800000.0,348900000.0,9327000000.0,-7170000000.0,2157000000.0,-2036000000.0,-2036000000.0,,,121000000.0,-16000000.0,-24000000.0,105000000,-27000000.0,78000000,-34000000.0,44000000,10000000.0,54000000,54000000,BBY,2014-10-31
71192,USD,2014,Q4,2015-01-31,2017-03-24,346200000.0,356100000.0,12399000000.0,-10125000000.0,2274000000.0,-1534000000.0,-1534000000.0,,,740000000.0,-17000000.0,-13000000.0,723000000,34000000.0,757000000,111000000.0,868000000,138000000.0,994000000,994000000,BBY,2015-01-31
71192,USD,2015,Q1,2015-04-30,2015-06-08,347400000.0,350400000.0,8639000000.0,-6672000000.0,1967000000.0,-1755000000.0,-1755000000.0,,,212000000.0,-19000000.0,-23000000.0,193000000,-2000000.0,191000000,278000000.0,469000000,-8000000.0,461000000,461000000,BBY,2015-04-30
71192,USD,2015,Q2,2015-07-31,2015-09-04,349300000.0,352200000.0,8459000000.0,-6481000000.0,1978000000.0,-1748000000.0,-1748000000.0,,,230000000.0,-17000000.0,-23000000.0,213000000,-3000000.0,210000000,-73000000.0,137000000,10000000.0,146000000,146000000,BBY,2015-07-31
71192,USD,2015,Q3,2015-10-31,2015-12-04,350100000.0,354000000.0,9032000000.0,-6956000000.0,2076000000.0,-1866000000.0,-1866000000.0,,,210000000.0,-22000000.0,-22000000.0,188000000,0.0,188000000,-72000000.0,116000000,-9000000.0,107000000,107000000,BBY,2015-10-31
71192,USD,2015,Q4,2016-01-31,2018-04-02,351200000.0,357800000.0,13398000000.0,-10228000000.0,3170000000.0,-2249000000.0,-2249000000.0,,,921000000.0,-9000000.0,-12000000.0,912000000,-191000000.0,721000000,-636000000.0,85000000,97000000.0,183000000,183000000,BBY,2016-01-31
71192,USD,2016,Q1,2016-04-30,2017-06-05,352400000.0,357600000.0,8443000000.0,-6298000000.0,2145000000.0,-1744000000.0,-1744000000.0,,,401000000.0,-14000000.0,-20000000.0,387000000,-27000000.0,360000000,-134000000.0,226000000,3000000.0,229000000,229000000,BBY,2016-04-30
71192,USD,2016,Q2,2016-07-31,2017-09-05,349600000.0,353900000.0,8533000000.0,-6471000000.0,2062000000.0,-1773000000.0,-1773000000.0,,,289000000.0,-10000000.0,-18000000.0,279000000,0.0,279000000,-97000000.0,182000000,16000000.0,198000000,198000000,BBY,2016-07-31
71192,USD,2016,Q3,2016-10-31,2017-12-01,344700000.0,349000000.0,8945000000.0,-6742000000.0,2203000000.0,-1890000000.0,-1890000000.0,,,313000000.0,-8000000.0,-16000000.0,305000000,-1000000.0,304000000,-112000000.0,192000000,2000000.0,194000000,194000000,BBY,2016-10-31
71192,USD,2016,Q4,2017-01-31,2018-04-02,339300000.0,342300000.0,13482000000.0,-10452000000.0,3030000000.0,-2140000000.0,-2140000000.0,,,890000000.0,-9000000.0,-18000000.0,881000000,-8000000.0,873000000,-266000000.0,607000000,0.0,607000000,607000000,BBY,2017-01-31
71192,USD,2017,Q1,2017-04-30,2018-06-08,323600000.0,326700000.0,8528000000.0,-6506000000.0,2022000000.0,-1722000000.0,-1722000000.0,,,300000000.0,-8000000.0,-19000000.0,292000000,0.0,292000000,-104000000.0,188000000,,188000000,188000000,BBY,2017-04-30
71192,USD,2017,Q2,2017-07-31,2018-09-10,320800000.0,322900000.0,8940000000.0,-6787000000.0,2153000000.0,-1830000000.0,-1830000000.0,,,323000000.0,-11000000.0,-18000000.0,312000000,-2000000.0,310000000,-101000000.0,209000000,,209000000,209000000,BBY,2017-07-31
71192,USD,2017,Q3,2017-10-31,2017-12-01,316200000.0,320000000.0,9320000000.0,-7040000000.0,2280000000.0,-1932000000.0,-1932000000.0,,,348000000.0,-8000000.0,-20000000.0,340000000,2000000.0,342000000,-104000000.0,238000000,1000000.0,239000000,239000000,BBY,2017-10-31
71192,USD,2017,Q4,2018-01-31,2018-04-02,241000000.0,258800000.0,15363000000.0,-11942000000.0,3421000000.0,-2539000000.0,-2539000000.0,,,882000000.0,0.0,-18000000.0,882000000,-9000000.0,873000000,-509000000.0,364000000,0.0,364000000,364000000,BBY,2018-01-31
71192,USD,2018,Q1,2018-06-08,2018-06-08,282600000.0,288300000.0,9109000000.0,-6984000000.0,2125000000.0,-1830000000.0,-1830000000.0,,,295000000.0,-8000000.0,-19000000.0,287000000,-30000000.0,257000000,-49000000.0,208000000,,208000000,208000000,BBY,2018-04-30
71192,USD,2018,Q2,2018-09-10,2018-09-10,279000000.0,283700000.0,9379000000.0,-7150000000.0,2229000000.0,-1877000000.0,-1877000000.0,,,352000000.0,-6000000.0,-19000000.0,346000000,-17000000.0,329000000,-85000000.0,244000000,,244000000,244000000,BBY,2018-07-31
71192,USD,2018,Q3,2018-12-07,2018-12-07,274300000.0,279300000.0,9590000000.0,-7266000000.0,2324000000.0,-2002000000.0,-2002000000.0,,,322000000.0,-4000000.0,-15000000.0,318000000,12000000.0,330000000,-53000000.0,277000000,0.0,277000000,277000000,BBY,2018-10-31
71192,USD,2018,Q4,2019-03-28,2019-03-28,269700000.0,274300000.0,14801000000.0,-11518000000.0,3283000000.0,-2306000000.0,-2306000000.0,,,977000000.0,-6000000.0,-20000000.0,971000000,1000000.0,972000000,-237000000.0,735000000,0.0,735000000,735000000,BBY,2019-01-31
