SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
136608,USD,2009,Q3,2009-11-05,2010-11-08,65295000.0,65295000.0,44926000.0,-3827000.0,41099000.0,-78897000.0,-73430000.0,,-5467000.0,-37798000.0,-6318000.0,-10741000.0,-44116000,-2982000.0,-47098000,-10813000.0,-57798000,,-57798000,-57798000,BID,2009-09-30
136608,USD,2009,Q4,2010-03-01,2012-02-29,65376000.0,65376000.0,218283000.0,-19943000.0,198340000.0,-98277000.0,-92643000.0,,-5634000.0,100063000.0,-5443000.0,-10176000.0,94620000,-1147000.0,93473000,-19927000.0,73581000,,73581000,73581000,BID,2009-12-31
136608,USD,2010,Q1,2010-05-06,2011-05-09,65995000.0,65995000.0,101879000.0,-8659000.0,93220000.0,-85316000.0,-80945000.0,,-4371000.0,7904000.0,-11205000.0,-11266000.0,-3301000,,-3301000,916000.0,-2177000,,-2177000,-2177000,BID,2010-03-31
136608,USD,2010,Q2,2010-08-05,2011-09-02,66337000.0,67041000.0,281410000.0,-27686000.0,253724000.0,-114029000.0,-109948000.0,,-4081000.0,139695000.0,-12265000.0,-11332000.0,127430000,21000.0,127451000,-41248000.0,86239000,,86239000,86239000,BID,2010-06-30
136608,USD,2010,Q3,2010-11-08,2011-11-09,66377000.0,66377000.0,73060000.0,-19538000.0,53522000.0,-82817000.0,-78965000.0,,-3852000.0,-29295000.0,-9335000.0,-11451000.0,-38630000,148000.0,-38482000,18948000.0,-19361000,,-19361000,-19361000,BID,2010-09-30
136608,USD,2010,Q4,2011-02-28,2013-02-28,66563000.0,69875000.0,317960000.0,-29946000.0,288014000.0,-132374000.0,-128186000.0,,-4188000.0,155640000.0,-9323000.0,-11031000.0,146317000,-6406000.0,139911000,-43889000.0,96249000,,96249000,96249000,BID,2010-12-31
136608,USD,2011,Q1,2011-05-09,2012-05-10,66968000.0,69007000.0,119582000.0,-14862000.0,104720000.0,-93767000.0,-89666000.0,,-4101000.0,10953000.0,-7402000.0,-7798000.0,3551000,,3551000,-1031000.0,2421000,,2421000,2421000,BID,2011-03-31
136608,USD,2011,Q2,2011-09-02,2012-08-07,67405000.0,69491000.0,369795000.0,-34605000.0,335190000.0,-144299000.0,-140058000.0,,-4241000.0,190891000.0,-10777000.0,-10012000.0,180114000,-2226000.0,177888000,-50806000.0,127234000,,127234000,127234000,BID,2011-06-30
136608,USD,2011,Q3,2011-11-09,2012-11-08,67410000.0,67410000.0,58210000.0,-11095000.0,47115000.0,-90392000.0,-85931000.0,,-4461000.0,-43277000.0,-10886000.0,-9800000.0,-54163000,-3737000.0,-57900000,28206000.0,-29719000,,-29719000,-29719000,BID,2011-09-30
136608,USD,2011,Q4,2012-02-29,2014-02-27,67345000.0,69492000.0,284249000.0,-32683000.0,251566000.0,-133832000.0,-129031000.0,,-4801000.0,117734000.0,-9488000.0,-9886000.0,108246000,-396000.0,107850000,-36401000.0,71480000,,71480000,71480000,BID,2011-12-31
