SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
71079,USD,2009,Q3,2009-10-21,2010-10-26,288917000.0,291037000.0,1120518000.0,-93486000.0,1027032000.0,-642854000.0,-226755000.0,-304055000.0,-51347000.0,384178000.0,9360000.0,,393538000,,393538000,-113936000.0,279602000,,277663000,277663000,BIIB,2009-09-30
71079,USD,2009,Q4,2010-02-09,2012-02-03,284189000.0,286764000.0,1127057000.0,-99700000.0,1027357000.0,-643980000.0,-241620000.0,-283082000.0,-55982000.0,383377000.0,6366000.0,,389743000,,389743000,-83747000.0,305996000,,305637000,305637000,BIIB,2009-12-31
71079,USD,2010,Q1,2010-04-20,2011-04-21,269922000.0,272703000.0,1108860000.0,-97055000.0,1011805000.0,-668140000.0,-248664000.0,-307030000.0,-48889000.0,343665000.0,-8386000.0,,335279000,-39976000.0,295303000,-75310000.0,219993000,,217442000,217442000,BIIB,2010-03-31
71079,USD,2010,Q2,2010-07-20,2011-07-26,259938000.0,261658000.0,1212702000.0,-106985000.0,1105717000.0,-709837000.0,-262322000.0,-331675000.0,-53148000.0,395880000.0,1012000.0,,396892000,,396892000,-102243000.0,294649000,,293438000,293438000,BIIB,2010-06-30
71079,USD,2010,Q3,2010-10-26,2011-10-28,239864000.0,242313000.0,1175789000.0,-95918000.0,1079871000.0,-680736000.0,-244160000.0,-319054000.0,-53531000.0,399135000.0,-6945000.0,,392190000,-205000000.0,187190000,-75011000.0,112179000,,254115000,254115000,BIIB,2010-09-30
71079,USD,2010,Q4,2011-02-04,2013-02-05,239504000.0,242794000.0,1219072000.0,-100304000.0,1118768000.0,-688430000.0,-276394000.0,-290845000.0,-53360000.0,430338000.0,-4664000.0,,425674000,-75153000.0,350521000,-78769000.0,271752000,,240278000,240278000,BIIB,2010-12-31
71079,USD,2011,Q1,2011-04-21,2012-05-01,241536000.0,244551000.0,1203342000.0,-103113000.0,1100229000.0,-666159000.0,-244516000.0,-293633000.0,-53216000.0,434070000.0,9951000.0,,444021000,-17787000.0,426234000,-117468000.0,308766000,,294331000,294331000,BIIB,2011-03-31
71079,USD,2011,Q2,2011-07-26,2012-07-24,242375000.0,244966000.0,1208647000.0,-100503000.0,1108144000.0,-695131000.0,-266301000.0,-285644000.0,-55136000.0,413013000.0,-11728000.0,,401285000,-2200000.0,399085000,-95036000.0,304049000,,288034000,288034000,BIIB,2011-06-30
71079,USD,2011,Q3,2011-10-28,2012-10-25,242883000.0,245366000.0,1309934000.0,-123527000.0,1186407000.0,-693611000.0,-261398000.0,-301391000.0,-49347000.0,492796000.0,-7727000.0,,485069000,-4303000.0,480766000,-127104000.0,353662000,,351826000,351826000,BIIB,2011-09-30
71079,USD,2011,Q4,2012-02-03,2014-02-06,242786000.0,245249000.0,1326711000.0,-139637000.0,1187074000.0,-747171000.0,-283918000.0,-338934000.0,-50867000.0,439903000.0,-3973000.0,,435930000,-30801000.0,405129000,-104920000.0,300209000,,300237000,300237000,BIIB,2011-12-31
71079,USD,2012,Q1,2012-05-01,2013-04-25,239754000.0,241828000.0,1292014000.0,-133197000.0,1158817000.0,-787906000.0,-300089000.0,-355962000.0,-45961000.0,370911000.0,15144000.0,,386055000,-1541000.0,384514000,-82148000.0,302366000,,302661000,302661000,BIIB,2012-03-31
71079,USD,2012,Q2,2012-07-24,2013-07-25,238988000.0,240622000.0,1420951000.0,-139112000.0,1281839000.0,-762119000.0,-301767000.0,-329559000.0,-52282000.0,519720000.0,2950000.0,,522670000,-13997000.0,508673000,-121021000.0,387141000,,386846000,386846000,BIIB,2012-06-30
