SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
130356,USD,2010,Q2,2010-08-06,2011-08-04,27606000.0,28125000.0,467662000.0,-199354000.0,268308000.0,-200132000.0,-156270000.0,-43862000.0,,68176000.0,-12822000.0,-14325000.0,55354000,,55354000,-16833000.0,38521000,,37957000,37957000,BIO,2010-06-30
130356,USD,2010,Q3,2010-11-09,2011-11-03,27697000.0,28103000.0,471502000.0,-205172000.0,266330000.0,-191528000.0,-148654000.0,-42874000.0,,74802000.0,-16893000.0,-14400000.0,57909000,,57909000,-12824000.0,45085000,,44764000,44764000,BIO,2010-09-30
130356,USD,2010,Q4,2011-02-28,2013-03-18,27812000.0,28304000.0,533720000.0,-233997000.0,299723000.0,-221939000.0,-176672000.0,-45267000.0,,77784000.0,-20583000.0,-20548000.0,57201000,,57201000,10736000.0,67937000,,67908000,67908000,BIO,2010-12-31
130356,USD,2011,Q1,2011-05-06,2012-05-10,27904000.0,28389000.0,485121000.0,-207510000.0,277611000.0,-210493000.0,-167763000.0,-42730000.0,,67118000.0,-18857000.0,-16766000.0,48261000,,48261000,-15323000.0,32938000,,33039000,33039000,BIO,2011-03-31
130356,USD,2011,Q2,2011-08-04,2012-08-09,28014000.0,28495000.0,521656000.0,-228520000.0,293136000.0,-224950000.0,-176740000.0,-48210000.0,,68186000.0,-10367000.0,-12041000.0,57819000,,57819000,-17797000.0,40022000,,40048000,40048000,BIO,2011-06-30
130356,USD,2011,Q3,2011-11-03,2012-11-08,28072000.0,28456000.0,516514000.0,-220338000.0,296176000.0,-222254000.0,-176867000.0,-45387000.0,,73922000.0,-18149000.0,-12341000.0,55773000,,55773000,-9911000.0,45862000,,45897000,45897000,BIO,2011-09-30
130356,USD,2011,Q4,2012-02-29,2014-03-18,28134000.0,28532000.0,550238000.0,-238332000.0,311906000.0,-215891000.0,-174614000.0,-41277000.0,,96015000.0,-12021000.0,-11987000.0,83994000,,83994000,-24003000.0,59991000,,60029000,60029000,BIO,2011-12-31
130356,USD,2012,Q1,2012-05-10,2013-05-10,28201000.0,28553000.0,486277000.0,-207695000.0,278582000.0,-224216000.0,-171293000.0,-52923000.0,,54366000.0,-8187000.0,-13196000.0,46179000,,46179000,-15235000.0,30944000,,31005000,31005000,BIO,2012-03-31
130356,USD,2012,Q2,2012-08-09,2013-08-08,28250000.0,28610000.0,510422000.0,-222522000.0,287900000.0,-214592000.0,-162256000.0,-52336000.0,,73308000.0,-7289000.0,-12401000.0,66019000,,66019000,-17454000.0,48565000,,48343000,48343000,BIO,2012-06-30
130356,USD,2012,Q3,2012-11-08,2013-11-12,28312000.0,28645000.0,498697000.0,-224927000.0,273770000.0,-207929000.0,-160134000.0,-47795000.0,,65841000.0,-10838000.0,-11901000.0,55003000,,55003000,-12383000.0,42620000,,42633000,42633000,BIO,2012-09-30
130356,USD,2012,Q4,2013-03-18,2015-03-02,28397000.0,28760000.0,573839000.0,-258933000.0,314906000.0,-244245000.0,-188095000.0,-56150000.0,,70661000.0,-7955000.0,-13614000.0,62706000,,62706000,-19289000.0,43417000,,43496000,43496000,BIO,2012-12-31
130356,USD,2013,Q1,2013-05-10,2014-05-08,28494000.0,28817000.0,499672000.0,-228260000.0,271412000.0,-236260000.0,-185917000.0,-50343000.0,,35152000.0,-11105000.0,-10977000.0,24047000,,24047000,-3875000.0,20172000,,20151000,20151000,BIO,2013-03-31
130356,USD,2013,Q2,2013-08-08,2014-08-06,28538000.0,28868000.0,525321000.0,-225220000.0,300101000.0,-247172000.0,-195331000.0,-51841000.0,,52929000.0,-3885000.0,-11664000.0,49044000,,49044000,-14442000.0,34602000,,34602000,34602000,BIO,2013-06-30
130356,USD,2013,Q3,2013-11-12,2014-11-07,28603000.0,28603000.0,505066000.0,-220850000.0,284216000.0,-255158000.0,-202238000.0,-52920000.0,,29058000.0,-34274000.0,-31611000.0,-5216000,,-5216000,-1883000.0,-7099000,,-7099000,-7099000,BIO,2013-09-30
130356,USD,2013,Q4,2014-03-18,2016-02-29,28709000.0,29336000.0,602635000.0,-279886000.0,322749000.0,-270432000.0,-214584000.0,-55848000.0,,52317000.0,-7807000.0,-7019000.0,44510000,,44510000,-14374000.0,30136000,,30136000,30136000,BIO,2013-12-31
130356,USD,2014,Q1,2014-05-08,2015-05-06,28791000.0,29059000.0,509344000.0,-234055000.0,275289000.0,-254818000.0,-202275000.0,-52543000.0,,20471000.0,-5933000.0,-3857000.0,14538000,,14538000,-7870000.0,6668000,,6668000,6668000,BIO,2014-03-31
130356,USD,2014,Q2,2014-08-06,2015-08-07,28826000.0,29092000.0,536832000.0,-239590000.0,297242000.0,-251555000.0,-195838000.0,-55717000.0,,45687000.0,3110000.0,-5564000.0,48797000,,48797000,-17166000.0,31631000,,31631000,31631000,BIO,2014-06-30
130356,USD,2014,Q3,2014-11-07,2015-11-05,28884000.0,29141000.0,530644000.0,-242068000.0,288576000.0,-255336000.0,-202550000.0,-52786000.0,,33240000.0,-10764000.0,-7710000.0,22476000,,22476000,-10967000.0,11509000,,11509000,11509000,BIO,2014-09-30
130356,USD,2014,Q4,2015-03-02,2017-03-01,29003000.0,29240000.0,598224000.0,-280814000.0,317410000.0,-266824000.0,-207537000.0,-59287000.0,,50586000.0,-4840000.0,-5000000.0,45746000,0.0,45746000,-6709000.0,39037000,,39037000,39037000,BIO,2014-12-31
130356,USD,2015,Q1,2015-05-06,2016-05-06,29092000.0,29289000.0,472821000.0,-202715000.0,270106000.0,-235757000.0,-188555000.0,-47202000.0,,34349000.0,-7655000.0,-5002000.0,26694000,,26694000,-8876000.0,17818000,,17818000,17818000,BIO,2015-03-31
130356,USD,2015,Q2,2015-08-07,2016-08-05,29136000.0,29381000.0,506102000.0,-226505000.0,279597000.0,-239392000.0,-192845000.0,-46547000.0,,40205000.0,-665000.0,-4834000.0,39540000,,39540000,-11117000.0,28423000,,28423000,28423000,BIO,2015-06-30
130356,USD,2015,Q3,2015-11-05,2016-11-02,29195000.0,29439000.0,469961000.0,-206509000.0,263452000.0,-230781000.0,-187445000.0,-43336000.0,,32671000.0,-7256000.0,-5822000.0,25415000,,25415000,-8045000.0,17370000,,17370000,17370000,BIO,2015-09-30
