SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
914,USD,2010,Q2,2010-08-06,2011-08-08,190975161.0,192569539.0,2032000000.0,,2032000000.0,-1335000000.0,-1171000000.0,,-67000000.0,697000000.0,-75000000.0,-33000000.0,622000000,,622000000,-233000000.0,389000000,,432000000,432000000,BLK,2010-06-30
914,USD,2010,Q3,2010-11-06,2011-11-09,190494905.0,192326841.0,2092000000.0,,2092000000.0,-1385000000.0,-1214000000.0,,-66000000.0,707000000.0,78000000.0,-27000000.0,785000000,,785000000,-201000000.0,584000000,,551000000,551000000,BLK,2010-09-30
914,USD,2010,Q4,2011-02-08,2013-03-01,191071951.0,193719557.0,2493000000.0,,2493000000.0,-1553000000.0,-1756000000.0,,-63000000.0,940000000.0,19000000.0,-25000000.0,959000000,,959000000,-309000000.0,650000000,,658000000,658000000,BLK,2010-12-31
914,USD,2011,Q1,2011-03-31,2012-05-09,191797365.0,194296504.0,2282000000.0,,2282000000.0,-1484000000.0,-1422000000.0,,-62000000.0,798000000.0,15000000.0,-29000000.0,813000000,,813000000,-249000000.0,564000000,,568000000,568000000,BLK,2011-03-31
914,USD,2011,Q2,2011-08-08,2012-08-08,187870001.0,190579963.0,2347000000.0,,2347000000.0,-1481000000.0,-1422000000.0,,-59000000.0,866000000.0,-24000000.0,-37000000.0,842000000,,842000000,-220000000.0,622000000,,619000000,619000000,BLK,2011-06-30
914,USD,2011,Q3,2011-11-08,2012-11-08,179034837.0,181825329.0,2225000000.0,,2225000000.0,-1448000000.0,-1389000000.0,,-59000000.0,777000000.0,-112000000.0,-37000000.0,665000000,,665000000,-95000000.0,570000000,,595000000,595000000,BLK,2011-09-30
914,USD,2011,Q4,2012-02-09,2014-02-28,178359265.0,181763844.0,2227000000.0,,2227000000.0,-1387000000.0,-1330000000.0,,-57000000.0,840000000.0,7000000.0,-39000000.0,847000000,-32000000.0,815000000,-232000000.0,583000000,,555000000,555000000,BLK,2011-12-31
914,USD,2012,Q1,2012-03-31,2013-05-09,179022840.0,181917864.0,2249000000.0,,2249000000.0,-1434000000.0,-1379000000.0,,-55000000.0,815000000.0,23000000.0,-40000000.0,838000000,,838000000,-263000000.0,575000000,,572000000,572000000,BLK,2012-03-31
914,USD,2012,Q2,2012-08-08,2013-08-08,177010239.0,179590702.0,2229000000.0,,2229000000.0,-1400000000.0,-1347000000.0,,-53000000.0,829000000.0,-40000000.0,-44000000.0,789000000,,789000000,-229000000.0,560000000,,554000000,554000000,BLK,2012-06-30
914,USD,2012,Q3,2012-11-08,2013-11-08,172359141.0,175450532.0,2320000000.0,,2320000000.0,-1445000000.0,-1393000000.0,,-52000000.0,875000000.0,30000000.0,-47000000.0,905000000,,905000000,-250000000.0,655000000,,642000000,642000000,BLK,2012-09-30
914,USD,2012,Q4,2013-02-08,2015-02-27,171451852.0,175111618.0,2539000000.0,,2539000000.0,-1534000000.0,-1482000000.0,,-52000000.0,1005000000.0,-67000000.0,-48000000.0,938000000,,938000000,-288000000.0,650000000,,690000000,690000000,BLK,2012-12-31
914,USD,2013,Q1,2013-03-31,2014-05-09,171301800.0,174561132.0,2449000000.0,,2449000000.0,-1540000000.0,-1488000000.0,,-52000000.0,909000000.0,41000000.0,-48000000.0,950000000,,950000000,-284000000.0,666000000,,632000000,632000000,BLK,2013-03-31
914,USD,2013,Q2,2013-08-08,2014-08-08,170648731.0,173873583.0,2482000000.0,,2482000000.0,-1633000000.0,-1581000000.0,,-52000000.0,849000000.0,69000000.0,-49000000.0,918000000,,918000000,-212000000.0,706000000,,729000000,729000000,BLK,2013-06-30
914,USD,2013,Q3,2013-11-08,2014-11-07,169811633.0,173371508.0,2472000000.0,,2472000000.0,-1506000000.0,-1452000000.0,,-54000000.0,966000000.0,-18000000.0,-44000000.0,948000000,,948000000,-219000000.0,729000000,,730000000,730000000,BLK,2013-09-30
914,USD,2013,Q4,2014-02-08,2016-02-26,168981316.0,173509385.0,2777000000.0,,2777000000.0,-1644000000.0,-1589000000.0,,-55000000.0,1133000000.0,24000000.0,-48000000.0,1157000000,,1157000000,-307000000.0,850000000,,841000000,841000000,BLK,2013-12-31
914,USD,2014,Q1,2014-03-31,2015-05-08,169081421.0,171933803.0,2670000000.0,,2670000000.0,-1619000000.0,-1563000000.0,,-56000000.0,1051000000.0,17000000.0,-43000000.0,1068000000,,1068000000,-324000000.0,744000000,,756000000,756000000,BLK,2014-03-31
914,USD,2014,Q2,2014-08-08,2015-08-07,168712221.0,171150153.0,2778000000.0,,2778000000.0,-1656000000.0,-1601000000.0,,-55000000.0,1122000000.0,16000000.0,-57000000.0,1138000000,,1138000000,-297000000.0,841000000,,808000000,808000000,BLK,2014-06-30
914,USD,2014,Q3,2014-11-07,2015-11-06,167933040.0,170778766.0,2849000000.0,,2849000000.0,-1692000000.0,-1638000000.0,,-54000000.0,1157000000.0,-52000000.0,-51000000.0,1105000000,,1105000000,-232000000.0,873000000,,917000000,917000000,BLK,2014-09-30
914,USD,2014,Q4,2015-02-07,2017-02-28,167173934.0,170586322.0,2784000000.0,,2784000000.0,-1640000000.0,-1592000000.0,,-48000000.0,1144000000.0,-60000000.0,-52000000.0,1084000000,0.0,1084000000,-278000000.0,806000000,,813000000,813000000,BLK,2014-12-31
914,USD,2015,Q1,2015-03-31,2016-05-10,167089037.0,169723167.0,2723000000.0,,2723000000.0,-1656000000.0,-1608000000.0,,-48000000.0,1067000000.0,16000000.0,-47000000.0,1083000000,,1083000000,-258000000.0,825000000,,822000000,822000000,BLK,2015-03-31
914,USD,2015,Q2,2015-08-07,2016-08-08,166616558.0,169114759.0,2905000000.0,,2905000000.0,-1667000000.0,-1620000000.0,,-47000000.0,1238000000.0,-41000000.0,-47000000.0,1197000000,,1197000000,-371000000.0,826000000,,819000000,819000000,BLK,2015-06-30
914,USD,2015,Q3,2015-11-06,2016-11-08,166045291.0,168665303.0,2910000000.0,,2910000000.0,-1688000000.0,-1642000000.0,,-46000000.0,1222000000.0,-48000000.0,-38000000.0,1174000000,,1174000000,-342000000.0,832000000,,843000000,843000000,BLK,2015-09-30
914,USD,2015,Q4,2016-02-06,2017-02-28,165809150.0,168651055.0,2863000000.0,,2863000000.0,-1726000000.0,-1691000000.0,,-35000000.0,1137000000.0,11000000.0,-46000000.0,1148000000,0.0,1148000000,-279000000.0,869000000,,861000000,861000000,BLK,2015-12-31
914,USD,2016,Q1,2016-03-31,2016-03-31,165388130.0,167398938.0,2624000000.0,,2624000000.0,-1585000000.0,-1550000000.0,,-35000000.0,1039000000.0,-48000000.0,-46000000.0,991000000,-76000000.0,915000000,-268000000.0,647000000,,657000000,657000000,BLK,2016-03-31
914,USD,2016,Q2,2016-08-08,2016-08-08,164758612.0,166639290.0,2804000000.0,,2804000000.0,-1631000000.0,-1597000000.0,,-34000000.0,1173000000.0,-25000000.0,-45000000.0,1148000000,,1148000000,-353000000.0,795000000,,789000000,789000000,BLK,2016-06-30
914,USD,2016,Q3,2016-11-08,2016-11-08,164129214.0,166256598.0,2837000000.0,,2837000000.0,-1628000000.0,-1595000000.0,,-33000000.0,1209000000.0,1000000.0,-30000000.0,1210000000,,1210000000,-333000000.0,877000000,,875000000,875000000,BLK,2016-09-30
914,USD,2016,Q4,2017-02-08,2017-02-28,163427476.0,166024182.0,2890000000.0,,2890000000.0,-1665000000.0,-1634000000.0,,-31000000.0,1225000000.0,-38000000.0,-44000000.0,1187000000,0.0,1187000000,-336000000.0,851000000,,851000000,851000000,BLK,2016-12-31
914,USD,2017,Q1,2017-03-31,2017-05-09,163016599.0,164856183.0,2824000000.0,,2824000000.0,-1677000000.0,-1647000000.0,,-30000000.0,1147000000.0,-7000000.0,-58000000.0,1140000000,,1140000000,-269000000.0,871000000,,862000000,862000000,BLK,2017-03-31
914,USD,2017,Q2,2017-08-08,2017-08-08,162502465.0,164149861.0,2965000000.0,,2965000000.0,-1723000000.0,-1694000000.0,,-29000000.0,1242000000.0,1000000.0,-35000000.0,1243000000,,1243000000,-376000000.0,867000000,,857000000,857000000,BLK,2017-06-30
914,USD,2017,Q3,2017-11-08,2017-11-08,161872716.0,163773546.0,3233000000.0,,3233000000.0,-1839000000.0,-1808000000.0,,-31000000.0,1394000000.0,10000000.0,-31000000.0,1404000000,,1404000000,-445000000.0,959000000,,947000000,947000000,BLK,2017-09-30
