SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
200557,USD,2011,Q2,2011-09-07,2012-09-05,18109681.0,18109681.0,609270000.0,-373918000.0,235352000.0,-246007000.0,-219786000.0,,-26221000.0,-10655000.0,-22762000.0,-22762000.0,-33417000,-1194000.0,-34611000,2311000.0,-32300000,,-32300000,-32300000,BONT,2011-07-31
200557,USD,2011,Q3,2011-12-07,2012-12-05,18151401.0,18151401.0,670568000.0,-410703000.0,259865000.0,-258127000.0,-234856000.0,,-23271000.0,1738000.0,-21938000.0,-21938000.0,-20200000,-1195000.0,-21395000,-640000.0,-22035000,,-22035000,-22035000,BONT,2011-10-31
200557,USD,2011,Q4,2012-04-11,2014-04-16,18160472.0,18160472.0,1009211000.0,-643481000.0,365730000.0,-280407000.0,-259379000.0,,-21028000.0,85323000.0,-21502000.0,-21502000.0,63821000,13326000.0,77147000,1048000.0,78195000,,78195000,78195000,BONT,2012-01-31
200557,USD,2012,Q1,2012-06-06,2013-06-13,18287395.0,18287395.0,654297000.0,-421216000.0,233081000.0,-250427000.0,-228240000.0,,-22187000.0,-17346000.0,-20573000.0,-20573000.0,-37919000,-2352000.0,-40271000,-509000.0,-40780000,,-40780000,-40780000,BONT,2012-04-30
200557,USD,2012,Q2,2012-09-05,2013-09-11,18519973.0,18519973.0,607260000.0,-380716000.0,226544000.0,-242860000.0,-219435000.0,,-23425000.0,-16316000.0,-20706000.0,-20706000.0,-37022000,-7598000.0,-44620000,-419000.0,-45039000,,-45039000,-45039000,BONT,2012-07-31
200557,USD,2012,Q3,2012-12-05,2013-12-11,18606243.0,18606243.0,683120000.0,-424219000.0,258901000.0,-246327000.0,-224846000.0,,-21481000.0,12574000.0,-19995000.0,-19995000.0,-7421000,-2378000.0,-9799000,-349000.0,-10148000,,-10148000,-10148000,BONT,2012-10-31
200557,USD,2012,Q4,2013-04-17,2015-04-15,18699065.0,18699065.0,1034159000.0,-647739000.0,386420000.0,-284837000.0,-263654000.0,,-21183000.0,101583000.0,-21565000.0,-21565000.0,80018000,-6653000.0,73365000,1049000.0,74414000,,74414000,74414000,BONT,2013-01-31
200557,USD,2013,Q1,2013-06-13,2014-06-11,18843072.0,18843072.0,661883000.0,-421588000.0,240295000.0,-246276000.0,-225096000.0,,-21180000.0,-5981000.0,-18708000.0,-18708000.0,-24689000,-1496000.0,-26185000,-450000.0,-26635000,,-26635000,-26635000,BONT,2013-04-30
200557,USD,2013,Q2,2013-09-11,2014-09-10,19154714.0,19154714.0,570985000.0,-351008000.0,219977000.0,-234172000.0,-211253000.0,,-22919000.0,-14195000.0,-17547000.0,-17547000.0,-31742000,-5183000.0,-36925000,-404000.0,-37329000,,-37329000,-37329000,BONT,2013-07-31
200557,USD,2013,Q3,2013-12-11,2014-12-10,19202416.0,19202416.0,666573000.0,-412932000.0,253641000.0,-236353000.0,-215204000.0,,-21149000.0,17288000.0,-16492000.0,-16492000.0,796000,-1458000.0,-662000,-269000.0,-931000,,-931000,-931000,BONT,2013-10-31
200557,USD,2013,Q4,2014-04-16,2016-04-13,19206766.0,19206766.0,934619000.0,-583144000.0,351475000.0,-268434000.0,-247810000.0,,-20624000.0,83041000.0,-15840000.0,-15840000.0,67201000,-7069000.0,60132000,1207000.0,61339000,,61339000,61339000,BONT,2014-01-31
200557,USD,2014,Q1,2014-06-11,2015-06-10,19281718.0,19281718.0,622533000.0,-393110000.0,229423000.0,-243881000.0,-222319000.0,,-21562000.0,-14458000.0,-15271000.0,-15271000.0,-29729000,-1335000.0,-31064000,-448000.0,-31512000,,-31512000,-31512000,BONT,2014-04-30
200557,USD,2014,Q2,2014-09-10,2015-09-09,19426824.0,19426824.0,578137000.0,-357252000.0,220885000.0,-239850000.0,-215807000.0,,-24043000.0,-18965000.0,-15447000.0,-15447000.0,-34412000,-1333000.0,-35745000,-447000.0,-36192000,,-36192000,-36192000,BONT,2014-07-31
200557,USD,2014,Q3,2014-12-10,2015-12-09,19470674.0,19470674.0,658757000.0,-409484000.0,249273000.0,-242974000.0,-220901000.0,,-22073000.0,6299000.0,-15506000.0,-15506000.0,-9207000,-1374000.0,-10581000,-427000.0,-11008000,,-11008000,-11008000,BONT,2014-10-31
200557,USD,2014,Q4,2015-04-15,2017-04-12,19491508.0,19491508.0,963469000.0,-613107000.0,350362000.0,-270449000.0,-248009000.0,,-22440000.0,79913000.0,-15512000.0,-15512000.0,64401000,7634000.0,72035000,-297000.0,71738000,,71738000,71738000,BONT,2015-01-31
200557,USD,2015,Q1,2015-06-10,2016-06-08,19561610.0,19561610.0,627242000.0,-404465000.0,222777000.0,-240719000.0,-218686000.0,,-22033000.0,-17942000.0,-15190000.0,-15190000.0,-33132000,-1101000.0,-34233000,159000.0,-34074000,,-34074000,-34074000,BONT,2015-04-30
