SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
33021,USD,2011,Q3,2011-08-31,2012-08-17,9289000.0,9289000.0,26611000.0,-18412000.0,8199000.0,-8782000.0,-8782000.0,,,-583000.0,,,-583000,,-583000,106000.0,-477000,,-477000,-477000,BRID,2011-08-31
33021,USD,2011,Q4,2012-01-17,2013-01-18,9180060.0,9180060.0,37665000.0,-26604000.0,11061000.0,-12215000.0,-12215000.0,,,-1154000.0,,,-1154000,,-1154000,166000.0,-988000,,-988000,-988000,BRID,2011-11-30
33021,USD,2012,Q1,2012-03-02,2013-03-08,9195000.0,9195000.0,29715000.0,-21152000.0,8563000.0,-8841000.0,-8841000.0,,,-278000.0,,,-278000,,-278000,,-278000,,-278000,-278000,BRID,2012-02-29
33021,USD,2012,Q2,2012-05-31,2013-05-31,9188000.0,9188000.0,27313000.0,-17572000.0,9741000.0,-8701000.0,-8701000.0,,,1040000.0,,,1040000,,1040000,,1040000,,1040000,1040000,BRID,2012-05-31
33021,USD,2012,Q3,2012-08-31,2013-08-23,9180000.0,9180000.0,27862000.0,-17661000.0,10201000.0,-9340000.0,-9340000.0,,,861000.0,,,861000,,861000,,861000,,861000,861000,BRID,2012-08-31
33021,USD,2012,Q4,2013-01-18,2014-01-17,9167952.0,9167952.0,42465000.0,-26674000.0,15791000.0,-13398000.0,-13398000.0,,,2393000.0,,,2393000,,2393000,-365000.0,2028000,,2028000,2028000,BRID,2012-11-30
33021,USD,2013,Q1,2013-03-08,2014-03-07,9158000.0,9158000.0,30771000.0,-18738000.0,12033000.0,-10139000.0,-10139000.0,,,1894000.0,,,1894000,,1894000,-172000.0,1722000,,1722000,1722000,BRID,2013-02-28
33021,USD,2013,Q2,2013-05-31,2014-05-30,9156000.0,9156000.0,28584000.0,-18807000.0,9777000.0,-9655000.0,-9655000.0,,,122000.0,,,122000,,122000,-11000.0,111000,,111000,111000,BRID,2013-05-31
33021,USD,2013,Q3,2013-08-31,2014-08-25,9154000.0,9154000.0,29294000.0,-19809000.0,9485000.0,-9480000.0,-9480000.0,,,5000.0,,,5000,,5000,-24000.0,-19000,,-19000,-19000,BRID,2013-08-31
33021,USD,2013,Q4,2014-01-17,2015-01-16,9139756.0,9139756.0,40354000.0,-26212000.0,14142000.0,-13078000.0,-13078000.0,,,1064000.0,,,1064000,,1064000,38000.0,1102000,,1102000,1102000,BRID,2013-11-30
33021,USD,2014,Q1,2014-03-07,2015-03-06,9132000.0,9132000.0,32466000.0,-22198000.0,10268000.0,-10021000.0,-10021000.0,,,247000.0,,,247000,,247000,-13000.0,234000,,234000,234000,BRID,2014-02-28
33021,USD,2014,Q2,2014-05-31,2015-05-29,9127000.0,9127000.0,31243000.0,-22308000.0,8935000.0,-10215000.0,-10215000.0,,,-1280000.0,,,-1280000,,-1280000,0.0,-1280000,,-1280000,-1280000,BRID,2014-05-31
33021,USD,2014,Q3,2014-08-31,2015-08-21,9121000.0,9121000.0,27915000.0,-20486000.0,7429000.0,-9812000.0,-9812000.0,,,-2383000.0,,,-2383000,,-2383000,0.0,-2383000,,-2383000,-2383000,BRID,2014-08-31
33021,USD,2014,Q4,2015-01-16,2016-01-15,9114372.0,9114372.0,41777000.0,-29752000.0,12025000.0,-13041000.0,-13041000.0,,,-1016000.0,,,-1016000,,-1016000,101000.0,-915000,,-915000,-915000,BRID,2014-11-30
33021,USD,2015,Q1,2015-03-06,2016-03-04,9113000.0,9113000.0,34712000.0,-25095000.0,9617000.0,-9150000.0,-9150000.0,,,467000.0,,,467000,,467000,0.0,467000,,467000,467000,BRID,2015-02-28
