SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
914354,USD,2011,Q2,2011-08-08,2012-08-07,117502610.0,118353937.0,752352000.0,-587741000.0,164611000.0,-119646000.0,-97078000.0,-22568000.0,,44965000.0,21814000.0,-992000.0,66779000,-89000.0,66690000,-20349000.0,46341000,,46209000,46209000,BWXT,2011-06-30
914354,USD,2011,Q3,2011-11-07,2012-11-07,117773223.0,118590285.0,707622000.0,-535662000.0,171960000.0,-136644000.0,-102002000.0,-34642000.0,,35316000.0,24967000.0,-523000.0,60283000,-547000.0,59736000,-19831000.0,39905000,,45663000,45663000,BWXT,2011-09-30
914354,USD,2011,Q4,2012-03-29,2014-02-26,117998268.0,118716921.0,800789000.0,-695945000.0,104844000.0,-177726000.0,-145848000.0,-31878000.0,,-72882000.0,18330000.0,-1690000.0,-54552000,3713000.0,-50839000,21544000.0,-29295000,,-27063000,-27063000,BWXT,2011-12-31
914354,USD,2012,Q1,2012-05-09,2013-05-07,118255346.0,118859141.0,765892000.0,-563888000.0,202004000.0,-133201000.0,-104165000.0,-29036000.0,,68803000.0,15901000.0,-390000.0,84704000,260000.0,84964000,-27895000.0,57069000,,59951000,59951000,BWXT,2012-03-31
914354,USD,2012,Q2,2012-08-07,2013-08-07,118648459.0,119257911.0,852585000.0,-619547000.0,233038000.0,-140271000.0,-106121000.0,-34150000.0,,92767000.0,20404000.0,-648000.0,113171000,622000.0,113793000,-39457000.0,74336000,,77230000,77230000,BWXT,2012-06-30
914354,USD,2012,Q3,2012-11-07,2013-11-12,118843829.0,119452881.0,807586000.0,-603876000.0,203710000.0,-131236000.0,-103343000.0,-27893000.0,,72474000.0,-13339000.0,-579000.0,59135000,-2620000.0,56515000,-7259000.0,49256000,,51443000,51443000,BWXT,2012-09-30
914354,USD,2012,Q4,2013-02-28,2015-02-26,117928086.0,118515363.0,865296000.0,-673894000.0,191402000.0,-144147000.0,-114664000.0,-29483000.0,,47255000.0,16572000.0,-627000.0,63827000,319000.0,64146000,-27250000.0,36896000,,39071000,39071000,BWXT,2012-12-31
914354,USD,2013,Q1,2013-05-07,2014-05-12,114097313.0,114737154.0,805423000.0,-619697000.0,185726000.0,-131946000.0,-103600000.0,-28346000.0,,53780000.0,15707000.0,-486000.0,69487000,-8354000.0,61133000,-16257000.0,44876000,,47174000,47174000,BWXT,2013-03-31
914354,USD,2013,Q2,2013-08-07,2014-08-06,111898819.0,112662563.0,886136000.0,-686043000.0,200093000.0,-107774000.0,-106937000.0,-837000.0,,92319000.0,19314000.0,-466000.0,111633000,-12388000.0,99245000,-29544000.0,69701000,,72870000,72870000,BWXT,2013-06-30
914354,USD,2013,Q3,2013-11-12,2014-11-05,110931376.0,111749381.0,774834000.0,-578394000.0,196440000.0,-126363000.0,-102576000.0,-23787000.0,,70077000.0,17467000.0,-151000.0,87544000,-6107000.0,81437000,-24416000.0,57021000,,60446000,60446000,BWXT,2013-09-30
