SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
817638,USD,2010,Q2,2010-08-05,2011-08-05,59238000.0,60863000.0,418909000.0,-238790000.0,180119000.0,-142824000.0,-23766000.0,,-18026000.0,37295000.0,-10339000.0,-10339000.0,26956000,,26956000,-7727000.0,19229000,,19229000,19229000,CAKE,2010-06-30
817638,USD,2010,Q3,2010-11-04,2011-11-04,58427000.0,59743000.0,418352000.0,-239341000.0,179011000.0,-147602000.0,-23957000.0,,-17902000.0,31409000.0,-2119000.0,-2119000.0,29290000,,29290000,-7337000.0,21953000,,21953000,21953000,CAKE,2010-09-30
817638,USD,2010,Q4,2011-02-23,2013-02-28,58449000.0,60367000.0,416710000.0,-237906000.0,178804000.0,-147974000.0,-24582000.0,,-18057000.0,30830000.0,-2152000.0,-2152000.0,28678000,,28678000,-6813000.0,21865000,,21865000,21865000,CAKE,2010-12-31
817638,USD,2011,Q1,2011-05-06,2012-05-11,58480000.0,60499000.0,418765000.0,-242162000.0,176603000.0,-146752000.0,-24265000.0,,-17453000.0,29851000.0,-1402000.0,-1402000.0,28449000,,28449000,-7993000.0,20456000,,20456000,20456000,CAKE,2011-03-31
817638,USD,2011,Q2,2011-08-05,2012-08-10,56554000.0,58595000.0,430746000.0,-249393000.0,181353000.0,-146191000.0,-24208000.0,,-17483000.0,35162000.0,-1094000.0,-1094000.0,34068000,,34068000,-9320000.0,24748000,,24748000,24748000,CAKE,2011-06-30
817638,USD,2011,Q3,2011-11-04,2012-11-09,55661000.0,57439000.0,430417000.0,-248359000.0,182058000.0,-151804000.0,-23442000.0,,-17588000.0,30254000.0,-1201000.0,-1201000.0,29053000,,29053000,-8479000.0,20574000,,20574000,20574000,CAKE,2011-09-30
817638,USD,2011,Q4,2012-02-29,2014-02-27,54817000.0,56227000.0,477696000.0,-275912000.0,201784000.0,-162054000.0,-24348000.0,,-19434000.0,39730000.0,-610000.0,-610000.0,39120000,-1547000.0,37573000,-7631000.0,29942000,,29942000,29942000,CAKE,2011-12-31
817638,USD,2012,Q1,2012-05-11,2013-05-10,53680000.0,55699000.0,435754000.0,-250578000.0,185176000.0,-154957000.0,-28665000.0,,-18298000.0,30219000.0,-1148000.0,-1148000.0,29071000,,29071000,-8349000.0,20722000,,20722000,20722000,CAKE,2012-03-31
817638,USD,2012,Q2,2012-08-10,2013-08-09,53155000.0,55091000.0,454749000.0,-257105000.0,197644000.0,-156674000.0,-26278000.0,,-18509000.0,40970000.0,-838000.0,-838000.0,40132000,,40132000,-11733000.0,28399000,,28399000,28399000,CAKE,2012-06-30
817638,USD,2012,Q3,2012-11-09,2013-11-08,52958000.0,55126000.0,453819000.0,-257250000.0,196569000.0,-157245000.0,-22450000.0,,-18733000.0,39324000.0,-1710000.0,-1710000.0,37614000,,37614000,-10451000.0,27163000,,27163000,27163000,CAKE,2012-09-30
