SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
144735,USD,2011,Q4,2012-01-29,2014-03-12,24556000.0,23744000.0,26634000.0,-13587000.0,13047000.0,-19056000.0,-18313000.0,-743000.0,,-6009000.0,569000.0,-119000.0,-5440000,769000.0,-4671000,14000.0,-4657000,,-4657000,-5612000,CALL,2011-12-31
144735,USD,2012,Q1,2012-05-04,2013-05-09,21092000.0,21240000.0,37587000.0,-15560000.0,22027000.0,-16196000.0,-15538000.0,-658000.0,,5831000.0,142000.0,-119000.0,5973000,2253000.0,8226000,-30000.0,8196000,,8196000,8196000,CALL,2012-03-31
144735,USD,2012,Q2,2012-08-08,2013-08-09,20211000.0,20586000.0,38559000.0,-15059000.0,23500000.0,-13182000.0,-12612000.0,-570000.0,,10318000.0,107000.0,-105000.0,10425000,-136000.0,10289000,-19000.0,10270000,,10270000,10270000,CALL,2012-06-30
144735,USD,2012,Q3,2012-10-29,2013-11-12,19407000.0,19507000.0,40789000.0,-16746000.0,24043000.0,-12857000.0,-12265000.0,-592000.0,,11186000.0,2000.0,-94000.0,11188000,3957000.0,15145000,-29000.0,15116000,,15116000,15116000,CALL,2012-09-30
144735,USD,2012,Q4,2013-04-30,2015-03-16,18954000.0,18607000.0,41427000.0,-13960000.0,27467000.0,-11237000.0,-10463000.0,-774000.0,,16230000.0,162000.0,-93000.0,16392000,-3162000.0,13230000,9039000.0,22269000,,22269000,22269000,CALL,2012-12-31
144735,USD,2013,Q1,2013-05-09,2014-05-12,18685000.0,18694000.0,36877000.0,-11143000.0,25734000.0,-10494000.0,-9632000.0,-862000.0,,15240000.0,64000.0,-93000.0,15304000,-520000.0,14784000,-5198000.0,9586000,,9586000,9586000,CALL,2013-03-31
144735,USD,2013,Q2,2013-08-09,2014-08-11,18552000.0,18560000.0,32902000.0,-12056000.0,20846000.0,-11207000.0,-9433000.0,-1774000.0,,9639000.0,-10000.0,-84000.0,9629000,195000.0,9824000,-3316000.0,6508000,,6508000,6508000,CALL,2013-06-30
144735,USD,2013,Q3,2013-11-12,2014-11-10,18552000.0,18560000.0,35533000.0,-12134000.0,23399000.0,-10748000.0,-9758000.0,-990000.0,,12651000.0,-5000.0,-65000.0,12646000,0.0,12646000,-3743000.0,8903000,,8903000,8903000,CALL,2013-09-30
144735,USD,2013,Q4,2014-03-12,2016-03-15,18083000.0,18090000.0,38180000.0,-13761000.0,24419000.0,-14503000.0,-12468000.0,-2035000.0,,9916000.0,-22000.0,-65000.0,9894000,0.0,9894000,35420000.0,45314000,,45314000,45314000,CALL,2013-12-31
144735,USD,2014,Q1,2014-05-12,2015-05-11,17827000.0,17830000.0,35313000.0,-13022000.0,22291000.0,-14690000.0,-12946000.0,-1744000.0,,7601000.0,-18000.0,-65000.0,7583000,,7583000,-2264000.0,5319000,,5319000,5319000,CALL,2014-03-31
144735,USD,2014,Q2,2014-08-11,2015-08-10,17832000.0,17835000.0,29480000.0,-11392000.0,18088000.0,-14734000.0,-13359000.0,-1375000.0,,3354000.0,-4000.0,-55000.0,3350000,37000.0,3387000,-1118000.0,2269000,,2269000,2269000,CALL,2014-06-30
144735,USD,2014,Q3,2014-11-10,2015-11-09,17832000.0,17832000.0,25813000.0,-9477000.0,16336000.0,-17140000.0,-15646000.0,-1494000.0,,-804000.0,-20000.0,-34000.0,-824000,0.0,-824000,823000.0,-1000,,-1000,-1000,CALL,2014-09-30
144735,USD,2014,Q4,2015-04-30,2017-03-16,17833000.0,17975000.0,25716000.0,-8650000.0,17066000.0,-13653000.0,-12395000.0,-1258000.0,,3413000.0,-29000.0,-38000.0,3384000,0.0,3384000,-7186000.0,-3802000,,-3802000,-3802000,CALL,2014-12-31
144735,USD,2015,Q1,2015-05-11,2016-05-10,17868000.0,17877000.0,25512000.0,-9467000.0,16045000.0,-11612000.0,-10450000.0,-1162000.0,,4433000.0,-23000.0,-34000.0,4410000,,4410000,-3102000.0,1308000,,1308000,1308000,CALL,2015-03-31
144735,USD,2015,Q2,2015-08-10,2016-08-09,17694000.0,17721000.0,25410000.0,-8669000.0,16741000.0,-10312000.0,-9144000.0,-1168000.0,,6429000.0,-23000.0,-23000.0,6406000,,6406000,546000.0,6952000,,6952000,6952000,CALL,2015-06-30
144735,USD,2015,Q3,2015-11-09,2016-11-09,16651000.0,16658000.0,25409000.0,-8225000.0,17184000.0,-9731000.0,-8643000.0,-1088000.0,,7453000.0,10000.0,0.0,7463000,0.0,7463000,-4152000.0,3311000,,3311000,3311000,CALL,2015-09-30
144735,USD,2015,Q4,2016-04-29,2017-03-16,15687000.0,15924000.0,24631000.0,-7781000.0,16850000.0,-9822000.0,-8719000.0,-1103000.0,,7028000.0,5000.0,0.0,7033000,0.0,7033000,-5094000.0,1939000,,1939000,1939000,CALL,2015-12-31
144735,USD,2016,Q1,2016-05-12,2017-05-10,15647000.0,15649000.0,23699000.0,-8209000.0,15490000.0,-11256000.0,-10156000.0,-1100000.0,,4234000.0,0.0,,4234000,0.0,4234000,-3500000.0,734000,,734000,734000,CALL,2016-03-31
144735,USD,2016,Q2,2016-08-09,2017-08-09,15853000.0,15872000.0,25301000.0,-9838000.0,15463000.0,-11257000.0,-10010000.0,-1247000.0,,4206000.0,11000.0,,4217000,0.0,4217000,-1702000.0,2515000,,2819000,2819000,CALL,2016-06-30
144735,USD,2016,Q3,2016-11-09,2017-11-09,15857000.0,15865000.0,24572000.0,-9509000.0,15063000.0,-11137000.0,-9823000.0,-1314000.0,,3926000.0,-1000.0,,3925000,1502000.0,5427000,-2205000.0,3222000,,3399000,3399000,CALL,2016-09-30
144735,USD,2016,Q4,2017-03-16,2018-03-16,15903000.0,16870000.0,23826000.0,-9178000.0,14648000.0,-13961000.0,-12423000.0,-1538000.0,,687000.0,10000.0,0.0,697000,-800000.0,-103000,-1312000.0,-1415000,,-1261000,-1261000,CALL,2016-12-31
144735,USD,2017,Q1,2017-05-10,2017-05-10,16034000.0,16034000.0,23197000.0,-9451000.0,13746000.0,-16731000.0,-15232000.0,-1499000.0,,-2985000.0,-11000.0,,-2996000,-31527000.0,-34523000,11355000.0,-23168000,,-23101000,-23101000,CALL,2017-03-31
144735,USD,2017,Q2,2017-08-09,2017-08-09,16078000.0,16078000.0,22381000.0,-8166000.0,14215000.0,-13126000.0,-11664000.0,-1462000.0,,1089000.0,4000.0,,1093000,0.0,1093000,-2587000.0,-1494000,,-1561000,-1561000,CALL,2017-06-30
144735,USD,2017,Q3,2017-11-09,2018-11-09,16114000.0,16114000.0,21657000.0,-7830000.0,13827000.0,-10740000.0,-9263000.0,-1477000.0,,3087000.0,44000.0,,3131000,894000.0,4025000,-1574000.0,2451000,,2451000,2451000,CALL,2017-09-30
144735,USD,2017,Q4,2018-03-16,2018-03-16,16126000.0,16126000.0,20758000.0,-7491000.0,13267000.0,-12006000.0,-10548000.0,-1458000.0,,1261000.0,52000.0,0.0,1313000,0.0,1313000,-4065000.0,-2752000,,-2752000,-2752000,CALL,2017-12-31
144735,USD,2018,Q1,2018-05-10,2018-05-10,16192000.0,16211000.0,20015000.0,-7163000.0,12852000.0,-10151000.0,-8694000.0,-1457000.0,,2701000.0,91000.0,,2792000,-131000.0,2661000,-695000.0,1966000,,1966000,1966000,CALL,2018-03-31
144735,USD,2018,Q2,2018-08-06,2018-08-06,16205000.0,16205000.0,20022000.0,-7100000.0,12922000.0,-8096000.0,-6692000.0,-1404000.0,,4826000.0,192000.0,,5018000,0.0,5018000,-922000.0,4096000,,4096000,4096000,CALL,2018-06-30
