SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
253953,USD,2009,Q2,2009-08-12,2010-08-26,611800000.0,619800000.0,7975000000.0,-5752000000.0,2223000000.0,-1604000000.0,-914000000.0,-351000000.0,,619000000.0,-218000000.0,-381000000.0,401000000,,401000000,-40000000.0,360000000,,371000000,371000000,CAT,2009-06-30
253953,USD,2009,Q3,2009-10-30,2010-11-04,622400000.0,635500000.0,7298000000.0,-5255000000.0,2043000000.0,-1510000000.0,-907000000.0,-327000000.0,,533000000.0,-281000000.0,-347000000.0,252000000,,252000000,139000000.0,392000000,,404000000,404000000,CAT,2009-09-30
253953,USD,2009,Q4,2010-02-19,2012-02-21,624500000.0,646600000.0,7898000000.0,-5852000000.0,2046000000.0,-1680000000.0,-942000000.0,-355000000.0,,366000000.0,-238000000.0,-326000000.0,128000000,,128000000,91000000.0,206000000,,232000000,232000000,CAT,2009-12-31
253953,USD,2010,Q1,2010-05-03,2011-05-09,626400000.0,643500000.0,8238000000.0,-5894000000.0,2344000000.0,-1603000000.0,-932000000.0,-402000000.0,,741000000.0,-272000000.0,-335000000.0,469000000,,469000000,-231000000.0,236000000,,233000000,233000000,CAT,2010-03-31
253953,USD,2010,Q2,2010-08-26,2011-08-04,629800000.0,647000000.0,10409000000.0,-7372000000.0,3037000000.0,-1826000000.0,-1059000000.0,-450000000.0,,1211000000.0,-265000000.0,-315000000.0,946000000,,946000000,-209000000.0,733000000,,707000000,707000000,CAT,2010-06-30
253953,USD,2010,Q3,2010-11-04,2011-11-04,632600000.0,651600000.0,11134000000.0,-7752000000.0,3382000000.0,-1968000000.0,-1148000000.0,-510000000.0,,1414000000.0,-311000000.0,-312000000.0,1103000000,,1103000000,-295000000.0,801000000,,792000000,792000000,CAT,2010-09-30
253953,USD,2010,Q4,2011-02-22,2013-02-19,637200000.0,659500000.0,12807000000.0,-9349000000.0,3458000000.0,-1947000000.0,-1109000000.0,-543000000.0,,1511000000.0,-279000000.0,-295000000.0,1232000000,0.0,1232000000,-233000000.0,988000000,,968000000,968000000,CAT,2010-12-31
253953,USD,2011,Q1,2011-05-09,2012-05-07,641400000.0,664900000.0,12949000000.0,-9057000000.0,3892000000.0,-1856000000.0,-1099000000.0,-525000000.0,,2036000000.0,-273000000.0,-290000000.0,1763000000,,1763000000,-512000000.0,1243000000,,1225000000,1225000000,CAT,2011-03-31
253953,USD,2011,Q2,2011-08-04,2012-08-06,645500000.0,667200000.0,14230000000.0,-10303000000.0,3927000000.0,-2117000000.0,-1257000000.0,-584000000.0,,1810000000.0,-460000000.0,-299000000.0,1350000000,,1350000000,-318000000.0,1022000000,,1015000000,1015000000,CAT,2011-06-30
253953,USD,2011,Q3,2011-11-04,2012-11-02,646600000.0,666000000.0,15716000000.0,-11455000000.0,4261000000.0,-2291000000.0,-1360000000.0,-584000000.0,,1970000000.0,-336000000.0,-323000000.0,1634000000,,1634000000,-474000000.0,1154000000,,1141000000,1141000000,CAT,2011-09-30
