SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
536512,USD,2015,Q2,2015-08-07,2016-08-09,180966833.0,180966833.0,1508000000.0,-1282000000.0,226000000.0,-245000000.0,-157000000.0,-88000000.0,,-19000000.0,1000000.0,-28000000.0,-18000000,,-18000000,0.0,-18000000,,-18000000,-18000000,CC,2015-06-30
536512,USD,2015,Q3,2015-11-05,2016-11-07,180968049.0,180968049.0,1486000000.0,-1222000000.0,264000000.0,-384000000.0,-157000000.0,-202000000.0,,-120000000.0,13000000.0,-51000000.0,-107000000,,-107000000,78000000.0,-29000000,,-29000000,-29000000,CC,2015-09-30
536512,USD,2015,Q4,2016-02-08,2017-02-17,181072777.0,181072777.0,1360000000.0,-1147000000.0,213000000.0,-268000000.0,-151000000.0,-117000000.0,,-55000000.0,-66000000.0,-53000000.0,-121000000,,-121000000,35000000.0,-86000000,,-86000000,-86000000,CC,2015-12-31
536512,USD,2016,Q1,2016-05-09,2017-05-03,181281166.0,181503140.0,1297000000.0,-1095000000.0,202000000.0,-173000000.0,-133000000.0,-40000000.0,,29000000.0,41000000.0,-57000000.0,70000000,,70000000,-19000000.0,51000000,,51000000,51000000,CC,2016-03-31
536512,USD,2016,Q2,2016-08-09,2017-08-03,181477672.0,181477672.0,1383000000.0,-1116000000.0,267000000.0,-258000000.0,-174000000.0,-84000000.0,,9000000.0,-50000000.0,-50000000.0,-41000000,,-41000000,23000000.0,-18000000,,-18000000,-18000000,CC,2016-06-30
536512,USD,2016,Q3,2016-11-07,2017-11-03,181596161.0,183528556.0,1398000000.0,-1056000000.0,342000000.0,-227000000.0,-148000000.0,-79000000.0,,115000000.0,119000000.0,-51000000.0,234000000,,234000000,-30000000.0,204000000,,204000000,204000000,CC,2016-09-30
536512,USD,2016,Q4,2017-02-17,2017-02-17,182130689.0,187156632.0,1322000000.0,-1023000000.0,299000000.0,-526000000.0,-479000000.0,-47000000.0,,-227000000.0,-47000000.0,-55000000.0,-274000000,,-274000000,44000000.0,-230000000,,-230000000,-230000000,CC,2016-12-31
536512,USD,2017,Q1,2017-05-03,2017-05-03,183408309.0,189149930.0,1437000000.0,-1079000000.0,358000000.0,-175000000.0,-144000000.0,-31000000.0,,183000000.0,-10000000.0,-51000000.0,173000000,,173000000,-22000000.0,151000000,,150000000,150000000,CC,2017-03-31
536512,USD,2017,Q2,2017-08-03,2017-08-03,185069436.0,191126639.0,1588000000.0,-1147000000.0,441000000.0,-184000000.0,-157000000.0,-27000000.0,,257000000.0,-32000000.0,-55000000.0,225000000,,225000000,-64000000.0,161000000,,161000000,161000000,CC,2017-06-30
536512,USD,2017,Q3,2017-11-03,2017-11-03,185431036.0,191637814.0,1584000000.0,-1117000000.0,467000000.0,-176000000.0,-148000000.0,-28000000.0,,291000000.0,-41000000.0,-55000000.0,250000000,,250000000,-43000000.0,207000000,,207000000,207000000,CC,2017-09-30
536512,USD,2017,Q4,2018-02-16,2018-02-16,185467643.0,192021581.0,1574000000.0,-1086000000.0,488000000.0,-204000000.0,-153000000.0,-51000000.0,,284000000.0,-20000000.0,-54000000.0,264000000,,264000000,-36000000.0,228000000,,228000000,228000000,CC,2017-12-31
536512,USD,2018,Q1,2018-05-04,2018-05-04,182069982.0,188333197.0,1730000000.0,-1193000000.0,537000000.0,-173000000.0,-143000000.0,-30000000.0,,364000000.0,17000000.0,-52000000.0,381000000,,381000000,-84000000.0,297000000,,297000000,297000000,CC,2018-03-31
536512,USD,2018,Q2,2018-08-03,2018-08-03,177798484.0,183821241.0,1816000000.0,-1259000000.0,557000000.0,-191000000.0,-161000000.0,-30000000.0,,366000000.0,-5000000.0,-48000000.0,361000000,-38000000.0,323000000,-41000000.0,282000000,,281000000,281000000,CC,2018-06-30
536512,USD,2018,Q3,2018-11-02,2018-11-02,176489881.0,181877125.0,1628000000.0,-1151000000.0,477000000.0,-195000000.0,-163000000.0,-32000000.0,,282000000.0,-13000000.0,-47000000.0,269000000,0.0,269000000,6000000.0,275000000,,275000000,275000000,CC,2018-09-30
536512,USD,2018,Q4,2019-02-15,2019-02-15,171515869.0,176256521.0,1464000000.0,-1064000000.0,400000000.0,-180000000.0,-190000000.0,10000000.0,,220000000.0,11000000.0,-48000000.0,231000000,-49000000.0,182000000,-40000000.0,142000000,,142000000,142000000,CC,2018-12-31
536512,USD,2019,Q1,2019-05-03,2019-05-03,167866468.0,172060900.0,1376000000.0,-1080000000.0,296000000.0,-186000000.0,-156000000.0,-30000000.0,,110000000.0,-3000000.0,-51000000.0,107000000,,107000000,-13000000.0,94000000,,94000000,94000000,CC,2019-03-31
536512,USD,2019,Q2,2019-08-02,2019-08-02,164118816.0,166941626.0,1408000000.0,-1085000000.0,323000000.0,-162000000.0,-136000000.0,-26000000.0,,161000000.0,-28000000.0,-52000000.0,133000000,0.0,133000000,-37000000.0,96000000,,96000000,96000000,CC,2019-06-30
536512,USD,2019,Q3,2019-11-05,2019-11-05,163815483.0,165140863.0,1390000000.0,-1096000000.0,294000000.0,-184000000.0,-130000000.0,-54000000.0,,110000000.0,-19000000.0,-53000000.0,91000000,0.0,91000000,-15000000.0,76000000,,76000000,76000000,CC,2019-09-30
