SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
51961,USD,2003,Q1,2003-08-14,2004-08-09,997895.0,1214650.0,4132000.0,-6739000.0,-2607000.0,-7126000.0,-4676000.0,-2450000.0,,-9733000.0,335000.0,336000.0,-9398000,,-9398000,,-9398000,,-9398000,-9398000,CGRN,2003-06-30
51961,USD,2003,Q2,2003-11-14,2004-11-09,997895.0,1214650.0,2347000.0,-4551000.0,-2204000.0,-7045000.0,-4643000.0,-2402000.0,,-9249000.0,257000.0,257000.0,-8992000,,-8992000,,-8992000,,-8992000,-8992000,CGRN,2003-09-30
51961,USD,2003,Q3,2004-02-17,2005-02-09,997895.0,1214650.0,3251000.0,-6359000.0,-3108000.0,-8722000.0,-5688000.0,-3034000.0,,-11830000.0,263000.0,264000.0,-11567000,,-11567000,,-11567000,,-11567000,-11567000,CGRN,2003-12-31
51961,USD,2003,Q4,2004-06-14,2005-06-29,997895.0,1214650.0,-6948000.0,12693000.0,5745000.0,17066000.0,10186000.0,6880000.0,,22811000.0,-487000.0,-491000.0,22324000,,22324000,-2000.0,22322000,,22322000,22322000,CGRN,2004-03-31
51961,USD,2004,Q1,2004-08-09,2005-08-09,997895.0,1214650.0,2955000.0,-5431000.0,-2476000.0,-8281000.0,-4867000.0,-3414000.0,,-10757000.0,225000.0,224000.0,-10532000,,-10532000,-2000.0,-10534000,,-10534000,-10534000,CGRN,2004-06-30
51961,USD,2004,Q2,2004-11-09,2005-11-09,997895.0,1214650.0,3925000.0,-6039000.0,-2114000.0,-7698000.0,-4779000.0,-2919000.0,,-9812000.0,665000.0,300000.0,-9147000,,-9147000,,-9147000,,-9147000,-9147000,CGRN,2004-09-30
51961,USD,2004,Q3,2005-02-09,2006-02-09,997895.0,1214650.0,4683000.0,-6829000.0,-2146000.0,-8003000.0,-5210000.0,-2793000.0,,-10149000.0,379000.0,376000.0,-9770000,,-9770000,,-9770000,,-9770000,-9770000,CGRN,2004-12-31
51961,USD,2004,Q4,2005-06-29,2006-06-14,997895.0,1214650.0,5405000.0,-7246000.0,-1841000.0,-8561000.0,-5926000.0,-2635000.0,,-10402000.0,404000.0,401000.0,-9998000,,-9998000,0.0,-9998000,,-9998000,-9998000,CGRN,2005-03-31
51961,USD,2005,Q1,2005-08-09,2006-08-09,997895.0,1214650.0,3807000.0,-7224000.0,-3417000.0,-7842000.0,-5737000.0,-2105000.0,,-11259000.0,396000.0,396000.0,-10863000,,-10863000,-2000.0,-10865000,,-10865000,-10865000,CGRN,2005-06-30
51961,USD,2005,Q2,2005-11-09,2006-11-09,997895.0,1214650.0,5705000.0,-6768000.0,-1063000.0,-9516000.0,-6788000.0,-2728000.0,,-10579000.0,380000.0,358000.0,-10199000,,-10199000,,-10199000,,-10199000,-10199000,CGRN,2005-09-30
51961,USD,2005,Q3,2006-02-09,2007-02-09,997895.0,1214650.0,7040000.0,-9793000.0,-2753000.0,-12138000.0,-9045000.0,-3093000.0,,-14891000.0,710000.0,707000.0,-14181000,,-14181000,,-14181000,,-14181000,-14181000,CGRN,2005-12-31
51961,USD,2005,Q4,2006-06-14,2007-06-13,997895.0,1214650.0,7551000.0,-10778000.0,-3227000.0,-9264000.0,-6171000.0,-3093000.0,,-12491000.0,663000.0,659000.0,-11828000,,-11828000,0.0,-11828000,,-11828000,-11828000,CGRN,2006-03-31
51961,USD,2006,Q1,2006-08-09,2007-08-08,997895.0,1214650.0,6566000.0,-7802000.0,-1236000.0,-8721000.0,-5915000.0,-2806000.0,,-9957000.0,627000.0,627000.0,-9330000,,-9330000,-2000.0,-9332000,,-9332000,-9332000,CGRN,2006-06-30
51961,USD,2006,Q2,2006-11-09,2007-11-08,997895.0,1214650.0,2946000.0,-5282000.0,-2336000.0,-8653000.0,-6061000.0,-2592000.0,,-10989000.0,570000.0,570000.0,-10419000,,-10419000,,-10419000,,-10419000,-10419000,CGRN,2006-09-30
51961,USD,2006,Q3,2007-02-09,2008-02-11,997895.0,1214650.0,5715000.0,-6191000.0,-476000.0,-8387000.0,-6366000.0,-2021000.0,,-8863000.0,410000.0,410000.0,-8453000,,-8453000,,-8453000,,-8453000,-8453000,CGRN,2006-12-31
51961,USD,2006,Q4,2007-06-13,2008-06-12,997895.0,1214650.0,5791000.0,-6770000.0,-979000.0,-8228000.0,-6273000.0,-1955000.0,,-9207000.0,683000.0,683000.0,-8524000,,-8524000,0.0,-8524000,,-8524000,-8524000,CGRN,2007-03-31
51961,USD,2007,Q1,2007-08-08,2008-08-11,997895.0,1214650.0,5615000.0,-8088000.0,-2473000.0,-8642000.0,-5893000.0,-2749000.0,,-11115000.0,710000.0,710000.0,-10405000,,-10405000,-2000.0,-10407000,,-10407000,-10407000,CGRN,2007-06-30
51961,USD,2007,Q2,2007-11-08,2008-11-10,997895.0,1214650.0,7219000.0,-7975000.0,-756000.0,-8343000.0,-5910000.0,-2433000.0,,-9099000.0,646000.0,646000.0,-8453000,,-8453000,,-8453000,,-8453000,-8453000,CGRN,2007-09-30
