SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
350160,USD,2011,Q2,2011-08-10,2012-09-04,15489100.0,16000000.0,99255000.0,-73000000.0,26255000.0,-18551000.0,,,,7704000.0,-3343000.0,-3343000.0,4361000,,4361000,-1708000.0,2653000,,2653000,2653000,CHEF,2011-06-30
350160,USD,2011,Q3,2011-11-04,2012-11-13,18696304.0,18696304.0,101681000.0,-75051000.0,26630000.0,-21290000.0,,,,5340000.0,-7249000.0,-7249000.0,-1909000,,-1909000,724000.0,-1185000,,-1185000,-1185000,CHEF,2011-09-30
350160,USD,2011,Q4,2012-02-10,2014-03-12,20724276.0,21430300.0,116513000.0,-85499000.0,31014000.0,-21321000.0,,,,9693000.0,-528000.0,-528000.0,9165000,-3000.0,9162000,-3952000.0,5210000,,5210000,5210000,CHEF,2011-12-31
350160,USD,2012,Q1,2012-05-11,2013-05-07,20511353.0,20896071.0,98069000.0,-72020000.0,26049000.0,-20991000.0,,,,5058000.0,-549000.0,-549000.0,4509000,,4509000,-1876000.0,2633000,,2633000,2633000,CHEF,2012-03-31
350160,USD,2012,Q2,2012-09-04,2013-08-06,20541234.0,20884977.0,114825000.0,-84354000.0,30471000.0,-21954000.0,,,,8517000.0,-895000.0,-895000.0,7622000,,7622000,-3163000.0,4459000,,4459000,4459000,CHEF,2012-06-30
350160,USD,2012,Q3,2012-12-11,2013-11-05,20662956.0,20980019.0,124807000.0,-92430000.0,32377000.0,-25052000.0,,,,7325000.0,-1010000.0,-1010000.0,6315000,-3000.0,6312000,-2496000.0,3816000,,3816000,3816000,CHEF,2012-09-30
350160,USD,2012,Q4,2013-03-13,2015-03-11,20734085.0,20944393.0,142591000.0,-106484000.0,36107000.0,-28240000.0,,,,7867000.0,-1220000.0,-1220000.0,6647000,-15000.0,6632000,-3029000.0,3603000,,3603000,3603000,CHEF,2012-12-31
350160,USD,2013,Q1,2013-05-07,2014-05-12,20747734.0,20993918.0,139419000.0,-104265000.0,35154000.0,-29257000.0,,,,5897000.0,-1367000.0,-1367000.0,4530000,,4530000,-1883000.0,2647000,,2647000,2647000,CHEF,2013-03-31
350160,USD,2013,Q2,2013-08-06,2014-08-06,20781745.0,21018602.0,170157000.0,-126115000.0,44042000.0,-32987000.0,,,,11055000.0,-1903000.0,-1903000.0,9152000,-4000.0,9148000,-3803000.0,5345000,,5345000,5345000,CHEF,2013-06-30
350160,USD,2013,Q3,2013-11-05,2014-11-05,20928148.0,21145159.0,170581000.0,-126624000.0,43957000.0,-34522000.0,,,,9435000.0,-2328000.0,-2328000.0,7107000,0.0,7107000,-2947000.0,4160000,,4160000,4160000,CHEF,2013-09-30
350160,USD,2013,Q4,2014-03-12,2016-03-04,24609345.0,24822489.0,193388000.0,-144177000.0,49211000.0,-39017000.0,,,,10194000.0,-2177000.0,-2177000.0,8017000,-4000.0,8013000,-3175000.0,4838000,,4838000,4838000,CHEF,2013-12-31
350160,USD,2014,Q1,2014-05-12,2015-05-06,24618054.0,24839563.0,187183000.0,-141115000.0,46068000.0,-42317000.0,,,,3751000.0,-2059000.0,-2059000.0,1692000,,1692000,-703000.0,989000,,989000,989000,CHEF,2014-03-31
350160,USD,2014,Q2,2014-08-06,2015-08-05,24627965.0,24850226.0,213144000.0,-160742000.0,52402000.0,-43845000.0,,,,8557000.0,-2109000.0,-2109000.0,6448000,10000.0,6458000,-2638000.0,3820000,,3820000,3820000,CHEF,2014-06-30
350160,USD,2014,Q3,2014-11-05,2015-11-04,24649837.0,24845899.0,208070000.0,-157377000.0,50693000.0,-41660000.0,,,,9033000.0,-1896000.0,-1896000.0,7137000,-5000.0,7132000,-2925000.0,4207000,,4207000,4207000,CHEF,2014-09-30
350160,USD,2014,Q4,2015-03-11,2017-03-10,24656684.0,24842572.0,224312000.0,-168317000.0,55995000.0,-44326000.0,,,,11669000.0,-2103000.0,-2103000.0,9566000,0.0,9566000,-4367000.0,5199000,,5199000,5199000,CHEF,2014-12-31
350160,USD,2015,Q1,2015-05-06,2016-05-04,24666557.0,24722275.0,197891000.0,-148135000.0,49756000.0,-46616000.0,,,,3140000.0,-1836000.0,-1836000.0,1304000,349000.0,1653000,-686000.0,967000,,967000,967000,CHEF,2015-03-31
350160,USD,2015,Q2,2015-08-05,2016-08-03,25726851.0,26884238.0,280851000.0,-209137000.0,71714000.0,-62381000.0,,,,9333000.0,-3574000.0,-3574000.0,5759000,,5759000,-2396000.0,3363000,,3363000,3363000,CHEF,2015-06-30
350160,USD,2015,Q3,2015-11-04,2016-11-02,25864638.0,27154770.0,276306000.0,-206134000.0,70172000.0,-57319000.0,,,,12853000.0,-3902000.0,-3902000.0,8951000,-8000.0,8943000,-3719000.0,5224000,,5224000,5224000,CHEF,2015-09-30
350160,USD,2015,Q4,2016-03-04,2018-03-09,25870642.0,27274693.0,291830000.0,-214761000.0,77069000.0,-61995000.0,,,,15074000.0,-3672000.0,-3672000.0,11402000,-46000.0,11356000,-4701000.0,6655000,,6655000,6655000,CHEF,2015-12-31
350160,USD,2016,Q1,2016-05-04,2017-05-09,25884051.0,25917350.0,260836000.0,-194878000.0,65958000.0,-60598000.0,,,,5360000.0,-3656000.0,-3656000.0,1704000,-3000.0,1701000,-708000.0,993000,,993000,993000,CHEF,2016-03-31
350160,USD,2016,Q2,2016-08-03,2017-08-09,25912686.0,25912686.0,291209000.0,-219406000.0,71803000.0,-60615000.0,,,,11188000.0,-25667000.0,-25667000.0,-14479000,,-14479000,6024000.0,-8455000,,-8455000,-8455000,CHEF,2016-06-30
350160,USD,2016,Q3,2016-11-02,2017-11-08,25936832.0,25977171.0,297917000.0,-223525000.0,74392000.0,-66106000.0,,,,8286000.0,-5947000.0,-5947000.0,2339000,-40000.0,2299000,-956000.0,1343000,,1343000,1343000,CHEF,2016-09-30
350160,USD,2016,Q4,2017-03-10,2018-03-09,25944351.0,26311229.0,342904000.0,-253840000.0,89064000.0,-66659000.0,,,,22405000.0,-6362000.0,-6362000.0,16043000,112000.0,16155000,-7013000.0,9142000,,9142000,9142000,CHEF,2016-12-31
350160,USD,2017,Q1,2017-05-09,2017-05-09,25952222.0,25952222.0,287690000.0,-213786000.0,73904000.0,-70783000.0,,,,3121000.0,-5933000.0,-5933000.0,-2812000,0.0,-2812000,1170000.0,-1642000,,-1642000,-1642000,CHEF,2017-03-31
350160,USD,2017,Q2,2017-08-09,2017-08-09,25990580.0,27276575.0,331656000.0,-249060000.0,82596000.0,-70433000.0,,,,12163000.0,-5880000.0,-5880000.0,6283000,,6283000,-2609000.0,3674000,,3674000,3674000,CHEF,2017-06-30
350160,USD,2017,Q3,2017-11-08,2017-11-08,26092387.0,27387619.0,325076000.0,-244171000.0,80905000.0,-70411000.0,,,,10494000.0,-5593000.0,-5593000.0,4901000,-10000.0,4891000,-2040000.0,2851000,,2851000,2851000,CHEF,2017-09-30
350160,USD,2017,Q4,2018-03-09,2018-03-09,26438739.0,29081688.0,357098000.0,-265125000.0,91973000.0,-76624000.0,,,,15349000.0,-5303000.0,-5303000.0,10046000,0.0,10046000,-563000.0,9483000,,9483000,9483000,CHEF,2017-12-31
350160,USD,2018,Q1,2018-05-09,2019-05-01,28122723.0,28197247.0,318615000.0,-239093000.0,79522000.0,-73782000.0,,,,5740000.0,-4979000.0,-4979000.0,761000,0.0,761000,-217000.0,544000,,544000,544000,CHEF,2018-03-31
