SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
540930,USD,2014,Q3,2014-11-10,2015-11-10,4409703.0,4409703.0,16052000.0,,16052000.0,-22475000.0,-3979000.0,-18496000.0,,-6423000.0,-1491000.0,-1000.0,-7914000,,-7914000,,-7914000,,-7872000,-7872000,CHRS,2014-09-30
540930,USD,2014,Q4,2015-02-10,2017-03-14,19972361.0,19972361.0,6493000.0,,6493000.0,-33053000.0,-6186000.0,-26867000.0,,-26560000.0,-2463000.0,0.0,-29023000,,-29023000,,-29023000,,-29134000,-29134000,CHRS,2014-12-31
540930,USD,2015,Q1,2015-06-29,2016-05-09,33377298.0,33377298.0,5810000.0,,5810000.0,-42558000.0,-6091000.0,-36467000.0,,-36748000.0,-4091000.0,,-40839000,,-40839000,,-40839000,,-40725000,-40725000,CHRS,2015-03-31
540930,USD,2015,Q2,2015-08-10,2016-08-09,37672748.0,37672748.0,6866000.0,,6866000.0,-65761000.0,-8817000.0,-56944000.0,,-58895000.0,-139000.0,,-59034000,,-59034000,,-59034000,,-58810000,-58810000,CHRS,2015-06-30
540930,USD,2015,Q3,2015-11-10,2016-11-09,38426734.0,38426734.0,7167000.0,,7167000.0,-78384000.0,-10166000.0,-68218000.0,,-71217000.0,-268000.0,-33000.0,-71485000,,-71485000,,-71485000,,-71334000,-71334000,CHRS,2015-09-30
540930,USD,2015,Q4,2016-02-29,2017-03-14,39011252.0,39011252.0,10198000.0,,10198000.0,-62405000.0,-10972000.0,-51433000.0,,-52207000.0,-373000.0,0.0,-52580000,,-52580000,,-52580000,,-52391000,-52391000,CHRS,2015-12-31
540930,USD,2016,Q1,2016-05-09,2017-05-08,39095975.0,39095975.0,12359000.0,,12359000.0,-76711000.0,-11398000.0,-65313000.0,,-64352000.0,-1186000.0,-837000.0,-65538000,,-65538000,,-65538000,,-65388000,-65388000,CHRS,2016-03-31
540930,USD,2016,Q2,2016-08-09,2017-08-07,40698309.0,40698309.0,14068000.0,,14068000.0,-76804000.0,-11260000.0,-65544000.0,,-62736000.0,-7414000.0,-2354000.0,-70150000,,-70150000,,-70150000,,-69967000,-69967000,CHRS,2016-06-30
540930,USD,2016,Q3,2016-11-09,2017-11-06,43469986.0,51581298.0,162835000.0,,162835000.0,-78218000.0,-13645000.0,-64573000.0,,84617000.0,-773000.0,-2420000.0,83844000,,83844000,,83844000,,83939000,83939000,CHRS,2016-09-30
540930,USD,2016,Q4,2017-03-14,2017-03-14,44384930.0,36273618.0,844000.0,,844000.0,-74304000.0,-15294000.0,-59010000.0,,-73460000.0,-2484000.0,-2369000.0,-75944000,,-75944000,,-75944000,,-75921000,-75921000,CHRS,2016-12-31
540930,USD,2017,Q1,2017-05-08,2017-05-08,48711958.0,48711958.0,161000.0,,161000.0,-72578000.0,-18803000.0,-53775000.0,,-72417000.0,-2405000.0,-2376000.0,-74822000,,-74822000,,-74822000,,-74778000,-74778000,CHRS,2017-03-31
540930,USD,2017,Q2,2017-08-07,2017-08-07,51291787.0,51291787.0,1395000.0,,1395000.0,-58033000.0,-23533000.0,-34500000.0,,-56638000.0,1236000.0,-2384000.0,-55402000,,-55402000,,-55402000,,-55336000,-55336000,CHRS,2017-06-30
540930,USD,2017,Q3,2017-11-06,2017-11-06,54070872.0,54070872.0,,,,-56615000.0,-13989000.0,-42626000.0,,-56615000.0,-2378000.0,-2392000.0,-58993000,,-58993000,,-58993000,,-58989000,-58989000,CHRS,2017-09-30
