SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
115723,USD,2011,Q2,2011-08-11,2012-08-09,31794886.0,31794886.0,40294000.0,-25511000.0,14783000.0,-5412000.0,-1645000.0,,-3767000.0,9371000.0,-1818000.0,-1818000.0,7553000,-4602000.0,2951000,-914000.0,2037000,,2037000,2037000,CHSP,2011-06-30
115723,USD,2011,Q3,2011-11-10,2012-11-08,31794886.0,31794886.0,51780000.0,-33252000.0,18528000.0,-7219000.0,-1900000.0,,-5319000.0,11309000.0,-4087000.0,-4087000.0,7222000,-1518000.0,5704000,23000.0,5727000,,5727000,5727000,CHSP,2011-09-30
115723,USD,2011,Q4,2012-02-24,2014-02-20,31821050.0,31821050.0,56130000.0,-38323000.0,17807000.0,-11080000.0,-4768000.0,,-6312000.0,6727000.0,-4858000.0,-4858000.0,1869000,1345000.0,3214000,-273000.0,2941000,,2941000,2941000,CHSP,2011-12-31
115723,USD,2012,Q1,2012-05-09,2013-05-07,31873940.0,31873940.0,50270000.0,-37806000.0,12464000.0,-8554000.0,-2024000.0,,-6530000.0,3910000.0,-5081000.0,-5081000.0,-1171000,-1221000.0,-2392000,1596000.0,-796000,,-796000,-796000,CHSP,2012-03-31
115723,USD,2012,Q2,2012-08-09,2013-08-05,31910921.0,31910921.0,67046000.0,-41689000.0,25357000.0,-9467000.0,-2790000.0,,-6677000.0,15890000.0,-5087000.0,-5087000.0,10803000,-264000.0,10539000,-1486000.0,9053000,,9053000,9053000,CHSP,2012-06-30
115723,USD,2012,Q3,2012-11-08,2013-11-06,32971594.0,32971594.0,75860000.0,-47985000.0,27875000.0,-10225000.0,-3010000.0,,-7215000.0,17650000.0,-5351000.0,-5351000.0,12299000,-2604000.0,9695000,-662000.0,9033000,,9033000,7042000,CHSP,2012-09-30
115723,USD,2012,Q4,2013-02-21,2015-02-19,39438553.0,39438553.0,85100000.0,-58362000.0,26738000.0,-11982000.0,-3473000.0,,-8509000.0,14756000.0,-5258000.0,-5258000.0,9498000,575000.0,10073000,-186000.0,9887000,,9887000,7465000,CHSP,2012-12-31
115723,USD,2013,Q1,2013-05-07,2014-04-30,44493165.0,44493165.0,70601000.0,-54962000.0,15639000.0,-12181000.0,-3342000.0,,-8839000.0,3458000.0,-5223000.0,-5223000.0,-1765000,-3029000.0,-4794000,2284000.0,-2510000,,-2510000,-4932000,CHSP,2013-03-31
115723,USD,2013,Q2,2013-08-05,2014-08-04,47862652.0,47862652.0,115570000.0,-73370000.0,42200000.0,-14481000.0,-3643000.0,,-10838000.0,27719000.0,-6321000.0,-6321000.0,21398000,-1367000.0,20031000,-2974000.0,17057000,,17057000,14635000,CHSP,2013-06-30
115723,USD,2013,Q3,2013-11-06,2014-11-03,47885696.0,47885696.0,122443000.0,-79532000.0,42911000.0,-15271000.0,-2936000.0,,-12335000.0,27640000.0,-7195000.0,-7195000.0,20445000,-561000.0,19884000,-641000.0,19243000,,19243000,16821000,CHSP,2013-09-30
115723,USD,2013,Q4,2014-02-20,2016-02-18,48938843.0,48938843.0,111563000.0,-77099000.0,34464000.0,-15661000.0,-3204000.0,,-12457000.0,18803000.0,-6794000.0,-6794000.0,12009000,-157000.0,11852000,-324000.0,11528000,,11528000,9106000,CHSP,2013-12-31
115723,USD,2014,Q1,2014-04-30,2015-04-30,48961556.0,48961556.0,94774000.0,-72759000.0,22015000.0,-16418000.0,-3920000.0,,-12498000.0,5597000.0,-6686000.0,-6686000.0,-1089000,-130000.0,-1219000,3397000.0,2178000,,2178000,-244000,CHSP,2014-03-31
115723,USD,2014,Q2,2014-08-04,2015-07-30,48977876.0,48977876.0,128865000.0,-81687000.0,47178000.0,-16415000.0,-3891000.0,,-12524000.0,30763000.0,-6828000.0,-6828000.0,23935000,-130000.0,23805000,-2556000.0,21249000,,21249000,18827000,CHSP,2014-06-30
115723,USD,2014,Q3,2014-11-03,2015-11-02,50141513.0,50567849.0,130840000.0,-84720000.0,46120000.0,-16160000.0,-3694000.0,,-12466000.0,29960000.0,-6955000.0,-6955000.0,23005000,6816000.0,29821000,-1133000.0,28688000,,28688000,26266000,CHSP,2014-09-30
115723,USD,2014,Q4,2015-02-19,2017-02-22,53871083.0,55056163.0,123501000.0,-85716000.0,37785000.0,-18131000.0,-4052000.0,,-14079000.0,19654000.0,-6880000.0,-6880000.0,12774000,-3692000.0,9082000,-243000.0,8839000,,8839000,6417000,CHSP,2014-12-31
115723,USD,2015,Q1,2015-04-30,2016-04-28,54178494.0,54178494.0,109290000.0,-83904000.0,25386000.0,-19504000.0,-4577000.0,,-14927000.0,5882000.0,-7179000.0,-7179000.0,-1297000,-499000.0,-1796000,3348000.0,1552000,,1552000,-870000,CHSP,2015-03-31
115723,USD,2015,Q2,2015-07-30,2016-07-29,58544392.0,58956483.0,162145000.0,-102569000.0,59576000.0,-22427000.0,-4498000.0,,-17929000.0,37149000.0,-8168000.0,-8168000.0,28981000,-596000.0,28385000,-4340000.0,24045000,,24045000,21623000,CHSP,2015-06-30
115723,USD,2015,Q3,2015-11-02,2016-11-01,58552800.0,58991087.0,165009000.0,-106767000.0,58242000.0,-22325000.0,-4019000.0,,-18306000.0,35917000.0,-8287000.0,-8287000.0,27630000,-149000.0,27481000,-301000.0,27180000,,27180000,24758000,CHSP,2015-09-30
115723,USD,2015,Q4,2016-02-18,2018-02-15,58621338.0,59579532.0,146180000.0,-98262000.0,47918000.0,-23533000.0,-4952000.0,,-18581000.0,24385000.0,-8222000.0,-8222000.0,16163000,-130000.0,16033000,-1302000.0,14731000,,14731000,12309000,CHSP,2015-12-31
115723,USD,2016,Q1,2016-04-28,2017-04-25,58681525.0,59247219.0,140611000.0,-100405000.0,40206000.0,-23750000.0,-5266000.0,,-18484000.0,16456000.0,-8210000.0,-8210000.0,8246000,-130000.0,8116000,1954000.0,10070000,,10070000,7648000,CHSP,2016-03-31
