SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
368990,USD,2012,Q1,2011-12-12,2012-06-11,27873000.0,28759000.0,270256000.0,-159396000.0,110860000.0,-84566000.0,-84566000.0,,,26294000.0,-23920000.0,-23950000.0,2374000,-19563000.0,-17189000,6749000.0,-10440000,,-10440000,-10440000,CK00007861,2011-10-31
368990,USD,2012,Q2,2012-04-26,2012-09-10,27873000.0,28759000.0,259036000.0,-167004000.0,92032000.0,-88881000.0,-88881000.0,,,3151000.0,-21973000.0,-21893000.0,-18822000,,-18822000,11891000.0,-6931000,,-6931000,-6931000,CK00007861,2012-01-31
368990,USD,2012,Q3,2012-06-11,2012-12-07,27873000.0,28759000.0,303148000.0,-172303000.0,130845000.0,-99448000.0,-99448000.0,,,31397000.0,-22015000.0,-22023000.0,9382000,,9382000,-12430000.0,-3048000,,-3048000,-3048000,CK00007861,2012-04-30
368990,USD,2012,Q4,2012-09-10,2014-05-02,27873000.0,28759000.0,355848000.0,-229643000.0,126205000.0,-107246000.0,-107246000.0,,,18959000.0,-21840000.0,-21773000.0,-2881000,-28300000.0,-31181000,416000.0,-30765000,,-24926000,-24926000,CK00007861,2012-07-31
368990,USD,2013,Q1,2012-12-07,2013-06-17,27873000.0,28759000.0,297751000.0,-175927000.0,121824000.0,-91739000.0,-91739000.0,,,30085000.0,-21665000.0,-21599000.0,8420000,-1237000.0,7183000,-3013000.0,4170000,,4996000,4996000,CK00007861,2012-10-31
368990,USD,2013,Q2,2013-05-02,2013-09-16,27873000.0,28759000.0,268752000.0,-179564000.0,89188000.0,-95595000.0,-95595000.0,,,-6407000.0,-21172000.0,-21148000.0,-27579000,,-27579000,13513000.0,-14066000,,-13268000,-13268000,CK00007861,2013-01-31
368990,USD,2013,Q3,2013-06-17,2013-12-16,27873000.0,28759000.0,311518000.0,-185915000.0,125603000.0,-99016000.0,-99016000.0,,,26587000.0,-21184000.0,-21270000.0,5403000,,5403000,-493000.0,4910000,,6121000,6121000,CK00007861,2013-04-30
368990,USD,2013,Q4,2013-09-16,2015-05-01,27873000.0,28759000.0,397643000.0,-252866000.0,144777000.0,-125392000.0,-125392000.0,,,19385000.0,-21454000.0,-21446000.0,-2069000,1023000.0,-1046000,-4371000.0,-5417000,,-5691000,-5691000,CK00007861,2013-07-31
368990,USD,2014,Q1,2013-12-16,2014-06-16,27873000.0,28759000.0,292783000.0,-171810000.0,120973000.0,-104129000.0,-104129000.0,,,16844000.0,-20352000.0,-20361000.0,-3508000,,-3508000,660000.0,-2848000,,-2536000,-2536000,CK00007861,2013-10-31
368990,USD,2014,Q2,2014-05-02,2014-09-15,27873000.0,28759000.0,290916000.0,-183830000.0,107086000.0,-102023000.0,-102023000.0,,,5063000.0,-20517000.0,-20406000.0,-15454000,,-15454000,6129000.0,-9325000,,-9350000,-9350000,CK00007861,2014-01-31
368990,USD,2014,Q3,2014-06-16,2014-12-15,27873000.0,28759000.0,309838000.0,-186370000.0,123468000.0,-111199000.0,-111199000.0,,,12269000.0,-19589000.0,-20442000.0,-7320000,-834000.0,-8154000,-16244000.0,-24398000,,-23985000,-23985000,CK00007861,2014-04-30
368990,USD,2014,Q4,2014-09-15,2016-10-28,27873000.0,28759000.0,325347000.0,-220867000.0,104480000.0,-113765000.0,-113765000.0,,,-9285000.0,-21684000.0,-20249000.0,-30969000,-157189000.0,-188158000,11335000.0,-176823000,7043000.0,-167156000,-167156000,CK00007861,2014-07-31
368990,USD,2015,Q1,2014-12-15,2015-06-12,27873000.0,28759000.0,272010000.0,-163652000.0,108358000.0,-102290000.0,-102290000.0,,,6068000.0,-20695000.0,-20327000.0,-14627000,,-14627000,-376000.0,-15003000,,-13431000,-13431000,CK00007861,2014-10-31
368990,USD,2015,Q2,2015-05-01,2015-09-14,27873000.0,28759000.0,264303000.0,-167939000.0,96364000.0,-107140000.0,-107140000.0,,,-10776000.0,-20521000.0,-20387000.0,-31297000,,-31297000,-1556000.0,-32853000,,-31153000,-31153000,CK00007861,2015-01-31
368990,USD,2015,Q3,2015-06-12,2015-12-14,27873000.0,28759000.0,316819000.0,-190898000.0,125921000.0,-113679000.0,-113679000.0,,,12242000.0,-20745000.0,-20726000.0,-8503000,-591396000.0,-599899000,77505000.0,-522394000,,-522075000,-522075000,CK00007861,2015-04-30
368990,USD,2015,Q4,2015-09-14,2016-10-28,27873000.0,28759000.0,344700000.0,-231372000.0,113328000.0,-111984000.0,-111984000.0,,,1344000.0,-20724000.0,-20710000.0,-19380000,0.0,-19380000,761000.0,-18619000,8758000.0,-7446000,-7446000,CK00007861,2015-07-31
368990,USD,2016,Q1,2015-12-14,2016-12-09,27873000.0,28759000.0,295520000.0,-180613000.0,114907000.0,-105027000.0,-105027000.0,,,9880000.0,-22055000.0,-21906000.0,-12175000,,-12175000,-835000.0,-13010000,3358000.0,-10028000,-10028000,CK00007861,2015-10-31
368990,USD,2016,Q2,2016-04-28,2016-04-28,27873000.0,28759000.0,273465000.0,-172805000.0,100660000.0,-103366000.0,-103366000.0,,,-2706000.0,-21466000.0,-21608000.0,-24172000,,-24172000,-1222000.0,-25394000,,-26562000,-26562000,CK00007861,2016-01-31
368990,USD,2016,Q3,2016-06-14,2016-06-14,27873000.0,28759000.0,305441000.0,-182660000.0,122781000.0,-108566000.0,-108566000.0,,,14215000.0,-22038000.0,-21868000.0,-7823000,,-7823000,-1829000.0,-9652000,,-10028000,-10028000,CK00007861,2016-04-30
368990,USD,2016,Q4,2016-10-28,2016-10-28,27873000.0,28759000.0,331713000.0,-216680000.0,115033000.0,-110679000.0,-110679000.0,,,4354000.0,-20980000.0,-20567000.0,-16626000,41522000.0,24896000,1383000.0,26279000,9655000.0,36442000,36442000,CK00007861,2016-07-31
368990,USD,2017,Q1,2016-12-09,2016-12-09,27873000.0,28759000.0,279827000.0,-172822000.0,107005000.0,-105154000.0,-105154000.0,,,1851000.0,-19797000.0,-19932000.0,-17946000,,-17946000,7054000.0,-10892000,,-10892000,-10892000,CK00007861,2016-10-31
