SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
849434,USD,2011,Q2,2011-08-25,2012-08-08,13757449.0,13757449.0,14902000.0,-8336000.0,6566000.0,-6456000.0,-1584000.0,,-3804000.0,110000.0,-636000.0,-636000.0,-526000,-1398000.0,-1924000,-12000.0,-1936000,,-1936000,-1936000,CLDT,2011-06-30
849434,USD,2011,Q3,2011-11-09,2012-11-08,13766297.0,13766297.0,23578000.0,-12838000.0,10740000.0,-6449000.0,-1427000.0,,-3399000.0,4291000.0,-3081000.0,-3081000.0,1210000,-2104000.0,-894000,-61000.0,-955000,,-955000,-955000,CLDT,2011-09-30
849434,USD,2011,Q4,2012-03-09,2014-03-11,13796079.0,13796079.0,22129000.0,4106000.0,26235000.0,-23636000.0,-8365000.0,,-3324000.0,2599000.0,-4681000.0,-3684000.0,-2082000,-4119000.0,-6201000,6000.0,-6195000,,-6195000,-6195000,CLDT,2011-12-31
849434,USD,2012,Q1,2012-05-09,2013-05-09,13794986.0,13794986.0,22827000.0,-12987000.0,9840000.0,-6749000.0,-1777000.0,,-3339000.0,3091000.0,-4411000.0,-3846000.0,-1320000,-444000.0,-1764000,33000.0,-1731000,,-1731000,-1731000,CLDT,2012-03-31
849434,USD,2012,Q2,2012-08-08,2013-08-08,13810190.0,13908907.0,26359000.0,-8132000.0,18227000.0,-13422000.0,-4295000.0,,-4123000.0,4805000.0,-3126000.0,-3829000.0,1679000,-389000.0,1290000,-133000.0,1157000,,1157000,1157000,CLDT,2012-06-30
849434,USD,2012,Q3,2012-11-08,2013-11-06,13819371.0,13908907.0,27002000.0,-8633000.0,18369000.0,-12707000.0,-3994000.0,,-3399000.0,5662000.0,-3769000.0,-3574000.0,1893000,-434000.0,1459000,39000.0,1498000,,1498000,1498000,CLDT,2012-09-30
849434,USD,2012,Q4,2013-03-15,2015-03-16,13822217.0,13633964.0,24276000.0,-4399000.0,19877000.0,-18549000.0,-6819000.0,,-3412000.0,1328000.0,-4719000.0,-3337000.0,-3391000,1031000.0,-2360000,-14000.0,-2374000,,-2374000,-2374000,CLDT,2012-12-31
849434,USD,2013,Q1,2013-05-09,2014-05-09,17212124.0,17212124.0,25779000.0,-8734000.0,17045000.0,-13703000.0,-4560000.0,,-3756000.0,3342000.0,-4400000.0,-2836000.0,-1058000,-560000.0,-1618000,,-1618000,,-1618000,-1618000,CLDT,2013-03-31
849434,USD,2013,Q2,2013-08-08,2014-08-11,18147108.0,18383626.0,30746000.0,-9514000.0,21232000.0,-14772000.0,-4744000.0,,-4026000.0,6460000.0,-2795000.0,-2706000.0,3665000,-1444000.0,2221000,-45000.0,2176000,,2176000,2176000,CLDT,2013-06-30
849434,USD,2013,Q3,2013-11-06,2014-11-06,22508988.0,22769282.0,35370000.0,-10902000.0,24468000.0,-16654000.0,-5069000.0,,-4748000.0,7814000.0,-3440000.0,-2766000.0,4374000,-1803000.0,2571000,-30000.0,2541000,,2541000,2541000,CLDT,2013-09-30
849434,USD,2013,Q4,2014-03-11,2016-02-29,26275348.0,26770292.0,34333000.0,-12882000.0,21451000.0,-18365000.0,-5287000.0,,-5719000.0,3086000.0,-3620000.0,-3140000.0,-534000,466000.0,-68000,-49000.0,-117000,,-117000,-117000,CLDT,2013-12-31
849434,USD,2014,Q1,2014-05-09,2015-05-08,26271678.0,26271678.0,36866000.0,-12570000.0,24296000.0,-19646000.0,-5747000.0,,-6316000.0,4650000.0,-4225000.0,-3725000.0,425000,-2154000.0,-1729000,-3000.0,-1732000,,-1732000,-1732000,CLDT,2014-03-31
849434,USD,2014,Q2,2014-08-11,2015-08-06,26437878.0,26734919.0,47077000.0,-13565000.0,33512000.0,-22459000.0,-6211000.0,,-7365000.0,11053000.0,-6350000.0,-4350000.0,4703000,60649000.0,65352000,-38000.0,65314000,,65206000,65206000,CLDT,2014-06-30
849434,USD,2014,Q3,2014-11-06,2015-11-06,27370815.0,27695347.0,60662000.0,-16635000.0,44027000.0,-28593000.0,-7157000.0,,-10273000.0,15434000.0,-5807000.0,-6652000.0,9627000,-751000.0,8876000,-44000.0,8832000,,8700000,8700000,CLDT,2014-09-30
849434,USD,2014,Q4,2015-04-02,2017-02-27,34044005.0,34684952.0,52611000.0,-18038000.0,34573000.0,-28633000.0,-7002000.0,,-10756000.0,5940000.0,-8878000.0,-6519000.0,-2938000,-2375000.0,-5313000,-20000.0,-5333000,,-5301000,-5301000,CLDT,2014-12-31
849434,USD,2015,Q1,2015-05-08,2016-05-05,37018039.0,37322278.0,58949000.0,-17871000.0,41078000.0,-31508000.0,-8069000.0,,-11523000.0,9570000.0,-7043000.0,-6787000.0,2527000,-1108000.0,1419000,,1419000,,1411000,1411000,CLDT,2015-03-31
