SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
365654,USD,2011,Q3,2011-08-10,2012-08-08,25066000.0,25587000.0,210882000.0,-120720000.0,90162000.0,-61572000.0,-37983000.0,-21738000.0,-1851000.0,28590000.0,766000.0,204000.0,29356000,,29356000,-10334000.0,19022000,,19022000,19022000,COHR,2011-06-30
365654,USD,2011,Q4,2011-11-30,2013-11-27,24696000.0,25169000.0,207961000.0,-118464000.0,89497000.0,-58056000.0,-36459000.0,-19718000.0,-1879000.0,31441000.0,-25000.0,246000.0,31416000,,31416000,-36000.0,31380000,,31380000,31380000,COHR,2011-09-30
365654,USD,2012,Q1,2012-02-08,2013-02-06,23462000.0,23961000.0,190767000.0,-110408000.0,80359000.0,-55046000.0,-34631000.0,-18779000.0,-1636000.0,25313000.0,518000.0,200000.0,25831000,,25831000,-8780000.0,17051000,,17051000,17051000,COHR,2011-12-31
365654,USD,2012,Q2,2012-05-09,2013-05-07,23521000.0,23996000.0,193284000.0,-115636000.0,77648000.0,-57311000.0,-35377000.0,-20323000.0,-1611000.0,20337000.0,1912000.0,24000.0,22249000,,22249000,-6094000.0,16155000,,16155000,16155000,COHR,2012-03-31
365654,USD,2012,Q3,2012-08-08,2013-08-07,23633000.0,24054000.0,196383000.0,-116138000.0,80245000.0,-53923000.0,-32894000.0,-19306000.0,-1723000.0,26322000.0,-1937000.0,-19000.0,24385000,,24385000,-7177000.0,17208000,,17208000,17208000,COHR,2012-06-30
365654,USD,2012,Q4,2012-11-28,2014-11-25,23628000.0,24093000.0,188654000.0,-110921000.0,77733000.0,-60875000.0,-35617000.0,-19852000.0,-5406000.0,16858000.0,1299000.0,20000.0,18157000,,18157000,-5609000.0,12548000,,12548000,12548000,COHR,2012-09-30
365654,USD,2013,Q1,2013-02-06,2014-02-06,23770000.0,24222000.0,183202000.0,-105567000.0,77635000.0,-57137000.0,-36982000.0,-19301000.0,-854000.0,20498000.0,-1437000.0,38000.0,19061000,,19061000,-4908000.0,14153000,,14153000,14153000,COHR,2012-12-31
365654,USD,2013,Q2,2013-05-07,2014-05-06,24085000.0,24475000.0,200058000.0,-123727000.0,76331000.0,-59434000.0,-37346000.0,-20146000.0,-1942000.0,16897000.0,1295000.0,52000.0,18192000,,18192000,-3190000.0,15002000,,15002000,15002000,COHR,2013-03-31
365654,USD,2013,Q3,2013-08-07,2014-08-05,24310000.0,24690000.0,213725000.0,-130461000.0,83264000.0,-61820000.0,-38748000.0,-21782000.0,-1290000.0,21444000.0,-953000.0,11000.0,20491000,,20491000,-3806000.0,16685000,,16685000,16685000,COHR,2013-06-30
365654,USD,2013,Q4,2013-11-27,2015-12-01,24387000.0,24833000.0,213141000.0,-128100000.0,85041000.0,-58981000.0,-36437000.0,-21556000.0,-988000.0,26060000.0,-308000.0,-35000.0,25752000,0.0,25752000,-5237000.0,20515000,,20515000,20515000,COHR,2013-09-30
365654,USD,2014,Q1,2014-02-06,2015-02-04,24542000.0,24915000.0,193556000.0,-116010000.0,77546000.0,-61762000.0,-39891000.0,-20937000.0,-934000.0,15784000.0,-220000.0,36000.0,15564000,,15564000,-3861000.0,11703000,,11703000,11703000,COHR,2013-12-31
365654,USD,2014,Q2,2014-05-06,2015-05-14,24782000.0,25044000.0,199222000.0,-118557000.0,80665000.0,-60625000.0,-39296000.0,-20413000.0,-916000.0,20040000.0,1040000.0,50000.0,21080000,,21080000,-5773000.0,15307000,,15307000,15307000,COHR,2014-03-31
365654,USD,2014,Q3,2014-08-05,2015-08-12,24837000.0,25115000.0,196517000.0,-122256000.0,74261000.0,-57113000.0,-37226000.0,-19046000.0,-841000.0,17148000.0,-223000.0,192000.0,16925000,0.0,16925000,-3926000.0,12999000,,12999000,12999000,COHR,2014-06-30
365654,USD,2014,Q4,2014-11-25,2016-11-29,24879000.0,25230000.0,205344000.0,-124426000.0,80918000.0,-57024000.0,-37617000.0,-18674000.0,-733000.0,23894000.0,1756000.0,47000.0,25650000,0.0,25650000,-6553000.0,19097000,,19097000,19097000,COHR,2014-09-30
365654,USD,2015,Q1,2015-02-04,2016-02-10,24936000.0,25197000.0,200615000.0,-118296000.0,82319000.0,-58010000.0,-38141000.0,-19173000.0,-696000.0,24309000.0,-685000.0,85000.0,23624000,,23624000,-6194000.0,17430000,,17430000,17430000,COHR,2014-12-31
365654,USD,2015,Q2,2015-05-14,2016-05-11,24709000.0,24891000.0,203721000.0,-120417000.0,83304000.0,-61172000.0,-39482000.0,-21024000.0,-666000.0,22132000.0,1990000.0,147000.0,24122000,,24122000,-5709000.0,18413000,,18413000,18413000,COHR,2015-03-31
365654,USD,2015,Q3,2015-08-12,2016-08-10,24737000.0,24972000.0,188502000.0,-109720000.0,78782000.0,-58071000.0,-36154000.0,-21270000.0,-647000.0,20711000.0,-608000.0,179000.0,20103000,-2017000.0,18086000,-4822000.0,13264000,,13264000,13264000,COHR,2015-06-30
365654,USD,2015,Q4,2015-12-01,2017-11-28,24634000.0,24908000.0,209622000.0,-118628000.0,90994000.0,-56698000.0,-36052000.0,-19988000.0,-658000.0,34296000.0,-1876000.0,136000.0,32420000,1316000.0,33736000,-6434000.0,27302000,0.0,27302000,27302000,COHR,2015-09-30
365654,USD,2016,Q1,2016-02-10,2017-02-09,23996000.0,24236000.0,190275000.0,-106377000.0,83898000.0,-56615000.0,-36774000.0,-19140000.0,-701000.0,27283000.0,-222000.0,225000.0,27061000,0.0,27061000,-6775000.0,20286000,0.0,20286000,20286000,COHR,2015-12-31
365654,USD,2016,Q2,2016-05-11,2017-05-10,24137000.0,24362000.0,199882000.0,-111283000.0,88599000.0,-62595000.0,-40940000.0,-20955000.0,-700000.0,26004000.0,-1780000.0,233000.0,24224000,0.0,24224000,-6443000.0,17781000,0.0,17781000,17781000,COHR,2016-03-31
365654,USD,2016,Q3,2016-08-10,2017-08-09,24192000.0,24467000.0,218767000.0,-124208000.0,94559000.0,-68271000.0,-46256000.0,-21441000.0,-574000.0,26288000.0,852000.0,288000.0,27140000,0.0,27140000,-8490000.0,18650000,0.0,18650000,18650000,COHR,2016-06-30
365654,USD,2016,Q4,2016-11-29,2017-11-28,24243000.0,24595000.0,248461000.0,-134125000.0,114336000.0,-66297000.0,-45168000.0,-20265000.0,-864000.0,48039000.0,-3568000.0,-949000.0,44471000,0.0,44471000,-13686000.0,30785000,0.0,30785000,30785000,COHR,2016-09-30
365654,USD,2017,Q1,2017-02-09,2018-02-07,24347000.0,24644000.0,346073000.0,-204559000.0,141514000.0,-104730000.0,-73768000.0,-27084000.0,-3878000.0,36784000.0,5172000.0,-7821000.0,41956000,5416000.0,47372000,-16674000.0,30698000,-290000.0,30408000,30408000,COHR,2016-12-31
365654,USD,2017,Q2,2017-05-10,2017-05-10,24496000.0,24757000.0,422833000.0,-243318000.0,179515000.0,-108426000.0,-72451000.0,-30536000.0,-5439000.0,71089000.0,-10255000.0,-8863000.0,60834000,0.0,60834000,-18646000.0,42188000,-343000.0,41845000,41845000,COHR,2017-03-31
365654,USD,2017,Q3,2017-08-09,2017-08-09,24537000.0,24823000.0,464107000.0,-256921000.0,207186000.0,-106609000.0,-72383000.0,-30483000.0,-3743000.0,100577000.0,-7942000.0,-7212000.0,92635000,0.0,92635000,-29764000.0,62871000,-1754000.0,61117000,61117000,COHR,2017-06-30
365654,USD,2017,Q4,2017-11-28,2017-11-28,24568000.0,24884000.0,490298000.0,-268244000.0,222054000.0,-107509000.0,-73482000.0,-31063000.0,-2964000.0,114545000.0,-10415000.0,-9376000.0,104130000,-2916000.0,101214000,-28327000.0,72887000,865000.0,73752000,73752000,COHR,2017-09-30
365654,USD,2018,Q1,2018-02-07,2018-02-07,24635000.0,25025000.0,477565000.0,-260542000.0,217023000.0,-107435000.0,-73437000.0,-31392000.0,-2606000.0,109588000.0,-8500000.0,-8276000.0,101088000,-265000.0,100823000,-58920000.0,41903000,-2000.0,41901000,41901000,COHR,2017-12-31
365654,USD,2018,Q2,2018-05-09,2018-05-09,24761000.0,25010000.0,481118000.0,-265688000.0,215430000.0,-114879000.0,-77146000.0,-34783000.0,-2950000.0,100551000.0,-9510000.0,-7285000.0,91041000,110000.0,91151000,-25849000.0,65302000,0.0,65302000,65302000,COHR,2018-03-31
365654,USD,2018,Q3,2018-08-07,2018-08-07,24658000.0,24877000.0,482342000.0,-274006000.0,208336000.0,-107201000.0,-70291000.0,-34303000.0,-2607000.0,101135000.0,-7625000.0,-4293000.0,93510000,-611000.0,92899000,-25929000.0,66970000,0.0,66970000,66970000,COHR,2018-06-30
365654,USD,2018,Q4,2018-11-27,2018-11-27,24234000.0,24492000.0,461548000.0,-271646000.0,189902000.0,-107393000.0,-72758000.0,-32108000.0,-2527000.0,82509000.0,-5827000.0,-4422000.0,76682000,0.0,76682000,-3497000.0,73185000,0.0,73185000,73185000,COHR,2018-09-30
