SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
808943,USD,2015,Q4,2016-02-03,2018-03-01,455790.0,455790.0,,,,-6104000.0,-1195000.0,-4909000.0,,-6104000.0,65000.0,65000.0,-6039000,0.0,-6039000,,-6039000,,-6039000,-6039000,CRVS,2015-12-31
808943,USD,2016,Q1,2016-05-05,2017-05-04,1176546.0,1176546.0,,,,-6426000.0,-1029000.0,-5397000.0,,-6426000.0,79000.0,79000.0,-6347000,,-6347000,,-6347000,,-6347000,-6347000,CRVS,2016-03-31
808943,USD,2016,Q2,2016-08-04,2017-08-03,19959459.0,19959459.0,,,,-8825000.0,-1706000.0,-7119000.0,,-8825000.0,180000.0,180000.0,-8645000,,-8645000,,-8645000,,-8645000,-8645000,CRVS,2016-06-30
808943,USD,2016,Q3,2016-11-03,2017-11-02,20183497.0,20183497.0,,,,-10476000.0,-2769000.0,-7707000.0,,-10476000.0,179000.0,179000.0,-10297000,,-10297000,,-10297000,,-10297000,-10297000,CRVS,2016-09-30
808943,USD,2016,Q4,2017-04-03,2018-03-01,20368662.0,20368662.0,,,,-11249000.0,-2116000.0,-9133000.0,,-11249000.0,163000.0,163000.0,-11086000,,-11086000,,-11086000,,-11086000,-11086000,CRVS,2016-12-31
808943,USD,2017,Q1,2017-05-04,2018-05-03,20349391.0,20349391.0,,,,-16217000.0,-2720000.0,-13497000.0,,-16217000.0,181000.0,181000.0,-16036000,,-16036000,,-16036000,,-16036000,-16036000,CRVS,2017-03-31
808943,USD,2017,Q2,2017-08-03,2018-08-02,20426849.0,20426849.0,,,,-15174000.0,-2788000.0,-12386000.0,,-15174000.0,193000.0,193000.0,-14981000,,-14981000,,-14981000,,-14981000,-14981000,CRVS,2017-06-30
808943,USD,2017,Q3,2017-11-02,2018-11-01,20501382.0,20501382.0,,,,-12944000.0,-2211000.0,-10733000.0,,-12944000.0,227000.0,227000.0,-12717000,,-12717000,,-12717000,,-12717000,-12717000,CRVS,2017-09-30
808943,USD,2017,Q4,2018-08-17,2018-08-17,20676402.0,20676402.0,,,,-12189000.0,-2500000.0,-9689000.0,,-12189000.0,260000.0,260000.0,-11929000,,-11929000,,-11929000,,-11929000,-11929000,CRVS,2017-12-31
808943,USD,2018,Q1,2018-05-03,2018-05-03,22580620.0,22580620.0,,,,-14644000.0,-2541000.0,-12103000.0,,-14644000.0,343000.0,343000.0,-14301000,,-14301000,,-14301000,,-14301000,-14301000,CRVS,2018-03-31
808943,USD,2018,Q2,2018-08-02,2018-08-02,28979514.0,28979514.0,,,,-12258000.0,-2543000.0,-9715000.0,,-12258000.0,627000.0,627000.0,-11631000,,-11631000,,-11631000,,-11631000,-11631000,CRVS,2018-06-30
808943,USD,2018,Q3,2018-11-01,2018-11-01,29087129.0,29087129.0,,,,-11149000.0,-2775000.0,-8374000.0,,-11149000.0,651000.0,651000.0,-10498000,,-10498000,,-10498000,,-10498000,-10498000,CRVS,2018-09-30
808943,USD,2018,Q4,2019-03-07,2019-03-07,29392577.0,29392577.0,,,,-11171000.0,-2777000.0,-8394000.0,,-11171000.0,662000.0,662000.0,-10509000,,-10509000,,-10509000,,-10509000,-10509000,CRVS,2018-12-31
808943,USD,2019,Q1,2019-05-09,2019-05-09,29292135.0,29292135.0,,,,-12305000.0,-2886000.0,-9419000.0,,-12305000.0,662000.0,662000.0,-11643000,,-11643000,,-11643000,,-11643000,-11643000,CRVS,2019-03-31
808943,USD,2019,Q2,2019-08-01,2019-08-01,29309150.0,29309150.0,,,,-13596000.0,-2956000.0,-10640000.0,,-13596000.0,618000.0,618000.0,-12978000,,-12978000,,-12978000,,-12978000,-12978000,CRVS,2019-06-30
808943,USD,2019,Q3,2019-10-29,2019-10-29,29389003.0,29389003.0,,,,-11513000.0,-2517000.0,-8996000.0,,-11513000.0,509000.0,509000.0,-11004000,,-11004000,,-11004000,,-11004000,-11004000,CRVS,2019-09-30
808943,USD,2019,Q4,2020-03-09,2020-03-09,29408952.0,29408952.0,,,,-11440000.0,-2520000.0,-8920000.0,,-11440000.0,393000.0,393000.0,-11047000,,-11047000,,-11047000,,-11047000,-11047000,CRVS,2019-12-31
808943,USD,2020,Q1,2020-04-30,2021-04-29,29411233.0,29411233.0,,,,-13269000.0,-3106000.0,-10163000.0,,-13269000.0,334000.0,334000.0,-12935000,,-12935000,,-12935000,,-12935000,-12935000,CRVS,2020-03-31
