SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
809274,USD,2011,Q2,2011-07-28,2012-08-02,3307460.0,3307460.0,,,,-16919000.0,-8961000.0,-7958000.0,,-16919000.0,-122000.0,-300000.0,-17041000,,-17041000,,-17041000,,-16997000,-22508000,CTIC,2011-06-30
809274,USD,2011,Q3,2011-10-25,2012-11-01,3699900.0,3699900.0,,,,-15290000.0,-7760000.0,-7530000.0,,-15290000.0,-1437000.0,-175000.0,-16727000,,-16727000,,-16727000,,-16662000,-29685000,CTIC,2011-09-30
809274,USD,2011,Q4,2012-03-08,2014-03-04,3774100.0,3774100.0,,,,-20911000.0,-12993000.0,-7918000.0,,-20911000.0,864000.0,1476000.0,-20047000,11000000.0,-9047000,,-9047000,,-8967000,-17868000,CTIC,2011-12-31
809274,USD,2012,Q1,2012-04-20,2013-05-02,4079200.0,4079200.0,,,,-18098000.0,-9928000.0,-8170000.0,,-18098000.0,569000.0,185000.0,-17529000,,-17529000,,-17529000,,-17446000,-17446000,CTIC,2012-03-31
809274,USD,2012,Q2,2012-08-02,2013-07-31,4253200.0,4253200.0,,,,-20292000.0,-11333000.0,-8959000.0,,-20292000.0,-798000.0,-102000.0,-21090000,-29108000.0,-50198000,,-50198000,,-50138000,-58596000,CTIC,2012-06-30
809274,USD,2012,Q3,2012-11-01,2013-10-30,5292100.0,5292100.0,,,,-14714000.0,-7763000.0,-6951000.0,,-14714000.0,-97000.0,-313000.0,-14811000,-435000.0,-15246000,,-15246000,,-15189000,-20203000,CTIC,2012-09-30
809274,USD,2012,Q4,2013-02-28,2015-03-12,9625500.0,9625500.0,0.0,0.0,0.0,-18341000.0,-9220000.0,-9121000.0,,-18341000.0,136000.0,174000.0,-18205000,-509000.0,-18714000,,-18714000,,-18601000,-19030000,CTIC,2012-12-31
809274,USD,2013,Q1,2013-05-02,2014-04-29,10669700.0,10669700.0,1126000.0,-55000.0,1071000.0,-19498000.0,-11143000.0,-8355000.0,,-18427000.0,-1094000.0,-48000.0,-19521000,-95000.0,-19616000,,-19616000,,-19384000,-19384000,CTIC,2013-03-31
809274,USD,2013,Q2,2013-07-31,2014-08-04,10772700.0,10772700.0,306000.0,-36000.0,270000.0,-18122000.0,-10102000.0,-8020000.0,,-17852000.0,-368000.0,-316000.0,-18220000,,-18220000,,-18220000,,-18011000,-18011000,CTIC,2013-06-30
809274,USD,2013,Q3,2013-10-30,2014-10-31,11099600.0,11099600.0,362000.0,-13000.0,349000.0,-15774000.0,-8529000.0,-7245000.0,,-15425000.0,-199000.0,-316000.0,-15624000,-60000.0,-15684000,,-15684000,,-15544000,-22444000,CTIC,2013-09-30
809274,USD,2013,Q4,2014-03-04,2016-02-17,13136000.0,13136000.0,32884000.0,-33000.0,32851000.0,-22673000.0,-12669000.0,-10004000.0,,10178000.0,-363000.0,-346000.0,9815000,155000.0,9970000,,9970000,,10196000,10196000,CTIC,2013-12-31
809274,USD,2014,Q1,2014-04-29,2015-05-06,14213800.0,14213800.0,1411000.0,-145000.0,1266000.0,-28929000.0,-16750000.0,-12179000.0,,-27663000.0,-1533000.0,-464000.0,-29196000,,-29196000,,-29196000,,-29002000,-29002000,CTIC,2014-03-31
809274,USD,2014,Q2,2014-08-04,2015-08-06,14445300.0,14445300.0,1343000.0,-202000.0,1141000.0,-27809000.0,-13792000.0,-14017000.0,,-26668000.0,-811000.0,-467000.0,-27479000,,-27479000,,-27479000,,-27399000,-27399000,CTIC,2014-06-30
809274,USD,2014,Q3,2014-10-31,2015-11-05,14513800.0,14709700.0,39534000.0,-252000.0,39282000.0,-31810000.0,-12563000.0,-16528000.0,,7472000.0,-3112000.0,-472000.0,4360000,,4360000,,4360000,,4603000,4603000,CTIC,2014-09-30
