SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
446395,USD,2011,Q2,2011-08-15,2012-07-31,25914750.0,25914750.0,39949000.0,-18599000.0,21350000.0,-17029000.0,-6133000.0,,-10896000.0,4321000.0,-8013000.0,-7358000.0,-3692000,-18000.0,-3710000,-27000.0,-1425000,627000.0,-1479000,-4706000,CUZ,2011-06-30
446395,USD,2011,Q3,2011-11-02,2012-10-30,25928750.0,25928750.0,31543000.0,-13799000.0,17744000.0,-13014000.0,-4295000.0,,-8719000.0,4730000.0,-7374000.0,-6601000.0,-2644000,-30000.0,-2674000,180000.0,166000,5440000.0,3414000,188000,CUZ,2011-09-30
446395,USD,2011,Q4,2012-03-20,2014-02-13,25928750.0,25928750.0,1146000.0,6433000.0,7579000.0,-5276000.0,-6338000.0,,1062000.0,2303000.0,-12170000.0,-5174000.0,-9867000,-90391000.0,-100258000,-31000.0,-126056000,1830000.0,-125730000,-128957000,CUZ,2011-12-31
446395,USD,2012,Q1,2012-05-09,2013-05-08,26000000.0,26000000.0,34652000.0,-14164000.0,20488000.0,-17140000.0,-6625000.0,,-10515000.0,3348000.0,-6948000.0,-6268000.0,-3600000,-250000.0,-3850000,-27000.0,-1691000,-9663000.0,-9885000,-13112000,CUZ,2012-03-31
446395,USD,2012,Q2,2012-07-31,2013-07-29,26041250.0,26041250.0,32496000.0,-14294000.0,18202000.0,-15427000.0,-5644000.0,,-9783000.0,2775000.0,-6441000.0,-5875000.0,-3666000,-50000.0,-3716000,-33000.0,6013000,4217000.0,9628000,6401000,CUZ,2012-06-30
446395,USD,2012,Q3,2012-10-30,2013-10-30,26048250.0,26050750.0,39286000.0,-15535000.0,23751000.0,-16941000.0,-6399000.0,,-10542000.0,6810000.0,-7045000.0,-5793000.0,-235000,-864000.0,-1099000,-60000.0,1110000,12168000.0,12670000,9444000,CUZ,2012-09-30
446395,USD,2012,Q4,2013-02-13,2015-05-07,26027500.0,26033000.0,30412000.0,-13399000.0,17013000.0,-13124000.0,-4540000.0,,-8584000.0,3889000.0,-9131000.0,-5997000.0,-5242000,2345000.0,-2897000,29000.0,22173000,13592000.0,33315000,30088000,CUZ,2012-12-31
446395,USD,2013,Q1,2013-05-08,2014-05-07,26029750.0,26063000.0,38262000.0,-17118000.0,21144000.0,-17316000.0,-6070000.0,,-11246000.0,3828000.0,-6390000.0,-4935000.0,-2562000,56919000.0,54357000,-1000.0,56008000,896000.0,56397000,53170000,CUZ,2013-03-31
446395,USD,2013,Q2,2013-07-29,2014-07-29,29665250.0,29665250.0,42521000.0,-19227000.0,23294000.0,-19480000.0,-4552000.0,,-14928000.0,3814000.0,-4972000.0,-4241000.0,-1158000,73000.0,-1085000,-1000.0,46000,773000.0,304000,-5579000,CUZ,2013-06-30
446395,USD,2013,Q3,2013-10-30,2014-10-29,40856500.0,40900750.0,50434000.0,-23132000.0,27302000.0,-25146000.0,-6635000.0,,-18511000.0,2156000.0,-6221000.0,-5149000.0,-4065000,-3578000.0,-7643000,-1000.0,55434000,9603000.0,61158000,59381000,CUZ,2013-09-30
