SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
890460,USD,2010,Q4,2011-06-03,2013-06-11,6813462.0,7095645.0,38822000.0,-33507000.0,5315000.0,-5345000.0,-5345000.0,,,-30000.0,1071000.0,0.0,1041000,0.0,1041000,692000.0,1733000,,1609000,1609000,CVCO,2011-03-31
890460,USD,2011,Q1,2011-08-09,2012-08-09,6838324.0,6894380.0,98981000.0,-82821000.0,16160000.0,-16990000.0,-16990000.0,,,-830000.0,-1101000.0,-1461000.0,-1931000,22009000.0,20078000,610000.0,20688000,,10222000,10222000,CVCO,2011-06-30
890460,USD,2011,Q2,2011-11-09,2012-11-07,6890122.0,6937807.0,130008000.0,-101780000.0,28228000.0,-21588000.0,-21588000.0,,,6640000.0,-1661000.0,-1916000.0,4979000,,4979000,-1807000.0,3172000,,1685000,1685000,CVCO,2011-09-30
890460,USD,2011,Q3,2012-02-08,2013-02-06,6890517.0,6951958.0,114564000.0,-87642000.0,26922000.0,-20535000.0,-20535000.0,,,6387000.0,-1603000.0,-2043000.0,4784000,,4784000,-1804000.0,2980000,,1677000,1677000,CVCO,2011-12-31
890460,USD,2011,Q4,2012-06-12,2014-06-11,6890785.0,7012163.0,99513000.0,-74878000.0,24635000.0,-20687000.0,-20687000.0,,,3948000.0,-1562000.0,-1845000.0,2386000,0.0,2386000,502000.0,2888000,,1653000,1653000,CVCO,2012-03-31
890460,USD,2012,Q1,2012-08-09,2013-08-06,6923676.0,6995771.0,118781000.0,-94726000.0,24055000.0,-19975000.0,-19975000.0,,,4080000.0,-1288000.0,-1683000.0,2792000,,2792000,-1174000.0,1618000,,860000,860000,CVCO,2012-06-30
890460,USD,2012,Q2,2012-11-07,2013-11-06,6967954.0,7041755.0,110084000.0,-84377000.0,25707000.0,-20118000.0,-20118000.0,,,5589000.0,-1182000.0,-1570000.0,4407000,,4407000,-1726000.0,2681000,,1254000,1254000,CVCO,2012-09-30
890460,USD,2012,Q3,2013-02-06,2014-02-06,6967954.0,7037333.0,114603000.0,-88028000.0,26575000.0,-20307000.0,-20307000.0,,,6268000.0,-987000.0,-1403000.0,5281000,,5281000,-2260000.0,3021000,,1457000,1457000,CVCO,2012-12-31
890460,USD,2012,Q4,2013-06-11,2015-06-10,6967240.0,7033957.0,108832000.0,-84814000.0,24018000.0,-18913000.0,-18913000.0,,,5105000.0,-937000.0,-1317000.0,4168000,,4168000,-1191000.0,2977000,,1392000,1392000,CVCO,2013-03-31
890460,USD,2013,Q1,2013-08-06,2014-08-06,6968173.0,7049234.0,133987000.0,-104589000.0,29398000.0,-22480000.0,-22480000.0,,,6918000.0,-879000.0,-1254000.0,6039000,,6039000,-2178000.0,3861000,,1826000,1826000,CVCO,2013-06-30
