SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
899362,USD,2011,Q2,2011-08-12,2012-08-14,27725.0,27725.0,168000.0,-72000.0,96000.0,-3893000.0,-2034000.0,-1859000.0,,-3797000.0,-6000.0,13000.0,-3803000,125000.0,-3678000,126000.0,-3552000,,-3552000,-3734000,CYCC,2011-06-30
899362,USD,2011,Q3,2011-11-14,2012-11-16,31958.0,4567.0,,,,-3880000.0,-1814000.0,-2066000.0,,-3880000.0,37000.0,9000.0,-3843000,440000.0,-3403000,126000.0,-3277000,-168000.0,-3445000,-3627000,CYCC,2011-09-30
899362,USD,2011,Q4,2012-03-30,2014-03-26,32314.0,4277.0,-360000.0,178000.0,-182000.0,-3089000.0,-888000.0,-2201000.0,,-3271000.0,-3000.0,12000.0,-3274000,-34000.0,-3308000,122000.0,-3186000,-472000.0,-3658000,-3840000,CYCC,2011-12-31
899362,USD,2012,Q1,2012-10-11,2013-05-13,32583.0,4656.0,,,,-3115000.0,-1768000.0,-1347000.0,,-3115000.0,167000.0,6000.0,-2948000,-14000.0,-2962000,168000.0,-2794000,-161000.0,-2955000,-3137000,CYCC,2012-03-31
899362,USD,2012,Q2,2012-08-14,2013-08-14,35103.0,35103.0,26000.0,,26000.0,-3838000.0,-2121000.0,-1717000.0,,-3812000.0,152000.0,6000.0,-3660000,154000.0,-3506000,127000.0,-3379000,-198000.0,-3577000,-3759000,CYCC,2012-06-30
899362,USD,2012,Q3,2012-11-16,2013-11-14,35108.0,35108.0,38000.0,,38000.0,-3560000.0,-2028000.0,-1532000.0,,-3522000.0,12000.0,5000.0,-3510000,-62000.0,-3572000,419000.0,-3153000,1263000.0,-1890000,-2072000,CYCC,2012-09-30
899362,USD,2012,Q4,2013-04-01,2014-03-26,35347.0,63274.0,5000.0,,5000.0,-5082000.0,-2663000.0,-1996000.0,,-5077000.0,60000.0,5000.0,-5017000,-50000.0,-5067000,637000.0,-4430000,-334000.0,-4764000,-4946000,CYCC,2012-12-31
899362,USD,2013,Q1,2013-05-13,2014-05-13,40777.0,40777.0,212000.0,,212000.0,-4263000.0,-2683000.0,-1580000.0,,-4051000.0,125000.0,1000.0,-3926000,570000.0,-3356000,258000.0,-3098000,16000.0,-3082000,-11570000,CYCC,2013-03-31
899362,USD,2013,Q2,2013-08-14,2014-08-12,57833.0,58008.0,264000.0,,264000.0,-4418000.0,-1787000.0,-2631000.0,,-4154000.0,5402000.0,3000.0,1248000,0.0,1248000,230000.0,1478000,14000.0,1492000,1429000,CYCC,2013-06-30
899362,USD,2013,Q3,2013-11-14,2014-11-12,74089.0,74089.0,309000.0,,309000.0,-6104000.0,-1529000.0,-4575000.0,,-5795000.0,49000.0,8000.0,-5746000,,-5746000,730000.0,-5016000,12000.0,-5004000,-5728000,CYCC,2013-09-30
899362,USD,2013,Q4,2014-03-26,2015-03-31,79836.0,79662.0,299000.0,,299000.0,-4371000.0,-1782000.0,-2491000.0,,-4072000.0,46000.0,1000.0,-4026000,0.0,-4026000,452000.0,-3574000,15000.0,-3559000,-3609000,CYCC,2013-12-31
899362,USD,2014,Q1,2014-05-13,2015-05-12,81344.0,81344.0,396000.0,,396000.0,-5853000.0,-1462000.0,-4344000.0,,-5457000.0,11000.0,1000.0,-5446000,,-5446000,569000.0,-4877000,8000.0,-4869000,-4919000,CYCC,2014-03-31
899362,USD,2014,Q2,2014-08-12,2015-08-12,94055.0,94055.0,356000.0,,356000.0,-5995000.0,-1386000.0,-4545000.0,,-5639000.0,-16000.0,1000.0,-5655000,20000.0,-5635000,816000.0,-4819000,7000.0,-4812000,-4862000,CYCC,2014-06-30
899362,USD,2014,Q3,2014-11-12,2015-11-12,94448.0,94448.0,735000.0,,735000.0,-6409000.0,-1433000.0,-4972000.0,,-5674000.0,13000.0,3000.0,-5661000,,-5661000,750000.0,-4911000,4000.0,-4907000,-4957000,CYCC,2014-09-30
899362,USD,2014,Q4,2015-03-31,2016-03-29,95930.0,95930.0,247000.0,,247000.0,-6256000.0,-1613000.0,-4416000.0,,-6009000.0,102000.0,1000.0,-5907000,0.0,-5907000,1108000.0,-4799000,0.0,-4799000,-4849000,CYCC,2014-12-31
899362,USD,2015,Q1,2015-05-12,2016-05-13,108569.0,108569.0,512000.0,,512000.0,-5830000.0,-1468000.0,-4342000.0,,-5318000.0,-357000.0,1000.0,-5675000,,-5675000,763000.0,-4912000,,-4912000,-4962000,CYCC,2015-03-31
899362,USD,2015,Q2,2015-08-12,2016-08-11,143285.0,143285.0,296000.0,,296000.0,-3917000.0,-1333000.0,-2580000.0,,-3621000.0,-131000.0,2000.0,-3752000,,-3752000,405000.0,-3347000,,-3347000,-3397000,CYCC,2015-06-30
899362,USD,2015,Q3,2015-11-12,2016-11-14,144495.0,144495.0,715000.0,,715000.0,-4136000.0,-1205000.0,-2904000.0,,-3421000.0,234000.0,2000.0,-3187000,,-3187000,478000.0,-2709000,,-2709000,-2759000,CYCC,2015-09-30
899362,USD,2015,Q4,2016-03-29,2017-03-31,146270.0,146270.0,421000.0,,421000.0,-4282000.0,-1726000.0,-2556000.0,,-3861000.0,-11000.0,4000.0,-3872000,,-3872000,498000.0,-3374000,,-3374000,-3425000,CYCC,2015-12-31
899362,USD,2016,Q1,2016-05-13,2017-05-12,148260.0,148260.0,139000.0,,139000.0,-3883000.0,-1384000.0,-2499000.0,,-3744000.0,210000.0,10000.0,-3534000,,-3534000,493000.0,-3041000,,-3041000,-3091000,CYCC,2016-03-31
899362,USD,2016,Q2,2016-08-11,2017-08-10,150010.0,150010.0,222000.0,,222000.0,-3982000.0,-1345000.0,-2637000.0,,-3760000.0,169000.0,13000.0,-3591000,,-3591000,626000.0,-2965000,,-2965000,-3015000,CYCC,2016-06-30
899362,USD,2016,Q3,2016-11-14,2017-11-13,173685.0,173685.0,205000.0,,205000.0,-3682000.0,-1273000.0,-2409000.0,,-3477000.0,77000.0,8000.0,-3400000,,-3400000,454000.0,-2946000,,-2946000,-2996000,CYCC,2016-09-30
899362,USD,2016,Q4,2017-03-31,2018-03-30,213040.0,213040.0,277000.0,,277000.0,-3446000.0,-1514000.0,-1932000.0,,-3169000.0,-80000.0,6000.0,-3249000,,-3249000,410000.0,-2839000,,-2839000,-2889000,CYCC,2016-12-31
899362,USD,2017,Q1,2017-05-12,2018-05-14,213566.0,213566.0,0.0,,0.0,-2693000.0,-1381000.0,-1312000.0,,-2693000.0,832000.0,12000.0,-1861000,,-1861000,306000.0,-1555000,,-1555000,-1605000,CYCC,2017-03-31
899362,USD,2017,Q2,2017-08-10,2018-08-09,221722.0,221722.0,0.0,,0.0,-2489000.0,-1267000.0,-1222000.0,,-2489000.0,34000.0,18000.0,-2455000,,-2455000,268000.0,-2187000,,-2187000,-2237000,CYCC,2017-06-30
899362,USD,2017,Q3,2017-11-13,2018-11-13,491772.0,491772.0,0.0,,0.0,-2112000.0,-1154000.0,-958000.0,,-2112000.0,36000.0,30000.0,-2076000,,-2076000,219000.0,-1857000,,-1857000,-8918000,CYCC,2017-09-30
899362,USD,2017,Q4,2018-03-30,2019-03-28,599170.0,599170.0,0.0,,0.0,-2197000.0,-1452000.0,-745000.0,,-2197000.0,126000.0,58000.0,-2071000,,-2071000,200000.0,-1871000,,-1871000,-2086000,CYCC,2017-12-31
899362,USD,2018,Q1,2018-05-14,2018-05-14,599872.0,599872.0,0.0,,0.0,-2162000.0,-1364000.0,-798000.0,,-2162000.0,631000.0,69000.0,-1531000,,-1531000,182000.0,-1349000,,-1349000,-1399000,CYCC,2018-03-31
899362,USD,2018,Q2,2018-08-09,2018-08-09,599872.0,599872.0,0.0,,0.0,-2465000.0,-1283000.0,-1182000.0,,-2465000.0,111000.0,84000.0,-2354000,,-2354000,502000.0,-1852000,,-1852000,-1902000,CYCC,2018-06-30
899362,USD,2018,Q3,2018-11-13,2018-11-13,599872.0,599872.0,0.0,,0.0,-2455000.0,-1250000.0,-1205000.0,,-2455000.0,86000.0,85000.0,-2369000,,-2369000,301000.0,-2068000,,-2068000,-2118000,CYCC,2018-09-30
899362,USD,2018,Q4,2019-03-28,2019-03-28,619209.0,619209.0,150000.0,,150000.0,-2616000.0,-1474000.0,-1142000.0,,-2466000.0,95000.0,93000.0,-2371000,,-2371000,352000.0,-2019000,,-2019000,-2070000,CYCC,2018-12-31
