SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
741324,USD,2009,Q2,2009-08-10,2010-08-09,446752000.0,447421000.0,2903701000.0,-388272000.0,2515429000.0,-2056265000.0,-155879000.0,,-245300000.0,459164000.0,-124204000.0,-79870000.0,334960000,-196405000.0,138555000,-75135000.0,63420000,,63420000,63420000,DISH,2009-06-30
741324,USD,2009,Q3,2009-11-09,2010-11-05,446823000.0,447431000.0,2892147000.0,-439590000.0,2452557000.0,-2125964000.0,-157648000.0,,-228395000.0,326593000.0,-93181000.0,-91266000.0,233412000,-131930000.0,101482000,-20989000.0,80493000,,80562000,80562000,DISH,2009-09-30
741324,USD,2009,Q4,2010-03-01,2012-02-23,447047000.0,451499000.0,2962982000.0,-419497000.0,2543485000.0,-2155851000.0,-152177000.0,,-243045000.0,387634000.0,-81737000.0,-108102000.0,305897000,-32689000.0,273208000,-94402000.0,178806000,,178879000,178879000,DISH,2009-12-31
741324,USD,2010,Q1,2010-05-10,2011-05-02,446732000.0,447530000.0,3057395000.0,-412013000.0,2645382000.0,-2158210000.0,-150820000.0,,-239662000.0,487172000.0,-102515000.0,-107170000.0,384657000,-30193000.0,354464000,-123549000.0,230915000,,230947000,230947000,DISH,2010-03-31
741324,USD,2010,Q2,2010-08-09,2011-08-09,447986000.0,448868000.0,3169042000.0,-405390000.0,2763652000.0,-2207133000.0,-155016000.0,,-264446000.0,556519000.0,-112104000.0,-108376000.0,444415000,-30709000.0,413706000,-156722000.0,256984000,,256990000,256990000,DISH,2010-06-30
741324,USD,2010,Q3,2010-11-05,2011-11-07,445662000.0,446332000.0,3207728000.0,-446473000.0,2761255000.0,-2215501000.0,-155425000.0,,-242859000.0,545754000.0,-80027000.0,-102354000.0,465727000,-91097000.0,374630000,-129652000.0,244978000,,244964000,244964000,DISH,2010-09-30
741324,USD,2010,Q4,2011-02-24,2013-02-20,443080000.0,443658000.0,3206579000.0,-389618000.0,2816961000.0,-2240122000.0,-164582000.0,,-236998000.0,576839000.0,-103977000.0,-111719000.0,472862000,-73457000.0,399405000,-147550000.0,251855000,,251828000,251828000,DISH,2010-12-31
741324,USD,2011,Q1,2011-05-02,2012-05-07,443360000.0,448850000.0,3224131000.0,-354899000.0,2869232000.0,-2226556000.0,-161784000.0,,-229697000.0,642676000.0,-102260000.0,-113893000.0,540416000,340677000.0,881093000,-331767000.0,549326000,,549394000,549394000,DISH,2011-03-31
741324,USD,2011,Q2,2011-08-09,2012-08-10,445579000.0,447297000.0,3590161000.0,-342801000.0,3247360000.0,-2505850000.0,-325262000.0,,-237049000.0,741510000.0,-154757000.0,-134963000.0,586753000,-23728000.0,563025000,-228187000.0,334838000,,334760000,334760000,DISH,2011-06-30
741324,USD,2011,Q3,2011-11-07,2012-11-06,446133000.0,447731000.0,3602651000.0,-394818000.0,3207833000.0,-2582994000.0,-382620000.0,,-229146000.0,624839000.0,-126776000.0,-147074000.0,498063000,,498063000,-179085000.0,318978000,,319099000,319099000,DISH,2011-09-30
