SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
113753,USD,2010,Q2,2010-08-09,2011-08-05,39819000.0,40023000.0,142000000.0,-79549000.0,62451000.0,-16077000.0,-16077000.0,,,46374000.0,58000.0,58000.0,46432000,-7051000.0,39381000,-11383000.0,27998000,,27998000,27998000,DRQ,2010-06-30
113753,USD,2010,Q3,2010-11-04,2011-11-04,39830000.0,40035000.0,140123000.0,-79421000.0,60702000.0,-15601000.0,-15601000.0,,,45101000.0,90000.0,90000.0,45191000,-7387000.0,37804000,-10147000.0,27657000,,27657000,27657000,DRQ,2010-09-30
113753,USD,2010,Q4,2011-02-28,2013-02-28,39935000.0,40210000.0,141595000.0,-81822000.0,59773000.0,-24717000.0,-15958000.0,,,35056000.0,8000.0,8000.0,35064000,-7978000.0,27086000,-6212000.0,20874000,,20874000,20874000,DRQ,2010-12-31
113753,USD,2011,Q1,2011-05-09,2012-05-07,40049000.0,40320000.0,137667000.0,-80113000.0,57554000.0,-18261000.0,-18261000.0,,,39293000.0,88000.0,88000.0,39381000,-8698000.0,30683000,-9011000.0,21672000,,21672000,21672000,DRQ,2011-03-31
113753,USD,2011,Q2,2011-08-05,2012-08-06,40058000.0,40312000.0,136994000.0,-82000000.0,54994000.0,-16037000.0,-16037000.0,,,38957000.0,75000.0,75000.0,39032000,-8529000.0,30503000,-8295000.0,22208000,,22208000,22208000,DRQ,2011-06-30
113753,USD,2011,Q3,2011-11-04,2012-11-09,40059000.0,40296000.0,155035000.0,-96487000.0,58548000.0,-18274000.0,-18274000.0,,,40274000.0,69000.0,69000.0,40343000,-8498000.0,31845000,-8582000.0,23263000,,23263000,23263000,DRQ,2011-09-30
113753,USD,2011,Q4,2012-02-27,2014-02-28,40118000.0,40360000.0,171646000.0,-103248000.0,68398000.0,-22657000.0,-17938000.0,,,45741000.0,133000.0,133000.0,45874000,-8901000.0,36973000,-8849000.0,28124000,,28124000,28124000,DRQ,2011-12-31
113753,USD,2012,Q1,2012-05-07,2013-05-03,40184000.0,40411000.0,177124000.0,-107050000.0,70074000.0,-20432000.0,-20432000.0,,,49642000.0,98000.0,98000.0,49740000,-9610000.0,40130000,-11333000.0,28797000,,28797000,28797000,DRQ,2012-03-31
113753,USD,2012,Q2,2012-08-06,2013-08-02,40268000.0,40453000.0,176570000.0,-108325000.0,68245000.0,-17418000.0,-17418000.0,,,50827000.0,69000.0,69000.0,50896000,-9478000.0,41418000,-11615000.0,29803000,,29803000,29803000,DRQ,2012-06-30
113753,USD,2012,Q3,2012-11-09,2013-11-01,40423000.0,40589000.0,190860000.0,-121821000.0,69039000.0,-20764000.0,-20764000.0,,,48275000.0,141000.0,141000.0,48416000,-9552000.0,38864000,-9207000.0,29657000,,29657000,29657000,DRQ,2012-09-30
113753,USD,2012,Q4,2013-02-28,2015-02-27,40453000.0,40639000.0,188477000.0,-114470000.0,74007000.0,-23604000.0,-23604000.0,,,50403000.0,122000.0,122000.0,50525000,-8815000.0,41710000,-10758000.0,30952000,,30952000,30952000,DRQ,2012-12-31
113753,USD,2013,Q1,2013-05-03,2014-05-09,40529000.0,40713000.0,193155000.0,-116328000.0,76827000.0,-15629000.0,-15629000.0,,,61198000.0,102000.0,102000.0,61300000,-9021000.0,52279000,-12437000.0,39842000,,39842000,39842000,DRQ,2013-03-31
113753,USD,2013,Q2,2013-08-02,2014-07-30,40636000.0,40821000.0,222031000.0,-133203000.0,88828000.0,-23273000.0,-23273000.0,,,65555000.0,161000.0,161000.0,65716000,-9340000.0,56376000,-13449000.0,42927000,,42927000,42927000,DRQ,2013-06-30
113753,USD,2013,Q3,2013-11-01,2014-10-31,40683000.0,40911000.0,224724000.0,-132131000.0,92593000.0,-29830000.0,-29830000.0,,,62763000.0,199000.0,199000.0,62962000,-10778000.0,52184000,-12189000.0,39995000,,39995000,39995000,DRQ,2013-09-30
113753,USD,2013,Q4,2014-02-28,2016-02-25,40744000.0,41015000.0,232462000.0,-132244000.0,100218000.0,-26074000.0,-26074000.0,,,74144000.0,90000.0,90000.0,74234000,-10976000.0,63258000,-16195000.0,47063000,,47063000,47063000,DRQ,2013-12-31
113753,USD,2014,Q1,2014-05-09,2015-04-30,40678000.0,40887000.0,204073000.0,-110787000.0,93286000.0,-23935000.0,-23935000.0,,,69351000.0,76000.0,76000.0,69427000,-10784000.0,58643000,-16025000.0,42618000,,42618000,42618000,DRQ,2014-03-31
113753,USD,2014,Q2,2014-07-30,2015-07-30,40327000.0,40562000.0,230315000.0,-124993000.0,105322000.0,-25520000.0,-25520000.0,,,79802000.0,261000.0,261000.0,80063000,-10848000.0,69215000,-17891000.0,51324000,,51324000,51324000,DRQ,2014-06-30
113753,USD,2014,Q3,2014-10-31,2015-10-29,39630000.0,39880000.0,241750000.0,-135250000.0,106500000.0,-20845000.0,-20845000.0,,,85655000.0,203000.0,203000.0,85858000,-12663000.0,73195000,-17512000.0,55683000,,55683000,55683000,DRQ,2014-09-30
113753,USD,2014,Q4,2015-02-27,2017-02-28,39221000.0,39431000.0,254819000.0,-142497000.0,112322000.0,-22462000.0,-22462000.0,,,89860000.0,92000.0,92000.0,89952000,-11625000.0,78327000,-19240000.0,59087000,,59087000,59087000,DRQ,2014-12-31
