SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
740485,USD,2016,Q4,2017-05-09,2018-05-29,141170000.0,133990000.0,1889000000.0,-1414000000.0,475000000.0,-488000000.0,-348000000.0,,-153000000.0,-13000000.0,-21000000.0,-21000000.0,-34000000,-153000000.0,-187000000,49000000.0,-138000000,0.0,-148000000,-148000000,DXC,2017-03-31
740485,USD,2017,Q1,2017-08-09,2018-08-08,283830000.0,289470000.0,5236000000.0,-4309000000.0,927000000.0,-591000000.0,-393000000.0,,-342000000.0,336000000.0,-58000000.0,-58000000.0,278000000,-187000000.0,91000000,17000000.0,108000000,65000000.0,159000000,159000000,DXC,2017-06-30
740485,USD,2017,Q2,2017-11-08,2018-11-08,284870000.0,289290000.0,5453000000.0,-3870000000.0,1583000000.0,-1054000000.0,-644000000.0,,-482000000.0,529000000.0,-57000000.0,-57000000.0,472000000,-188000000.0,284000000,-79000000.0,205000000,60000000.0,256000000,256000000,DXC,2017-09-30
740485,USD,2017,Q3,2018-02-09,2018-02-09,285380000.0,289770000.0,6186000000.0,-4521000000.0,1665000000.0,-964000000.0,-475000000.0,,-481000000.0,701000000.0,-50000000.0,-50000000.0,651000000,-213000000.0,438000000,341000000.0,779000000,,776000000,776000000,DXC,2017-12-31
740485,USD,2017,Q4,2018-05-29,2018-05-29,285640000.0,290550000.0,7681000000.0,-5244000000.0,2437000000.0,-1283000000.0,-498000000.0,,-659000000.0,1154000000.0,-81000000.0,-81000000.0,1073000000,-215000000.0,858000000,-168000000.0,690000000,-125000000.0,560000000,560000000,DXC,2018-03-31
740485,USD,2018,Q1,2018-08-08,2018-08-08,284440000.0,289300000.0,5282000000.0,-3867000000.0,1415000000.0,-817000000.0,-440000000.0,,-471000000.0,598000000.0,-53000000.0,-53000000.0,545000000,-185000000.0,360000000,-129000000.0,231000000,35000000.0,259000000,259000000,DXC,2018-06-30
740485,USD,2018,Q2,2018-11-08,2018-11-08,281370000.0,285780000.0,5013000000.0,-3518000000.0,1495000000.0,-956000000.0,-569000000.0,,-484000000.0,539000000.0,-50000000.0,-50000000.0,489000000,-157000000.0,332000000,-73000000.0,259000000,0.0,262000000,262000000,DXC,2018-09-30
740485,USD,2018,Q3,2019-02-08,2019-02-08,275660000.0,278990000.0,5178000000.0,-3725000000.0,1453000000.0,-854000000.0,-491000000.0,,-508000000.0,599000000.0,-54000000.0,-54000000.0,545000000,-76000000.0,469000000,-3000000.0,466000000,0.0,462000000,462000000,DXC,2018-12-31
740485,USD,2018,Q4,2019-06-13,2019-06-13,268690000.0,271650000.0,5280000000.0,-3836000000.0,1444000000.0,-1300000000.0,-459000000.0,,-505000000.0,144000000.0,257000000.0,-49000000.0,401000000,-47000000.0,354000000,-83000000.0,271000000,0.0,274000000,274000000,DXC,2019-03-31
740485,USD,2019,Q1,2019-08-09,2019-08-09,267000000.0,268970000.0,4890000000.0,-3622000000.0,1268000000.0,-859000000.0,-507000000.0,,-470000000.0,409000000.0,-61000000.0,-61000000.0,348000000,-142000000.0,206000000,-38000000.0,168000000,0.0,163000000,163000000,DXC,2019-06-30
740485,USD,2019,Q2,2019-11-12,2019-11-12,258710000.0,258710000.0,4851000000.0,-3679000000.0,1172000000.0,-847000000.0,-489000000.0,,-467000000.0,325000000.0,-37000000.0,-37000000.0,288000000,-2287000000.0,-1999000000,-116000000.0,-2115000000,0.0,-2119000000,-2119000000,DXC,2019-09-30
740485,USD,2019,Q3,2020-02-07,2021-02-05,255090000.0,256050000.0,5021000000.0,-3827000000.0,1194000000.0,-997000000.0,-518000000.0,,-479000000.0,197000000.0,57000000.0,-60000000.0,254000000,-127000000.0,127000000,-37000000.0,90000000,,82000000,82000000,DXC,2019-12-31
740485,USD,2019,Q4,2020-06-01,2020-06-01,253480000.0,250550000.0,4815000000.0,-3773000000.0,1042000000.0,-1289000000.0,-536000000.0,,-526000000.0,-247000000.0,543000000.0,-60000000.0,296000000,-3858000000.0,-3562000000,61000000.0,-3501000000,0.0,-3495000000,-3495000000,DXC,2020-03-31
