SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Ticker,Report_Date
709578,USD,2010,Q2,2010-08-06,2011-08-08,43460458.0,43557788.0,211397000.0,-70304000.0,141093000.0,-100616000.0,,,-20167000.0,40477000.0,-7305000.0,-10474000.0,33172000,,33172000,-11665000.0,21507000,,21507000,21507000,EE,2010-06-30
709578,USD,2010,Q3,2010-11-08,2011-11-07,42921044.0,43103698.0,280342000.0,-88523000.0,191819000.0,-107721000.0,,,-20685000.0,84098000.0,-7030000.0,-10638000.0,77068000,10286000.0,87354000,-27172000.0,60182000,,60182000,60182000,EE,2010-09-30
709578,USD,2010,Q4,2011-02-28,2013-02-25,42398491.0,42652388.0,181344000.0,-54978000.0,126366000.0,-112582000.0,,,-20875000.0,13784000.0,-6129000.0,-10364000.0,7655000,0.0,7655000,-190000.0,7465000,,7465000,7465000,EE,2010-12-31
709578,USD,2011,Q1,2011-05-06,2012-05-04,42308097.0,42523285.0,176112000.0,-61233000.0,114879000.0,-100406000.0,,,-20936000.0,14473000.0,-5699000.0,-10690000.0,8774000,0.0,8774000,-1999000.0,6775000,,6775000,6775000,EE,2011-03-31
709578,USD,2011,Q2,2011-08-08,2012-08-03,41853552.0,42076659.0,242605000.0,-77615000.0,164990000.0,-106869000.0,,,-19524000.0,58121000.0,-8389000.0,-11293000.0,49732000,,49732000,-16742000.0,32990000,,32990000,32990000,EE,2011-06-30
709578,USD,2011,Q3,2011-11-07,2012-11-02,41307632.0,41564973.0,307633000.0,-98879000.0,208754000.0,-106539000.0,,,-20315000.0,102215000.0,-10226000.0,-11688000.0,91989000,,91989000,-33668000.0,58321000,,58321000,58321000,EE,2011-09-30
709578,USD,2011,Q4,2012-02-27,2014-02-26,39930251.0,40183319.0,191663000.0,-60929000.0,130734000.0,-114740000.0,,,-20556000.0,15994000.0,-9242000.0,-11408000.0,6752000,0.0,6752000,-1299000.0,5453000,,5453000,5453000,EE,2011-12-31
709578,USD,2012,Q1,2012-05-04,2013-05-08,39911032.0,39999509.0,168578000.0,-51993000.0,116585000.0,-104543000.0,,,-20518000.0,12042000.0,-7921000.0,-11241000.0,4121000,,4121000,-777000.0,3344000,,3344000,3344000,EE,2012-03-31
709578,USD,2012,Q2,2012-08-03,2013-08-06,39958149.0,40040776.0,228252000.0,-63888000.0,164364000.0,-107852000.0,,,-19603000.0,56512000.0,-9248000.0,-11274000.0,47264000,,47264000,-16370000.0,30894000,,30894000,30894000,EE,2012-06-30
709578,USD,2012,Q3,2012-11-02,2013-11-07,40009866.0,40091625.0,267249000.0,-72555000.0,194694000.0,-108298000.0,,,-19208000.0,86396000.0,-6448000.0,-11291000.0,79948000,,79948000,-28159000.0,51789000,,51789000,51789000,EE,2012-09-30
709578,USD,2012,Q4,2013-02-25,2015-02-27,40017041.0,40090414.0,188802000.0,-62891000.0,125911000.0,-112203000.0,,,-19227000.0,13708000.0,-7216000.0,-11131000.0,6492000,,6492000,-1673000.0,4819000,,4819000,4819000,EE,2012-12-31
709578,USD,2013,Q1,2013-05-08,2014-05-08,40078061.0,40078061.0,177290000.0,-57276000.0,120014000.0,-100669000.0,,,-19368000.0,19345000.0,-8396000.0,-11820000.0,10949000,,10949000,-3315000.0,7634000,,7634000,7634000,EE,2013-03-31
709578,USD,2013,Q2,2013-08-06,2014-08-07,40111757.0,40159970.0,240114000.0,-77343000.0,162771000.0,-108427000.0,,,-19562000.0,54344000.0,-9222000.0,-11939000.0,45122000,,45122000,-15929000.0,29193000,,29193000,29193000,EE,2013-06-30
709578,USD,2013,Q3,2013-11-07,2014-11-06,40132250.0,40132250.0,282661000.0,-86663000.0,195998000.0,-110102000.0,,,-20416000.0,85896000.0,-8247000.0,-12095000.0,77649000,,77649000,-27084000.0,50565000,,50565000,50565000,EE,2013-09-30
709578,USD,2013,Q4,2014-02-26,2016-02-29,40136308.0,40136307.0,190297000.0,-67849000.0,122448000.0,-116398000.0,,,-20280000.0,6050000.0,-7532000.0,-11858000.0,-1482000,,-1482000,2673000.0,1191000,,1191000,1191000,EE,2013-12-31
709578,USD,2014,Q1,2014-05-08,2015-05-07,40149083.0,40149083.0,185516000.0,-69501000.0,116015000.0,-106350000.0,,,-20568000.0,9665000.0,-3577000.0,-11822000.0,6088000,,6088000,-1473000.0,4615000,,4615000,4615000,EE,2014-03-31
709578,USD,2014,Q2,2014-08-07,2015-08-07,40180569.0,40212403.0,251801000.0,-87800000.0,164001000.0,-112870000.0,,,-21083000.0,51131000.0,-6272000.0,-11647000.0,44859000,,44859000,-14763000.0,30096000,,30096000,30096000,EE,2014-06-30
